"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_pp","1.003879",".1737624"
"sp48_24_pp","1","."
"sp48_25_pp","1.000773",".8724505"
"sp48_26_pp",".9973529",".340749"
"sp48_27_pp",".9975507",".4609722"
"sp48_28_pp",".9940048",".2901021"
"sp48_4_pp","1","."
"sp48_5_pp","1.000106",".9833736"
"sp48_6_pp",".9990853",".6817135"
"sp48_7_pp","1.008865",".0042977"
"sp48_8_pp","1.003756",".3645537"
"sp75_100_pp","1","."
"sp75_1002_pp","1.000568",".7656571"
"sp75_1003_pp","1.002645",".6686406"
"sp75_1003_2_pp","1","."
"sp75_1311_pp",".9980935",".7413306"
"sp75_1315_pp","1","."
"sp75_1316_pp",".9944377",".4452896"
"sp75_1318_pp","1","."
"sp75_1400_pp",".9896161",".0131197"
"sp75_1400_1_pp",".9851235",".1914276"
"sp75_1403_10_pp","1.008077",".027335"
"sp75_1403_5_pp","1.000022",".995122"
"sp75_1403_6_pp","1.001372",".3853985"
"sp75_1403_7_pp",".9911979",".0984544"
"sp75_1403_8_pp",".9976189",".1720311"
"sp75_1404_pp",".9961027",".8171888"
"sp75_1404_1_pp","1","."
"sp75_1405_pp","1.00418",".2858382"
"sp75_1405_1_pp","1","."
"sp75_153_pp","1.008401",".6770414"
"sp75_156_pp",".9971694",".8055865"
"sp75_160_pp","1.018258",".17615"
"sp75_1719_2_pp",".9957178",".6078784"
"sp75_1719_4_pp","1.001015",".7156774"
"sp75_1720_pp","1.000194",".9124989"
"sp75_1725_pp","1.000326",".3487096"
"sp75_1906_pp","1.003674",".4867839"
"sp75_1916_pp","1.008245",".4011847"
"sp75_203_pp","1.000134",".8392026"
"sp75_204_pp","1.00075",".5016777"
"sp75_205_pp","1.008021",".6116624"
"sp75_207_pp",".9974651",".7227031"
"sp75_208_pp",".9994839",".6635807"
"sp75_209_pp",".9961429",".2173473"
"sp75_212_pp","1.006841",".2908659"
"sp75_213_pp","1.002289",".8797738"
"sp75_215_pp",".9615345",".0026339"
"sp75_332_pp","1.007756",".3343428"
"sp75_334_pp","1.00212",".4772625"
"sp75_337_pp",".9977339",".1140068"
"sp75_340_pp","1.002105",".112656"
"sp75_343_pp","1.003205",".7049551"
"sp75_373_pp","1","."
"sp75_388_pp",".9973659",".3950757"
"sp75_389_pp",".9934514",".5368556"
"sp75_500_pp",".998578",".5849715"
"sp75_500_1_pp","1","."
"sp75_501_pp",".9953327",".3811141"
"sp75_501_2_pp","1.000211",".9643663"
"sp75_502_pp","1.013004",".109987"
"sp75_503_pp","1.000013",".9579383"
"sp75_505_pp","1.0228",".0413054"
"sp75_506_1_pp","1.003561",".4844429"
"sp75_507_pp",".9972666",".3162382"
"sp75_507_1_pp","1.002422",".1112065"
"sp75_508_1_pp","1","."
"sp75_509_pp","1.003571",".7331142"
"sp75_510_pp","1","."
"sp75_512_1_pp",".977802",".2704483"
"sp75_523_pp",".9961342",".0374766"
"sp75_523_3_pp","1.000565",".3321544"
"sp75_524_pp","1","."
"sp75_602_pp","1.000538",".8425631"
"sp75_603_pp",".9996193",".9253016"
"sp75_604_pp","1.001105",".0087663"
"sp75_605_pp","1.001349",".2940306"
"sp75_606_pp","1.000746",".3216242"
"sp75_607_pp",".9960378",".1507507"
"sp75_703_3_pp",".9974245",".3564282"
"sp75_703_4_pp","1","."
"sp75_807_pp","1.000967",".2144171"
"sp75_810_pp",".9968871",".1645529"
"sp75_811_pp",".9968091",".2602451"
"sp75_812_pp",".9920396",".2445253"
"sp75_816_pp",".9974176",".1100634"
"sp75_817_pp","1.003156",".7686595"
"sp75_906_pp",".9950611",".3813944"
"mine_time","1.002565",".3490582"
"onsite_insp_hours","1.003725","9.84e-12"
"union","1.411255",".021381"
"longwall",".6672591",".098791"
"1.state",".8734487",".6795706"
"2.state","1.38498",".0015661"
"3.state","1.491151",".1564688"
"4.state","3.204952",".0153505"
"5.state",".7888011",".3836309"
"6.state",".6258614","2.46e-07"
"7.state",".9085248",".6910171"
"8.state",".2290438","2.72e-09"
"9.state","1","."
"10.state",".8684187",".5478602"
"11.state","1.866779",".0627036"
"12.state",".9123924",".5578599"
"13.state","1.400034",".2298284"
"14.state",".3632221",".0007084"
"15.state",".5961869","2.62e-06"
"16.state","1","."
"17.state","1","."
"29.time","1.32265",".0536095"
"30.time","1.357845",".0397087"
"31.time","1.460372",".0109688"
"32.time","1.128925",".4033819"
"33.time","1.194769",".2602942"
"34.time","1.222004",".1881725"
"35.time","1.124119",".3915723"
"36.time","1","."
"37.time","1.109947",".5092068"
"38.time","1.155725",".3773189"
"39.time","1.10019",".5308459"
"40.time",".9191506",".5881031"
"41.time","1.085453",".6279264"
"42.time","1.017889",".9112486"
"43.time","1.464691",".0187597"
"44.time",".8976566",".5194451"
"45.time",".9993433",".996706"
"46.time","1.182601",".3057718"
"47.time","1.378306",".0504101"
"48.time",".9452748",".7320711"
"49.time",".9762083",".8829134"
"50.time","1.060831",".7164268"
"51.time",".9486999",".7646055"
"52.time",".4925169",".0000305"
"53.time",".8057132",".2086434"
"54.time",".8545288",".3834553"
"55.time",".8805252",".5009863"
"56.time",".5945547",".0050147"
"N","12047",""
