"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_ss_c_4lag","1.438902",".0361218"
"sp48_25_ss_c_4lag",".9368626",".7862722"
"sp48_26_ss_c_4lag","1.30124",".0994439"
"sp48_27_ss_c_4lag",".7040053",".1498512"
"sp48_28_ss_c_4lag","1.031423",".8711077"
"sp48_4_ss_c_4lag",".4486833",".4753329"
"sp48_5_ss_c_4lag","1.154595",".5521027"
"sp48_6_ss_c_4lag",".7483349",".0478803"
"sp48_7_ss_c_4lag","1.142671",".3874419"
"sp48_8_ss_c_4lag","1.542094",".0981433"
"sp75_100_ss_c_4lag","2.429068",".1565819"
"sp75_1002_ss_c_4lag","1.191257",".4584544"
"sp75_1003_ss_c_4lag",".8593643",".3790162"
"sp75_1003_2_ss_c_4lag","1","."
"sp75_1311_ss_c_4lag",".2202288",".0069142"
"sp75_1315_ss_c_4lag",".801265",".7860277"
"sp75_1316_ss_c_4lag",".420855",".0026207"
"sp75_1318_ss_c_4lag","1","."
"sp75_1322_ss_c_4lag","1","."
"sp75_1400_ss_c_4lag","1.632853",".2601948"
"sp75_1400_1_ss_c_4lag",".5540498",".264285"
"sp75_1403_10_ss_c_4lag","1.194713",".0770693"
"sp75_1403_5_ss_c_4lag","1.094734",".1461585"
"sp75_1403_6_ss_c_4lag","1.089038",".1347252"
"sp75_1403_7_ss_c_4lag",".692448",".0836495"
"sp75_1403_8_ss_c_4lag","1.019349",".8945848"
"sp75_1404_ss_c_4lag","1","."
"sp75_1404_1_ss_c_4lag",".8905475",".8596749"
"sp75_1405_ss_c_4lag","1.047754",".7064887"
"sp75_1405_1_ss_c_4lag","1.452531",".0865352"
"sp75_153_ss_c_4lag","1","."
"sp75_155_ss_c_4lag","1","."
"sp75_156_ss_c_4lag",".1323436","6.66e-16"
"sp75_1719_2_ss_c_4lag",".2070817","1.19e-07"
"sp75_1719_4_ss_c_4lag","1.09027",".7845626"
"sp75_1720_ss_c_4lag","1.085541",".1907333"
"sp75_1725_ss_c_4lag","1.006387",".6164244"
"sp75_1906_ss_c_4lag","1","."
"sp75_1916_ss_c_4lag","1.871172",".1084532"
"sp75_203_ss_c_4lag","1.022995",".4343626"
"sp75_204_ss_c_4lag","1.205672",".0031619"
"sp75_205_ss_c_4lag","1.6664",".084948"
"sp75_207_ss_c_4lag","1.093835",".7322228"
"sp75_208_ss_c_4lag",".9623271",".3215563"
"sp75_209_ss_c_4lag","1.038114",".7437273"
"sp75_212_ss_c_4lag",".8894305",".2777385"
"sp75_213_ss_c_4lag",".7047221",".1575065"
"sp75_215_ss_c_4lag",".1781573",".0860642"
"sp75_332_ss_c_4lag",".8341489",".4762141"
"sp75_334_ss_c_4lag","1.046618",".7122917"
"sp75_337_ss_c_4lag",".8784971",".3475565"
"sp75_340_ss_c_4lag","1.057489",".3054029"
"sp75_343_ss_c_4lag","1.973053",".2538565"
"sp75_373_ss_c_4lag","1","."
"sp75_388_ss_c_4lag","1.07237",".5081771"
"sp75_389_ss_c_4lag",".9629039",".9340329"
"sp75_500_ss_c_4lag","1.724268",".0279595"
"sp75_500_1_ss_c_4lag",".1295437",".0000756"
"sp75_501_ss_c_4lag","1.047551",".9452148"
"sp75_501_2_ss_c_4lag",".3866466",".029857"
"sp75_502_ss_c_4lag","1.218172",".6678825"
"sp75_503_ss_c_4lag","1.042581",".0211578"
"sp75_505_ss_c_4lag","1.330926",".5184155"
"sp75_506_1_ss_c_4lag",".9047656",".740216"
"sp75_507_ss_c_4lag","1.55792",".0821338"
"sp75_507_1_ss_c_4lag",".9399253",".6332946"
"sp75_509_ss_c_4lag","1.120225",".7671523"
"sp75_512_1_ss_c_4lag",".4463493",".0470372"
"sp75_523_ss_c_4lag",".9774758",".638828"
"sp75_523_3_ss_c_4lag",".9737521",".2865802"
"sp75_524_ss_c_4lag","1.183873",".7692229"
"sp75_602_ss_c_4lag",".9407212",".6564886"
"sp75_603_ss_c_4lag","1.29923",".2403425"
"sp75_604_ss_c_4lag","1.032783",".0719544"
"sp75_605_ss_c_4lag","1.068334",".2458936"
"sp75_606_ss_c_4lag",".9807221",".5603629"
"sp75_607_ss_c_4lag",".9754228",".8218001"
"sp75_703_3_ss_c_4lag",".8935241",".655088"
"sp75_807_ss_c_4lag","1.056893",".2697043"
"sp75_810_ss_c_4lag","1.177737",".4872796"
"sp75_811_ss_c_4lag",".4441767",".0022498"
"sp75_812_ss_c_4lag",".4506114",".0608127"
"sp75_816_ss_c_4lag",".9339704",".7391302"
"sp75_817_ss_c_4lag","1","."
"sp75_906_ss_c_4lag",".5444541",".0911334"
"mine_time",".9998886",".9697517"
"onsite_insp_hours","1.004443","0"
"union","1.375189",".0177114"
"longwall",".8038407",".3558885"
"1.state","1.146341",".7215635"
"2.state","2.010112","0"
"3.state","2.441099","5.11e-06"
"4.state","6.778371","1.99e-07"
"5.state","1.486921",".1254824"
"6.state","1","."
"7.state","1.46733",".1104775"
"8.state","1.169907",".1384541"
"9.state","3.214443","3.27e-08"
"10.state","1.52419",".0380266"
"11.state","5.671907","3.04e-14"
"12.state","1.794558","5.27e-06"
"13.state","2.267999",".0000723"
"14.state",".5416844",".088282"
"15.state","1.108412",".2295612"
"16.state","1.752726","1.66e-12"
"17.state","4.207159","5.63e-09"
"4.time","1.804021",".0009515"
"5.time","2.218601",".0000175"
"6.time","2.257378","3.33e-06"
"7.time","2.661361","2.10e-08"
"8.time","2.147773",".0000119"
"9.time","2.30758","1.77e-06"
"10.time","1.978706",".0000875"
"11.time","2.782647","3.69e-09"
"12.time","1.882577",".0002983"
"13.time","2.062929",".0000868"
"14.time","2.227529",".0000154"
"15.time","3.458383","6.16e-11"
"16.time","1.778426",".0012947"
"17.time","1.81132",".0008149"
"18.time","1.615347",".0065301"
"19.time","1.82508",".0004995"
"20.time","1.429317",".0320426"
"21.time","1.521459",".0164231"
"22.time","1.52649",".0145643"
"23.time","1.734413",".0015306"
"24.time","1.240451",".1980327"
"25.time","1.527419",".0122865"
"26.time","1.387261",".0541726"
"27.time","1.71502",".0009908"
"28.time","1.345599",".0856807"
"29.time","1.128353",".4519529"
"30.time","1.137791",".419379"
"31.time","1.43616",".0246652"
"32.time","1.147918",".3963617"
"33.time","1.097221",".5926092"
"34.time","1.082795",".631304"
"35.time","1.070242",".6655829"
"36.time","1","."
"37.time","1.035371",".8428983"
"38.time","1.021683",".9033983"
"39.time","1.108893",".5499354"
"40.time",".8366958",".3030479"
"41.time","1.04779",".8007645"
"42.time",".9296672",".6746628"
"43.time","1.311176",".1338373"
"44.time",".7808488",".1879714"
"45.time",".8439239",".3220066"
"46.time","1.002668",".9881505"
"47.time","1.325737",".1244873"
"48.time",".8289144",".2974687"
"49.time",".9338772",".6981284"
"50.time","1.007079",".9689422"
"51.time",".9631984",".8429118"
"52.time",".4813609",".0000913"
"53.time",".7828649",".1903964"
"54.time",".7799039",".2081146"
"55.time",".8045313",".2768871"
"56.time",".5460487",".002259"
"N","19873",""
