"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_c_lag_all","1.003099",".9716484"
"sp75_1311_c_lag_all",".6061398",".2775529"
"sp75_1400_1_c_lag_all",".4364184",".2360673"
"sp75_1404_1_c_lag_all",".8190476",".5282371"
"sp75_1405_1_c_lag_all",".8552363",".6508644"
"sp75_500_1_c_lag_all","1.438559",".589342"
"sp75_501_c_lag_all","1.006438",".9448036"
"sp75_506_1_c_lag_all","1.102521",".393811"
"sp75_507_1_c_lag_all","1.011922",".7377546"
"sp75_508_1_c_lag_all",".701254",".3032662"
"sp75_512_1_c_lag_all",".4259247",".0174359"
"sp75_811_c_lag_all","1.038193",".6517202"
"sp75_1002_c_lag_all",".9487501",".5373419"
"sp75_1003_2_c_lag_all","2.851697",".086942"
"sp75_1322_c_lag_all","1","."
"sp75_1719_2_c_lag_all","1.737164",".0332797"
"sp75_212_c_lag_all","1.069242",".4010379"
"sp75_332_c_lag_all","1.048037",".7067031"
"sp75_501_2_c_lag_all",".8981477",".3526203"
"sp75_502_c_lag_all",".620746",".0588609"
"sp75_602_c_lag_all","1.058367",".2553108"
"sp75_812_c_lag_all",".8281721",".4735764"
"sp75_1003_c_lag_all",".9316159",".0756262"
"sp75_153_c_lag_all",".8936105",".7587437"
"sp75_203_c_lag_all",".9831521",".2577636"
"sp75_213_c_lag_all",".9919818",".9861964"
"sp75_343_c_lag_all","1.262894",".4197978"
"sp75_373_c_lag_all","1.242808",".6116863"
"sp75_503_c_lag_all",".9941945",".0628108"
"sp75_523_c_lag_all",".9901352",".7019034"
"sp75_523_3_c_lag_all",".9804021",".0500299"
"sp75_603_c_lag_all","1.060063",".5542594"
"sp75_703_3_c_lag_all","1.028941",".7274164"
"sp48_24_c_lag_all","1","."
"sp48_4_c_lag_all","1","."
"sp75_1404_c_lag_all",".4068558",".0019294"
"sp75_1719_4_c_lag_all","1.050501",".5344425"
"sp75_204_c_lag_all","1.060221",".0286458"
"sp75_334_c_lag_all",".9451866",".1416076"
"sp75_524_c_lag_all",".9961508",".9857603"
"sp75_604_c_lag_all","1.024534",".0018129"
"sp75_703_4_c_lag_all","1.041654",".8828474"
"sp48_25_c_lag_all",".9200658",".4225545"
"sp48_5_c_lag_all","1.111856",".5120147"
"sp75_1315_c_lag_all","1.108367",".9186903"
"sp75_1403_5_c_lag_all",".9957329",".7705974"
"sp75_1405_c_lag_all",".9857673",".7350994"
"sp75_155_c_lag_all","1","."
"sp75_1725_c_lag_all",".9920447",".1533956"
"sp75_205_c_lag_all","1.422419",".033344"
"sp75_215_c_lag_all",".3840852",".1103789"
"sp75_505_c_lag_all","1.065117",".6861333"
"sp75_605_c_lag_all","1.00726",".7496524"
"sp48_26_c_lag_all","1.052665",".5127285"
"sp48_6_c_lag_all",".972125",".7620981"
"sp75_1316_c_lag_all",".7677784",".3464358"
"sp75_1403_6_c_lag_all","1.023112",".1314231"
"sp75_156_c_lag_all",".322473",".0053987"
"sp75_1906_c_lag_all","1.198824",".018165"
"sp75_1916_c_lag_all",".8379333",".0915711"
"sp75_606_c_lag_all",".989143",".3051897"
"sp75_816_c_lag_all",".9711486",".5439556"
"sp75_906_c_lag_all",".9208903",".7525136"
"sp48_27_c_lag_all","1.11113",".3585529"
"sp48_7_c_lag_all","1.110362",".3278013"
"sp75_1403_7_c_lag_all",".9379648",".2944073"
"sp75_207_c_lag_all","1.219378",".1652864"
"sp75_327_c_lag_all","3.273693",".4150042"
"sp75_337_c_lag_all",".9548214",".5054666"
"sp75_507_c_lag_all","1.084839",".2462059"
"sp75_607_c_lag_all","1.054552",".2571555"
"sp75_807_c_lag_all","1.021586",".1153174"
"sp75_817_c_lag_all","1.366942",".4583703"
"sp48_28_c_lag_all",".9580228",".5626974"
"sp48_8_c_lag_all","1.184201",".2041248"
"sp75_1318_c_lag_all",".8427395",".7076482"
"sp75_1403_8_c_lag_all",".975454",".0920333"
"sp75_208_c_lag_all",".9793424",".2551914"
"sp75_388_c_lag_all","1.100975",".2500659"
"sp75_209_c_lag_all","1.036492",".5749408"
"sp75_389_c_lag_all",".7740791",".1638583"
"sp75_509_c_lag_all","1.493662",".0261846"
"sp75_100_c_lag_all","1.684571",".0304838"
"sp75_1400_c_lag_all","1.028513",".8092818"
"sp75_1403_10_c_lag_all","1.027073",".3813941"
"sp75_160_c_lag_all","1.604595",".1390625"
"sp75_1720_c_lag_all","1.046376",".2624452"
"sp75_340_c_lag_all","1.027808",".1507015"
"sp75_500_c_lag_all","1.05182",".4556231"
"sp75_510_c_lag_all","1","."
"sp75_810_c_lag_all",".9695757",".1802636"
"mine_time","1.001512",".7857874"
"onsite_insp_hours","1.004649","3.77e-15"
"union","1.288858",".0891779"
"longwall","1.998122",".0058984"
"1.state","1.069471",".8740276"
"3.state","1.557495",".1205724"
"4.state","6.613972","2.13e-07"
"5.state","1.776744",".1163238"
"6.state","1","."
"7.state","1.422686",".3408177"
"8.state","1","."
"9.state",".948915",".8568791"
"10.state","1.421828",".1623421"
"11.state","5.998126","1.68e-06"
"12.state","1.734656",".0001138"
"13.state","1.935321",".0019368"
"14.state",".2599443","5.29e-06"
"15.state","1.097321",".3424127"
"16.state","1.619806","1.01e-08"
"17.state","1.821268",".0941077"
"1.time","1","."
"2.time","1.476856",".0039075"
"3.time","1.559596",".0022136"
"4.time",".7661768",".0512019"
"5.time",".9543204",".7443306"
"6.time",".9445954",".6908951"
"7.time","1.20196",".2416861"
"8.time",".9442612",".7100164"
"9.time","1.05139",".7430179"
"10.time",".8558975",".3283201"
"11.time","1.239389",".1998603"
"12.time",".7710691",".1126205"
"13.time",".8830831",".4975386"
"14.time",".8946112",".5315955"
"15.time","1.348924",".0849942"
"16.time",".6895798",".0374269"
"17.time",".7359787",".0795269"
"18.time",".6753274",".0223299"
"19.time",".7081785",".0505386"
"20.time",".5563382",".0008099"
"21.time",".6885116",".0404768"
"22.time",".5898684",".002432"
"23.time",".6914735",".0467059"
"24.time",".5096557",".0002492"
"25.time",".6387968",".0209482"
"26.time",".5286656",".0003483"
"27.time",".648479",".0189637"
"28.time",".5391782",".0012505"
"29.time",".5115437",".0003419"
"30.time",".4352365","8.63e-06"
"31.time",".5535865",".0018435"
"32.time",".4381448","6.69e-06"
"33.time",".4285581","8.46e-06"
"34.time",".4372105",".0000235"
"35.time",".4162612","3.52e-06"
"36.time",".4301587","5.74e-06"
"37.time",".4865494",".0001596"
"38.time",".493931",".0007289"
"39.time",".3795377","4.45e-06"
"40.time",".4219833",".0000186"
"41.time",".4031066",".0000525"
"42.time",".4241919",".0000478"
"43.time",".6161267",".0297811"
"44.time",".352611","1.80e-06"
"45.time",".4105093",".0000542"
"46.time",".3960097",".0000227"
"47.time",".5242089",".0023008"
"48.time",".41624",".0000777"
"49.time",".3227347","1.51e-07"
"50.time",".4521921",".000323"
"51.time",".4083253",".0001404"
"52.time",".1532903","1.91e-14"
"53.time",".323569","4.94e-06"
"54.time",".3168437","3.37e-06"
"55.time",".249203","1.70e-07"
"56.time",".1973566","4.81e-10"
"N","17583",""
