"","est1",""
"","b","p"
"dv","",""
"sp48_11_pp","1.001162",".1213693"
"sp48_24_pp",".9990633","4.49e-10"
"sp48_25_pp",".9997834",".8576384"
"sp48_26_pp","1.000594",".691025"
"sp48_27_pp",".9998629",".8812214"
"sp48_28_pp",".9991258",".5737721"
"sp48_4_pp",".9926719","1.67e-09"
"sp48_5_pp","1.002054",".2670675"
"sp48_6_pp","1.00131",".1121876"
"sp48_7_pp","1.001074",".1421317"
"sp48_8_pp","1.002423",".0401731"
"sp75_100_pp","1.006422",".0194192"
"sp75_1002_pp",".9996849",".4526789"
"sp75_1003_pp",".9995913",".2853426"
"sp75_1003_2_pp",".9994258",".1191913"
"sp75_1311_pp",".9999814",".9872418"
"sp75_1315_pp","1","."
"sp75_1316_pp","1.001425",".3278633"
"sp75_1318_pp","1","."
"sp75_1400_pp",".9974852",".0080527"
"sp75_1400_1_pp",".9910151",".0743267"
"sp75_1403_10_pp","1.000555",".0108232"
"sp75_1403_5_pp",".9996119",".0747699"
"sp75_1403_6_pp",".9998604",".3547028"
"sp75_1403_7_pp",".9990705",".1490882"
"sp75_1403_8_pp",".9994612",".0000356"
"sp75_1404_pp",".9990181",".5040412"
"sp75_1404_1_pp",".9995147",".6982121"
"sp75_1405_pp",".9999763",".9567844"
"sp75_1405_1_pp","1.018488","5.54e-12"
"sp75_153_pp","1.00064",".9248423"
"sp75_156_pp","1.000274",".9052946"
"sp75_160_pp","1.014024",".0170827"
"sp75_1719_2_pp",".9989106",".5564445"
"sp75_1719_4_pp",".9998877",".8097265"
"sp75_1720_pp","1.000662",".2758737"
"sp75_1725_pp","1.000258",".0030465"
"sp75_1906_pp","1.001188",".0714877"
"sp75_1916_pp","1.001831",".0818629"
"sp75_203_pp","1.000277",".1760571"
"sp75_204_pp","1.000052",".8644029"
"sp75_205_pp","1.001714",".5834891"
"sp75_207_pp",".9957613",".0653133"
"sp75_208_pp","1.000255",".37829"
"sp75_209_pp",".9977317",".0361434"
"sp75_212_pp","1.00256",".0043798"
"sp75_213_pp","1.002652",".0809522"
"sp75_215_pp",".9974121",".7509149"
"sp75_332_pp","1.001887",".2693474"
"sp75_334_pp","1.00077",".2641817"
"sp75_337_pp",".9995076",".3172128"
"sp75_340_pp",".9999582",".8432755"
"sp75_343_pp","1.000085",".9170077"
"sp75_373_pp",".6823572","0"
"sp75_388_pp",".9987007",".2791367"
"sp75_389_pp",".9983984",".4403875"
"sp75_500_pp",".9998396",".8495563"
"sp75_500_1_pp",".9964149",".1383556"
"sp75_501_pp",".9991446",".6519204"
"sp75_501_2_pp",".997908",".2561958"
"sp75_502_pp","1.002319",".1113168"
"sp75_503_pp","1.00003",".6596588"
"sp75_505_pp",".9980602",".3091417"
"sp75_506_1_pp","1.002212",".1491644"
"sp75_507_pp",".9993818",".4211748"
"sp75_507_1_pp","1.000187",".5965947"
"sp75_508_1_pp",".9976971",".0721167"
"sp75_509_pp","1.000553",".7819794"
"sp75_510_pp",".9984349",".6669535"
"sp75_512_1_pp",".9940863",".1799325"
"sp75_523_pp",".9994157",".4184716"
"sp75_523_3_pp",".9995839",".0169245"
"sp75_524_pp",".9993267",".8455107"
"sp75_602_pp","1.000729",".3841661"
"sp75_603_pp","1.000508",".2882866"
"sp75_604_pp","1.000146",".1152895"
"sp75_605_pp",".9998952",".7030904"
"sp75_606_pp","1.00019",".3375914"
"sp75_607_pp",".9985212",".1040612"
"sp75_703_3_pp",".999502",".6080284"
"sp75_703_4_pp",".6529052","0"
"sp75_807_pp","1.000511",".0344243"
"sp75_810_pp","1.002464",".0402137"
"sp75_811_pp",".9999122",".9040762"
"sp75_812_pp",".9999801",".9933096"
"sp75_816_pp",".9995799",".3677907"
"sp75_817_pp","1.002299",".5245425"
"sp75_906_pp",".9955862",".1111577"
"mine_time","1.000184",".905713"
"onsite_insp_hours",".9996192",".0029436"
"union","1.029669",".6648155"
"longwall",".7445003",".000101"
"1.state","1.220878",".0892589"
"2.state","1.749626","0"
"3.state",".779245",".0295759"
"4.state","1.14354",".1319304"
"5.state",".8527185",".0596497"
"6.state",".8127495",".0000939"
"7.state","1.073517",".6836152"
"8.state",".6255742","5.07e-09"
"9.state",".7278716",".0002061"
"10.state",".9450671",".6271034"
"11.state","1.432387",".1286836"
"12.state","1.123503",".1876838"
"13.state","1.585217",".0004496"
"14.state",".5421184",".0011647"
"15.state",".7027489","2.28e-08"
"16.state","1","."
"17.state",".7261307",".0001357"
"29.time","1.228705",".001624"
"30.time","1.251348",".0012529"
"31.time","1.464464","1.53e-08"
"32.time","1.191269",".0049059"
"33.time","1.126975",".049309"
"34.time","1.117426",".088447"
"35.time","1.236014",".0002555"
"36.time","1","."
"37.time","1.019529",".7317694"
"38.time","1.01707",".800829"
"39.time","1.135339",".037945"
"40.time",".9737432",".6791494"
"41.time",".9793755",".7690503"
"42.time",".9741859",".7305422"
"43.time","1.208098",".0049068"
"44.time",".9681482",".6294863"
"45.time",".9679503",".6145293"
"46.time",".9141087",".1622399"
"47.time","1.062741",".3228355"
"48.time",".8178428",".0020574"
"49.time",".9087654",".1749475"
"50.time",".7835968",".0001404"
"51.time",".9112332",".210181"
"52.time",".7097053",".0000121"
"53.time",".8144356",".0044891"
"54.time",".7732242",".0009057"
"55.time",".8962295",".1515049"
"56.time",".7015504",".0000134"
"N","12161",""
