"","est1",""
"","b","p"
"dv","",""
"sp48_11_ss_c_4lag","1.04926",".2679497"
"sp48_25_ss_c_4lag",".8750865",".0032828"
"sp48_26_ss_c_4lag","1.133248",".0363354"
"sp48_27_ss_c_4lag",".9672996",".6118261"
"sp48_28_ss_c_4lag",".9277417",".2470297"
"sp48_4_ss_c_4lag",".6993993",".5466795"
"sp48_5_ss_c_4lag","1.059328",".5203318"
"sp48_6_ss_c_4lag","1.013705",".869684"
"sp48_7_ss_c_4lag","1.05847",".197859"
"sp48_8_ss_c_4lag","1.140482",".4149397"
"sp75_100_ss_c_4lag",".9793096",".89973"
"sp75_1002_ss_c_4lag","1.009328",".8420162"
"sp75_1003_ss_c_4lag",".9611008",".2520259"
"sp75_1003_2_ss_c_4lag",".9762815",".770534"
"sp75_1311_ss_c_4lag",".8539646",".3295301"
"sp75_1315_ss_c_4lag",".4139169",".0094876"
"sp75_1316_ss_c_4lag",".8434568",".3545092"
"sp75_1318_ss_c_4lag","3.69e-07","0"
"sp75_1322_ss_c_4lag","3.74e+07","0"
"sp75_1400_ss_c_4lag","1.071733",".1897547"
"sp75_1400_1_ss_c_4lag",".7925666",".2531194"
"sp75_1403_10_ss_c_4lag","1.04262",".0028579"
"sp75_1403_5_ss_c_4lag",".9829792",".0326542"
"sp75_1403_6_ss_c_4lag",".9901562",".2050458"
"sp75_1403_7_ss_c_4lag","1.03974",".2873293"
"sp75_1403_8_ss_c_4lag",".9864632",".0891184"
"sp75_1404_ss_c_4lag",".8104023",".0471699"
"sp75_1404_1_ss_c_4lag",".7030802",".0007192"
"sp75_1405_ss_c_4lag",".9772757",".047072"
"sp75_1405_1_ss_c_4lag","1.22535",".234277"
"sp75_153_ss_c_4lag","1.898911","2.58e-08"
"sp75_155_ss_c_4lag",".6487901",".0000129"
"sp75_156_ss_c_4lag",".4634163","7.08e-12"
"sp75_1719_2_ss_c_4lag",".8137701",".5030215"
"sp75_1719_4_ss_c_4lag",".9363114",".3094209"
"sp75_1720_ss_c_4lag","1.062844",".0488341"
"sp75_1725_ss_c_4lag","1.000849",".8004394"
"sp75_1906_ss_c_4lag","1.182125",".3218508"
"sp75_1916_ss_c_4lag","1.027255",".5555087"
"sp75_203_ss_c_4lag","1.007094",".5786024"
"sp75_204_ss_c_4lag","1.069198",".0085198"
"sp75_205_ss_c_4lag","1.987718",".0001148"
"sp75_207_ss_c_4lag","1.286786",".2156934"
"sp75_208_ss_c_4lag","1.01172",".417661"
"sp75_209_ss_c_4lag","1.019379",".7462056"
"sp75_212_ss_c_4lag","1.032242",".5039697"
"sp75_213_ss_c_4lag","1.123143",".0004057"
"sp75_215_ss_c_4lag","1.1254",".563784"
"sp75_332_ss_c_4lag",".9434114",".5587434"
"sp75_334_ss_c_4lag",".9718525",".3620531"
"sp75_337_ss_c_4lag",".9631439",".1281791"
"sp75_340_ss_c_4lag",".9939982",".6446929"
"sp75_343_ss_c_4lag","1.046014",".4334187"
"sp75_373_ss_c_4lag","6.57e-06","0"
"sp75_388_ss_c_4lag","1.016097",".777501"
"sp75_389_ss_c_4lag","1.09241",".7168665"
"sp75_500_ss_c_4lag","1.127197",".2719722"
"sp75_500_1_ss_c_4lag",".7753672",".3545508"
"sp75_501_ss_c_4lag",".8161144",".0121933"
"sp75_501_2_ss_c_4lag",".9089445",".7944334"
"sp75_502_ss_c_4lag","1.239095",".4036281"
"sp75_503_ss_c_4lag","1.008457",".0858364"
"sp75_505_ss_c_4lag",".6963076",".1525757"
"sp75_506_1_ss_c_4lag",".8156693",".1990208"
"sp75_507_ss_c_4lag","1.089473",".1511524"
"sp75_507_1_ss_c_4lag","1.032481",".4115623"
"sp75_509_ss_c_4lag","1.237819",".0345701"
"sp75_512_1_ss_c_4lag","1.206451",".2418724"
"sp75_523_ss_c_4lag",".9655796",".0853044"
"sp75_523_3_ss_c_4lag",".9800554",".0298102"
"sp75_524_ss_c_4lag",".9587673",".8198396"
"sp75_602_ss_c_4lag","1.00518",".9024157"
"sp75_603_ss_c_4lag","1.057343",".2720403"
"sp75_604_ss_c_4lag","1.005001",".2969366"
"sp75_605_ss_c_4lag",".9921518",".7308591"
"sp75_606_ss_c_4lag","1.011179",".4600048"
"sp75_607_ss_c_4lag",".9699932",".4744381"
"sp75_703_3_ss_c_4lag","1.014929",".8139176"
"sp75_807_ss_c_4lag","1.017142",".2930999"
"sp75_810_ss_c_4lag","1.195104",".0056237"
"sp75_811_ss_c_4lag",".9184298",".290085"
"sp75_812_ss_c_4lag",".8604142",".3525013"
"sp75_816_ss_c_4lag","1.024653",".6920231"
"sp75_817_ss_c_4lag","1.36938",".5663841"
"sp75_906_ss_c_4lag",".5112566",".0098876"
"mine_time","1.000772",".6380791"
"onsite_insp_hours",".9998075",".1131283"
"union","1.004929",".9340001"
"longwall",".6990204","3.15e-08"
"1.state","1.304591",".0126116"
"2.state","2.017006","0"
"3.state","1.074594",".529848"
"4.state","1.493507","2.46e-06"
"5.state","1.168007",".0242002"
"6.state","1","."
"7.state","1.262771",".2330271"
"8.state",".9658975",".6001028"
"9.state","1.015376",".8552437"
"10.state","1.353442",".0104125"
"11.state","1.925845","1.18e-10"
"12.state","1.409935","9.08e-06"
"13.state","1.84844","8.34e-10"
"14.state",".65691",".0087586"
"15.state",".9547737",".4137817"
"16.state","1.331249","4.64e-09"
"17.state","1.134386",".2345153"
"4.time","1.565019","2.11e-08"
"5.time","1.586697","4.46e-09"
"6.time","1.723825","2.89e-11"
"7.time","2.020041","0"
"8.time","1.627552","1.48e-09"
"9.time","1.800831","2.76e-10"
"10.time","1.74816","2.40e-11"
"11.time","1.864117","3.70e-13"
"12.time","1.584962","2.00e-09"
"13.time","1.46817","4.27e-07"
"14.time","1.595271","2.07e-08"
"15.time","1.750011","2.10e-13"
"16.time","1.327727",".000473"
"17.time","1.369597",".0001171"
"18.time","1.461046","2.92e-07"
"19.time","1.580046","8.19e-10"
"20.time","1.297237",".0010493"
"21.time","1.256431",".0017099"
"22.time","1.342044",".0000239"
"23.time","1.479456","2.23e-08"
"24.time","1.240572",".0041107"
"25.time","1.292304",".0002734"
"26.time","1.268888",".0011195"
"27.time","1.533669","2.85e-10"
"28.time","1.172743",".0258593"
"29.time","1.166141",".0228308"
"30.time","1.194145",".0189798"
"31.time","1.449361","1.07e-07"
"32.time","1.208439",".0029112"
"33.time","1.086573",".1790047"
"34.time","1.069621",".3147201"
"35.time","1.225875",".0005319"
"36.time","1","."
"37.time",".9705932",".599065"
"38.time",".9496838",".4334647"
"39.time","1.082804",".1840508"
"40.time",".9171458",".1939346"
"41.time",".9172328",".2374064"
"42.time",".9260656",".3859127"
"43.time","1.14818",".044434"
"44.time",".9048176",".1554897"
"45.time",".895538",".0976567"
"46.time",".8444519",".0123059"
"47.time",".9755753",".6864386"
"48.time",".7565624",".0000316"
"49.time",".8375614",".0133476"
"50.time",".7404764","5.21e-06"
"51.time",".865909",".0558496"
"52.time",".6691984","5.60e-07"
"53.time",".7509808",".0001195"
"54.time",".7184472",".0000332"
"55.time",".831888",".0194799"
"56.time",".6542485","7.90e-07"
"N","19957",""
