"","est1",""
"","b","p"
"dv","",""
"sp48_11_1lag",".9972533",".9497881"
"sp75_1311_1lag","1.178921",".0901086"
"sp75_1400_1_1lag",".8552463",".504052"
"sp75_1404_1_1lag",".8738955",".5785878"
"sp75_1405_1_1lag",".87694",".1376047"
"sp75_500_1_1lag",".756426",".3868307"
"sp75_501_1lag","1.188994",".3476707"
"sp75_506_1_1lag",".9781591",".8102773"
"sp75_507_1_1lag","1.024323",".4587448"
"sp75_508_1_1lag",".1775342","1.57e-08"
"sp75_512_1_1lag",".9713525",".8249377"
"sp75_811_1lag","1.029805",".5497503"
"sp75_1002_1lag","1.023372",".4423802"
"sp75_1003_2_1lag",".986833",".7819345"
"sp75_1322_1lag","1","."
"sp75_1719_2_1lag",".9740588",".783682"
"sp75_212_1lag","1.055311",".1516921"
"sp75_332_1lag",".9582154",".651234"
"sp75_501_2_1lag",".9331754",".4442864"
"sp75_502_1lag",".8883705",".3516706"
"sp75_602_1lag","1.007166",".833105"
"sp75_812_1lag",".9744258",".8657575"
"sp75_1003_1lag",".9351054",".0276883"
"sp75_153_1lag","1.099675",".7866589"
"sp75_203_1lag","1.031784",".0520058"
"sp75_213_1lag","1.218404",".003324"
"sp75_343_1lag","1.04363",".3054525"
"sp75_373_1lag",".8764991",".7628675"
"sp75_503_1lag","1.002662",".4931247"
"sp75_523_1lag",".9134154",".0006306"
"sp75_523_3_1lag",".9831044",".0841452"
"sp75_603_1lag","1.044369",".4012507"
"sp75_703_3_1lag","1.101894",".071007"
"sp48_24_1lag","1.110994","2.22e-16"
"sp48_4_1lag",".2716279",".1248461"
"sp75_1404_1lag",".9353277",".6795595"
"sp75_1719_4_1lag","1.012419",".7212213"
"sp75_204_1lag","1.017353",".3732771"
"sp75_334_1lag",".9925984",".7943221"
"sp75_524_1lag",".9015539",".6231578"
"sp75_604_1lag","1.022141",".001271"
"sp75_703_4_1lag",".6629931",".5568393"
"sp48_25_1lag",".9175358",".2439719"
"sp48_5_1lag",".9868766",".8992252"
"sp75_1315_1lag",".5449625",".0015529"
"sp75_1403_5_1lag",".9849182",".2985736"
"sp75_1405_1lag",".9832663",".2944038"
"sp75_155_1lag",".9988878",".9973797"
"sp75_1725_1lag",".9983052",".7313739"
"sp75_205_1lag","2.024416",".0780996"
"sp75_215_1lag",".7959044",".1210331"
"sp75_505_1lag",".9653631",".7424019"
"sp75_605_1lag",".9926292",".6934926"
"sp48_26_1lag","1.097014",".1424167"
"sp48_6_1lag",".9875881",".8187432"
"sp75_1316_1lag",".8490731",".3981933"
"sp75_1403_6_1lag",".9822912",".015459"
"sp75_156_1lag","1.148792",".730465"
"sp75_1906_1lag","1.167385",".0003479"
"sp75_1916_1lag","1.11056",".0355602"
"sp75_606_1lag","1.005984",".5652428"
"sp75_816_1lag","1.025421",".4569775"
"sp75_906_1lag",".5851718",".0057665"
"sp48_27_1lag","1.05725",".4582156"
"sp48_7_1lag","1.064517",".2169547"
"sp75_1403_7_1lag","1.042436",".3817217"
"sp75_207_1lag","1.02517",".8430041"
"sp75_327_1lag",".7462005",".0216127"
"sp75_337_1lag",".9931402",".8958437"
"sp75_507_1lag","1.099",".0626726"
"sp75_607_1lag","1.01225",".8350679"
"sp75_807_1lag","1.034204",".0012508"
"sp75_817_1lag",".896335",".3721118"
"sp48_28_1lag",".9455822",".2764534"
"sp48_8_1lag","1.266703",".0213607"
"sp75_1318_1lag","1.420457",".3971015"
"sp75_1403_8_1lag",".9720692",".0045003"
"sp75_208_1lag","1.006142",".7324826"
"sp75_388_1lag",".9300883",".2525662"
"sp75_209_1lag","1.052962",".3582646"
"sp75_389_1lag","1.020999",".9212233"
"sp75_509_1lag","1.168841",".1344405"
"sp75_100_1lag","1.05603",".6008755"
"sp75_1400_1lag","1.002959",".9590509"
"sp75_1403_10_1lag","1.020626",".1707887"
"sp75_160_1lag","1.247332",".441736"
"sp75_1720_1lag","1.01856",".6043594"
"sp75_340_1lag",".9835668",".1900734"
"sp75_500_1lag","1.037107",".535805"
"sp75_510_1lag",".5317422",".0000932"
"sp75_810_1lag","1.044449",".1897375"
"mine_time","1.00153",".3200905"
"onsite_insp_hours",".9998439",".157395"
"union",".99747",".9642805"
"longwall",".7025322","1.16e-08"
"1.state","1.339467",".007211"
"2.state","1.900943","0"
"3.state","1.037268",".7452319"
"4.state","1.387124",".0001507"
"5.state","1.122615",".1081573"
"6.state","1","."
"7.state","1.211616",".2980753"
"8.state",".8561037",".0099145"
"9.state",".9809282",".801221"
"10.state","1.260057",".0190355"
"11.state","2.014864","7.09e-09"
"12.state","1.421351","1.17e-06"
"13.state","1.807837","2.01e-11"
"14.state",".6483896",".005926"
"15.state",".9630029",".4811357"
"16.state","1.324653","1.95e-09"
"17.state","1.064958",".4595192"
"2.time",".9858149",".818389"
"3.time","1.067464",".2643484"
"4.time",".7696342",".0000369"
"5.time",".762394","4.74e-06"
"6.time",".8807486",".0244258"
"7.time","1","."
"8.time",".7902537",".0000215"
"9.time",".8517277",".0355993"
"10.time",".8275183",".0025666"
"11.time",".9068451",".1178148"
"12.time",".7464874","1.03e-06"
"13.time",".7099519","5.09e-07"
"14.time",".759094",".0000887"
"15.time",".8479377",".0088054"
"16.time",".6300154","1.31e-12"
"17.time",".6570142","2.70e-09"
"18.time",".6924429","3.09e-08"
"19.time",".7667792",".000034"
"20.time",".6012938","8.08e-14"
"21.time",".6050907","5.90e-13"
"22.time",".6438709","3.48e-11"
"23.time",".6881356","4.56e-08"
"24.time",".5731073","4.49e-14"
"25.time",".610526","2.39e-11"
"26.time",".6059075","3.39e-12"
"27.time",".6966723","3.12e-07"
"28.time",".5566001","2.22e-15"
"29.time",".5516666","2.22e-16"
"30.time",".5949601","4.53e-10"
"31.time",".6895984","4.82e-06"
"32.time",".554956","4.00e-15"
"33.time",".5164635","0"
"34.time",".5070831","0"
"35.time",".5683825","1.73e-12"
"36.time",".4661074","0"
"37.time",".4680442","0"
"38.time",".4468156","0"
"39.time",".5075995","0"
"40.time",".4350351","0"
"41.time",".428806","0"
"42.time",".4356186","0"
"43.time",".5357379","6.66e-16"
"44.time",".4247021","0"
"45.time",".4266519","0"
"46.time",".4074627","0"
"47.time",".4699555","0"
"48.time",".3624715","0"
"49.time",".4007212","0"
"50.time",".3517467","0"
"51.time",".4018522","0"
"52.time",".3118588","0"
"53.time",".3519526","0"
"54.time",".3383287","0"
"55.time",".3876126","0"
"56.time",".3072134","0"
"N","23482",""
