"","est1",""
"","b","p"
"dv_indicator","",""
"p47_pp_c_lag_all",".9991472",".5117656"
"p48_pp_c_lag_all","1.000336",".3035632"
"p71_pp_c_lag_all","1.001638",".335285"
"p72_pp_c_lag_all",".9998756",".8594259"
"p75_pp_c_lag_all","1.000002",".3562094"
"p77_pp_c_lag_all",".9999513",".7182803"
"mine_time",".9982746",".6459349"
"onsite_insp_hours","1.000519",".1098422"
"union",".8695846",".4455047"
"longwall","1.256198",".3145542"
"1.state","1.895018",".0272414"
"3.state",".8022614",".5177364"
"4.state","1.481215",".0191208"
"5.state","1.648189",".1373901"
"6.state","1","."
"7.state","1.316296",".0135959"
"9.state","1.038642",".9113473"
"10.state",".71013",".2691142"
"11.state",".8495397",".8155378"
"12.state",".96805",".8852141"
"13.state","1.30418",".2972419"
"14.state",".7638128",".4406202"
"15.state",".69013",".0334794"
"16.state","1.010021",".9264965"
"17.state","1.49126",".191761"
"29.time","1.10947",".603676"
"30.time",".9621621",".8624086"
"31.time","1.275729",".2294186"
"32.time","1.350376",".1436315"
"33.time",".9276204",".7174563"
"34.time",".9882515",".9570062"
"35.time","1.112228",".6089428"
"36.time","1","."
"37.time",".8422381",".3958131"
"38.time",".8679638",".5250806"
"39.time",".9181286",".6846102"
"40.time",".6942352",".1033009"
"41.time",".7260457",".1299943"
"42.time",".8147162",".3571712"
"43.time","1.001226",".995815"
"44.time",".8840799",".5798623"
"45.time",".9944003",".9790806"
"46.time",".9476814",".8043185"
"47.time","1.066775",".7682359"
"48.time",".6633686",".0817071"
"49.time",".8206203",".3566228"
"50.time",".7702229",".2502025"
"51.time","1.221311",".3970356"
"52.time",".6814267",".1086964"
"53.time",".5782735",".0198224"
"54.time",".5114051",".0060044"
"55.time",".6451587",".0764042"
"56.time",".7391956",".2650969"
"N","7496",""
