"","est1",""
"","b","p"
"dv_indicator","",""
"p47_ss_c_4lag","1.388902",".3221182"
"p48_ss_c_4lag","1.04573",".4201628"
"p71_ss_c_4lag",".7298126",".2256531"
"p72_ss_c_4lag",".8705752",".371318"
"p75_ss_c_4lag","1.005952",".0000355"
"p77_ss_c_4lag","1.000054",".9985451"
"mine_time",".9980312",".4552703"
"onsite_insp_hours","1.000695",".0171925"
"union",".9588919",".6658323"
"longwall",".9853752",".9105576"
"1.state","1.8996",".0048124"
"2.state","1.829033","0"
"3.state",".9649142",".8666492"
"4.state","1.711438",".0000509"
"5.state","1.290099",".2770496"
"6.state","1","."
"7.state",".9218191",".7067579"
"8.state","1.317109",".016747"
"9.state","1.565584",".0013237"
"10.state",".9029745",".7030583"
"11.state","1.067531",".8453898"
"12.state","1.326882",".0132732"
"13.state","1.426898",".0851573"
"14.state",".7263861",".1537124"
"15.state",".7283995",".0006007"
"16.state","1.270839",".0003794"
"17.state","2.392787","1.67e-08"
"4.time","1.777454",".0044557"
"5.time","2.008632",".0003128"
"6.time","1.8077",".0023556"
"7.time","2.109177",".0000564"
"8.time","2.401951","6.47e-06"
"9.time","1.940092",".0006695"
"10.time","1.552238",".0229765"
"11.time","2.169721",".0000602"
"12.time","2.154572",".0000703"
"13.time","1.900694",".0013111"
"14.time","1.918373",".0015573"
"15.time","2.336389","5.78e-06"
"16.time","1.608399",".0139665"
"17.time","1.748177",".0038683"
"18.time","1.820933",".001617"
"19.time","1.555882",".0225065"
"20.time","1.418846",".0763019"
"21.time","1.297061",".195034"
"22.time","1.596818",".0154286"
"23.time","1.540085",".0207495"
"24.time","1.21114",".3356127"
"25.time","1.707116",".005322"
"26.time","1.309059",".1557981"
"27.time","1.595456",".0123881"
"28.time","1.320547",".1392136"
"29.time","1.264468",".2088605"
"30.time","1.18359",".3880353"
"31.time","1.445029",".0487273"
"32.time","1.453903",".0423366"
"33.time","1.01266",".9446794"
"34.time","1.194144",".3778344"
"35.time","1.317669",".1401857"
"36.time","1","."
"37.time",".903845",".5833403"
"38.time",".8674354",".4542059"
"39.time","1.075168",".700773"
"40.time",".8043563",".2756294"
"41.time",".8524868",".3941321"
"42.time",".9457585",".7715622"
"43.time","1.112296",".5927018"
"44.time",".7915302",".21951"
"45.time",".9746174",".8894571"
"46.time","1.039613",".8333303"
"47.time","1.26058",".2093011"
"48.time",".7993987",".2276368"
"49.time","1.131805",".4917627"
"50.time","1.072736",".7134942"
"51.time","1.345276",".1310497"
"52.time",".819167",".325587"
"53.time",".8328186",".3519469"
"54.time",".6677083",".0460508"
"55.time",".9079524",".6385882"
"56.time",".9069571",".6457537"
"N","19957",""
