"","est1",""
"","b","p"
"dv_indicator","",""
"p47_1lag","1.048607",".7617289"
"p48_1lag",".9672769",".2721739"
"p71_1lag","1.284077",".1753235"
"p72_1lag",".953475",".5846576"
"p75_1lag","1.006207",".0000707"
"p77_1lag",".989589",".6344885"
"mine_time",".9990955",".7159514"
"onsite_insp_hours","1.000694",".0136032"
"union",".9717905",".7509207"
"longwall","1.037176",".7794157"
"1.state","1.928972",".0031856"
"2.state","2.009358","0"
"3.state",".884738",".5525483"
"4.state","1.649682",".0001948"
"5.state","1.205826",".4156917"
"6.state","1","."
"7.state",".8821386",".5480301"
"8.state","1.122902",".2866326"
"9.state","1.418723",".0081878"
"10.state",".8994433",".6774047"
"11.state","1.12848",".6877256"
"12.state","1.324805",".0084547"
"13.state","1.492982",".0325531"
"14.state",".6908039",".0891902"
"15.state",".7534445",".0006809"
"16.state","1.272121",".0001343"
"17.state","2.032622","6.87e-07"
"2.time",".9167708",".5841056"
"3.time","1.294847",".1008048"
"4.time",".7790704",".1147812"
"5.time",".8467128",".2895497"
"6.time",".7848322",".1427559"
"7.time","1","."
"8.time",".9401225",".6977227"
"9.time",".8299517",".2206667"
"10.time",".6659896",".0150042"
"11.time",".9308984",".661658"
"12.time",".9100895",".5696842"
"13.time",".7526826",".0994807"
"14.time",".7585329",".1014003"
"15.time",".9761013",".8856219"
"16.time",".6404711",".0086854"
"17.time",".740977",".0792883"
"18.time",".7461438",".07281"
"19.time",".6636187",".0180924"
"20.time",".5922282",".0048637"
"21.time",".5582932",".0006038"
"22.time",".708865",".0327715"
"23.time",".6262542",".0052064"
"24.time",".5062099",".0000448"
"25.time",".7452126",".0812873"
"26.time",".5981772",".0025238"
"27.time",".6369751",".0068503"
"28.time",".5929864",".003257"
"29.time",".5416576",".0002689"
"30.time",".5170237",".0002225"
"31.time",".6252121",".0052785"
"32.time",".6256668",".0056623"
"33.time",".4566787","7.01e-06"
"34.time",".492957",".0000667"
"35.time",".5154953",".0001191"
"36.time",".3829543","4.06e-08"
"37.time",".3951388","2.35e-07"
"38.time",".3510075","5.05e-09"
"39.time",".4326211","3.10e-06"
"40.time",".3299235","2.35e-09"
"41.time",".3525038","2.02e-08"
"42.time",".3779587","2.58e-07"
"43.time",".4634487",".0000273"
"44.time",".3490041","1.39e-08"
"45.time",".4578451",".0000274"
"46.time",".4510618","9.44e-06"
"47.time",".5267864",".0002354"
"48.time",".348551","1.03e-08"
"49.time",".4727186",".0000371"
"50.time",".4431421",".0000127"
"51.time",".5088029",".0002953"
"52.time",".324416","8.71e-09"
"53.time",".3258981","3.17e-09"
"54.time",".2722779","2.31e-10"
"55.time",".3521827","2.90e-07"
"56.time",".3618524","1.03e-06"
"N","23482",""
