"","est1",""
"","b","p"
"dv","",""
"p47_pp_c_lag_all","1.00039",".6487334"
"p48_pp_c_lag_all","1.00011",".4141115"
"p71_pp_c_lag_all",".9998986",".8847574"
"p72_pp_c_lag_all","1.000272",".3347843"
"p75_pp_c_lag_all","1",".8661239"
"p77_pp_c_lag_all",".9999413",".3255933"
"mine_time",".9969633",".3044007"
"onsite_insp_hours",".9998851",".4575126"
"union",".8474121",".1572856"
"longwall","1.047707",".7083945"
"1.state","1.379887",".0494408"
"3.state",".7244554",".0951838"
"4.state","1.166916",".0923485"
"5.state","1.179003",".4748813"
"6.state","1","."
"7.state","1.170038",".0050722"
"9.state",".853938",".4135717"
"10.state","1.098501",".5883701"
"11.state",".8397775",".7489457"
"12.state",".7304294",".0655244"
"13.state","1.068607",".7709387"
"14.state",".6894495",".0527899"
"15.state",".6745824",".0122094"
"16.state","1.0057",".9448509"
"17.state","1.190124",".3337019"
"29.time","1.111314",".4068314"
"30.time",".985593",".9167438"
"31.time","1.115497",".3508143"
"32.time","1.130427",".3135587"
"33.time",".9038945",".421812"
"34.time",".9198281",".5025518"
"35.time","1.108072",".3683034"
"36.time","1","."
"37.time",".9384083",".5678964"
"38.time",".9001256",".3999091"
"39.time",".9988759",".9930307"
"40.time",".7506653",".0221714"
"41.time",".812005",".114345"
"42.time",".8523419",".2299669"
"43.time",".9518103",".7052854"
"44.time",".8572237",".2149165"
"45.time",".9694375",".8006472"
"46.time",".8631355",".2313804"
"47.time","1.001537",".9903878"
"48.time",".8113059",".1360516"
"49.time",".9822025",".889783"
"50.time",".8618709",".2447288"
"51.time",".9966885",".9776122"
"52.time",".8767331",".3601218"
"53.time",".8994791",".4270852"
"54.time",".7397552",".0336086"
"55.time","1.061844",".652909"
"56.time",".8650117",".3185559"
"N","7496",""
