"","est1",""
"","b","p"
"dv","",""
"p47_ss_1lag","1.527944",".0436609"
"p48_ss_1lag",".9886464",".8196913"
"p71_ss_1lag",".9144479",".6854858"
"p72_ss_1lag","1.048448",".804225"
"p75_ss_1lag","1.006003",".0041753"
"p77_ss_1lag","1.038896",".1697144"
"mine_time",".9991019",".6750959"
"onsite_insp_hours",".999842",".2790004"
"union",".8945567",".1390067"
"longwall",".8283445",".0197652"
"1.state","1.351035",".0050335"
"2.state","2.132302","0"
"3.state",".8730726",".4341237"
"4.state","1.298015",".0071992"
"5.state","1.040257",".8105729"
"6.state","1","."
"7.state",".8167425",".2767468"
"8.state","1.317324",".0007918"
"9.state","1.013079",".8961827"
"10.state","1.280385",".1741763"
"11.state",".9680505",".891235"
"12.state","1.029966",".7687923"
"13.state","1.248041",".1493645"
"14.state",".7464416",".0334163"
"15.state",".7308689",".0002657"
"16.state","1.103438",".085005"
"17.state","1.501736",".0001813"
"2.time","1.002373",".982704"
"3.time","1.184581",".0868194"
"4.time",".8859822",".2385394"
"5.time",".8875369",".2190066"
"6.time",".812127",".0415965"
"7.time","1","."
"8.time",".8438925",".0644038"
"9.time",".8820454",".1755462"
"10.time",".7989818",".0330976"
"11.time",".9932271",".9435114"
"12.time",".9123493",".3734751"
"13.time",".736974",".004674"
"14.time",".8312225",".0877743"
"15.time",".9118357",".3781515"
"16.time",".6601029",".0000713"
"17.time",".8512093",".1559162"
"18.time",".7955423",".0251167"
"19.time",".7961112",".0317425"
"20.time",".7094769",".0030437"
"21.time",".6229355","6.59e-06"
"22.time",".7826974",".0164521"
"23.time",".6915448",".0006257"
"24.time",".6461824",".0000995"
"25.time",".6714313",".0002816"
"26.time",".6694843",".0007827"
"27.time",".7232411",".0041709"
"28.time",".5968931",".0000162"
"29.time",".615268",".0000115"
"30.time",".5975297",".0000337"
"31.time",".6491062",".000061"
"32.time",".6325066",".0000605"
"33.time",".5276934","7.01e-08"
"34.time",".5495212","7.79e-08"
"35.time",".6343591",".0000604"
"36.time",".5055206","4.76e-09"
"37.time",".5030335","5.27e-09"
"38.time",".4715396","5.11e-10"
"39.time",".5777655",".000015"
"40.time",".4293116","1.41e-12"
"41.time",".4600856","2.50e-09"
"42.time",".478594","5.05e-09"
"43.time",".5652592","3.96e-06"
"44.time",".4412437","1.10e-10"
"45.time",".5187864","2.66e-07"
"46.time",".5016219","1.35e-08"
"47.time",".5641774","1.42e-06"
"48.time",".4609784","4.89e-10"
"49.time",".5711562","3.20e-06"
"50.time",".4969801","8.06e-10"
"51.time",".5596135","3.25e-06"
"52.time",".4603323","1.23e-09"
"53.time",".485858","1.77e-08"
"54.time",".4161911","1.33e-09"
"55.time",".5456918","3.22e-06"
"56.time",".4541553","9.61e-09"
"N","23482",""
