"","est1",""
"","b","p"
"dv","",""
"p47_1lag","1.112998",".3525644"
"p48_1lag",".9754467",".2522322"
"p71_1lag","1.052423",".4347182"
"p72_1lag",".9752314",".61917"
"p75_1lag","1.002652",".0023739"
"p77_1lag",".9925664",".4238754"
"mine_time",".9989333",".6166517"
"onsite_insp_hours",".9997658",".1192758"
"union",".8818542",".0901894"
"longwall",".8296281",".0207017"
"1.state","1.37914",".0022134"
"2.state","2.19568","0"
"3.state",".8663289",".4123107"
"4.state","1.265935",".012519"
"5.state","1.023293",".8888577"
"6.state","1","."
"7.state",".8152108",".2736429"
"8.state","1.343131",".0003289"
"9.state","1.022076",".822513"
"10.state","1.290166",".1634729"
"11.state",".9802924",".9327233"
"12.state","1.05486",".5918907"
"13.state","1.258837",".1368331"
"14.state",".7612434",".0426618"
"15.state",".740259",".000299"
"16.state","1.10497",".0788749"
"17.state","1.531591",".0000657"
"2.time","1.001761",".9871334"
"3.time","1.187257",".0824023"
"4.time",".8853533",".2371457"
"5.time",".890406",".2332671"
"6.time",".812241",".0411689"
"7.time","1","."
"8.time",".8444241",".0655823"
"9.time",".8887736",".2040079"
"10.time",".7989048",".0327238"
"11.time",".9964921",".9709739"
"12.time",".9137592",".3827562"
"13.time",".7386792",".0048029"
"14.time",".8292619",".0830639"
"15.time",".9135063",".3865682"
"16.time",".6612806",".0000716"
"17.time",".8573592",".1754751"
"18.time",".7984506",".0279982"
"19.time",".805235",".0423204"
"20.time",".7170094",".0040156"
"21.time",".6269393","7.02e-06"
"22.time",".7890056",".018883"
"23.time",".6965069",".0007313"
"24.time",".6510679",".0001153"
"25.time",".6787801",".0003931"
"26.time",".6755025",".0008549"
"27.time",".7338386",".00614"
"28.time",".5977636",".0000176"
"29.time",".617648",".0000152"
"30.time",".60217",".0000458"
"31.time",".643263",".0000573"
"32.time",".6386105",".0000855"
"33.time",".5230122","6.48e-08"
"34.time",".5415895","5.15e-08"
"35.time",".6246869",".0000374"
"36.time",".5005921","3.17e-09"
"37.time",".5017007","4.64e-09"
"38.time",".4609592","1.55e-10"
"39.time",".5706078",".0000105"
"40.time",".42199","4.68e-13"
"41.time",".4577265","2.29e-09"
"42.time",".4715085","2.20e-09"
"43.time",".5576206","1.92e-06"
"44.time",".4404714","8.88e-11"
"45.time",".516492","1.70e-07"
"46.time",".4944973","7.43e-09"
"47.time",".5606782","1.09e-06"
"48.time",".4582671","4.10e-10"
"49.time",".5670492","2.33e-06"
"50.time",".4904784","5.94e-10"
"51.time",".5529401","1.77e-06"
"52.time",".457338","7.77e-10"
"53.time",".4818115","1.22e-08"
"54.time",".4123283","8.09e-10"
"55.time",".544494","4.02e-06"
"56.time",".4484962","5.57e-09"
"N","23482",""
