"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_pp_c_lag_all","1.001955",".2853798"
"sp47_42_pp_c_lag_all",".9884608",".0136814"
"sp47_44_pp_c_lag_all",".9995029",".8818197"
"sp48_11_pp_c_lag_all","1.002558",".1865051"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all",".9912627",".0106444"
"sp48_26_pp_c_lag_all","1.002182",".4653981"
"sp48_27_pp_c_lag_all","1.003341",".2339722"
"sp48_28_pp_c_lag_all",".9923317",".0201268"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all",".9997241",".939828"
"sp48_6_pp_c_lag_all","1.002169",".1633584"
"sp48_7_pp_c_lag_all","1.001011",".556334"
"sp48_8_pp_c_lag_all",".9920763",".0436933"
"sp71_701_pp_c_lag_all","1","."
"sp72_503_pp_c_lag_all",".9968",".1790975"
"sp72_610_pp_c_lag_all","1","."
"sp72_620_pp_c_lag_all",".9912735",".4293131"
"sp72_630_pp_c_lag_all",".9999238",".7432929"
"sp75_100_pp_c_lag_all","1.006431",".3235951"
"sp75_1001_1_pp_c_lag_all",".9358453",".0427595"
"sp75_1001_pp_c_lag_all","1.056812",".2705294"
"sp75_1003_1_pp_c_lag_all","1.002723",".7165486"
"sp75_1100_2_pp_c_lag_all","1.000529",".0246899"
"sp75_1101_20_pp_c_lag_all",".9870899",".0362449"
"sp75_1102_pp_c_lag_all","1.001385",".2137287"
"sp75_1103_4_pp_c_lag_all",".9997972",".5721001"
"sp75_1104_pp_c_lag_all",".9959075",".0173549"
"sp75_1106_2_pp_c_lag_all","1.000911",".5379178"
"sp75_1106_3_pp_c_lag_all",".9986574",".0054816"
"sp75_1106_4_pp_c_lag_all",".9968556",".4259788"
"sp75_1106_5_pp_c_lag_all",".9991257",".4757054"
"sp75_1106_6_pp_c_lag_all","1.028332",".0357957"
"sp75_1106_pp_c_lag_all","1.008497",".035688"
"sp75_1107_14_pp_c_lag_all","1.020086",".3105511"
"sp75_1400_1_pp_c_lag_all",".9882008",".0962055"
"sp75_1400_2_pp_c_lag_all","1.010757",".4337423"
"sp75_1400_3_pp_c_lag_all",".9990943",".7229548"
"sp75_1400_4_pp_c_lag_all",".986496",".008498"
"sp75_1400_pp_c_lag_all","1.000403",".8754067"
"sp75_1401_1_pp_c_lag_all","1","."
"sp75_1401_pp_c_lag_all","1.002711",".8658573"
"sp75_1403_10_pp_c_lag_all","1.001218",".0452509"
"sp75_1403_11_pp_c_lag_all",".9471235",".0109502"
"sp75_1403_3_pp_c_lag_all",".917264",".1153482"
"sp75_1403_4_pp_c_lag_all","1.208874",".0070049"
"sp75_1403_5_pp_c_lag_all",".9995367",".2126985"
"sp75_1403_6_pp_c_lag_all",".999632",".1400962"
"sp75_1403_7_pp_c_lag_all",".9986124",".3566718"
"sp75_1403_8_pp_c_lag_all",".9994435",".2781082"
"sp75_1403_9_pp_c_lag_all",".9975056",".4148217"
"sp75_1404_1_pp_c_lag_all",".9510386",".0000406"
"sp75_1404_pp_c_lag_all","1.00199",".7672299"
"sp75_1405_1_pp_c_lag_all","1.048512",".5063747"
"sp75_1405_pp_c_lag_all","1.000946",".1569304"
"sp75_1431_pp_c_lag_all",".9276793",".2503507"
"sp75_1432_pp_c_lag_all",".9971386",".6394016"
"sp75_1433_pp_c_lag_all",".9997688",".9503763"
"sp75_1434_pp_c_lag_all","1.001209",".6442474"
"sp75_1435_pp_c_lag_all",".9763767",".1683228"
"sp75_1437_pp_c_lag_all",".9944884",".5247433"
"sp75_150_pp_c_lag_all","1.008992",".0955092"
"sp75_151_pp_c_lag_all",".9960125",".5704534"
"sp75_153_pp_c_lag_all","1.001966",".8491161"
"sp75_156_pp_c_lag_all",".9961968",".6822975"
"sp75_160_pp_c_lag_all",".9829133",".0786477"
"sp75_1600_2_pp_c_lag_all","1.000131",".8514729"
"sp75_1712_10_pp_c_lag_all",".9998987",".9727225"
"sp75_1712_6_pp_c_lag_all","1.003914",".028451"
"sp75_1720_pp_c_lag_all",".9993988",".6111948"
"sp75_1721_pp_c_lag_all","1","."
"sp75_1725_pp_c_lag_all","1.00009",".3472438"
"sp75_1726_pp_c_lag_all","1.009992","2.48e-06"
"sp75_1727_pp_c_lag_all","1","."
"sp75_1728_pp_c_lag_all",".9953161",".713824"
"sp75_1729_pp_c_lag_all",".9900094",".0458579"
"sp75_1730_pp_c_lag_all","1.005579",".237639"
"sp75_1731_pp_c_lag_all","1.000003",".9685523"
"sp75_1903_pp_c_lag_all","1.003919",".0173767"
"sp75_1909_pp_c_lag_all",".9998934",".5912372"
"sp75_1910_pp_c_lag_all","1.000433",".2347549"
"sp75_1911_pp_c_lag_all","1.000433",".3049309"
"sp75_1912_pp_c_lag_all",".9980442",".6590678"
"sp75_1913_pp_c_lag_all","1.004291",".3287134"
"sp75_1914_pp_c_lag_all",".9996198",".1268083"
"sp75_1915_pp_c_lag_all",".9954921",".1974001"
"sp75_202_pp_c_lag_all","1.000008",".86901"
"sp75_208_pp_c_lag_all",".9993301",".212035"
"sp75_211_pp_c_lag_all","1.000255",".474715"
"sp75_212_pp_c_lag_all",".9983745",".1946789"
"sp75_214_pp_c_lag_all",".9985892",".1515765"
"sp75_312_pp_c_lag_all",".9991577",".2426238"
"sp75_320_pp_c_lag_all",".9997923",".682311"
"sp75_324_pp_c_lag_all",".9973443",".1069657"
"sp75_337_pp_c_lag_all","1.000274",".7586062"
"sp75_340_pp_c_lag_all","1.001457",".0002436"
"sp75_341_pp_c_lag_all","1.026969",".4219977"
"sp75_342_pp_c_lag_all",".9998831",".5470511"
"sp75_344_pp_c_lag_all","1.00273",".4818232"
"sp75_352_pp_c_lag_all","1.001208",".5837658"
"sp75_382_pp_c_lag_all",".9975213",".2048698"
"sp75_503_pp_c_lag_all","1.000097",".1565519"
"sp75_504_pp_c_lag_all",".9955462",".2170604"
"sp75_505_pp_c_lag_all","1.004566",".2718807"
"sp75_506_1_pp_c_lag_all","1.00308",".4956346"
"sp75_506_pp_c_lag_all","1.000943",".7099618"
"sp75_507_pp_c_lag_all","1.001158",".3395543"
"sp75_511_1_pp_c_lag_all","1.031734",".1634842"
"sp75_511_pp_c_lag_all","1.001885",".2688192"
"sp75_512_1_pp_c_lag_all","1.011136",".2852601"
"sp75_512_2_pp_c_lag_all","1.000751",".0872016"
"sp75_512_pp_c_lag_all","1.000017",".8907445"
"sp75_513_1_pp_c_lag_all","1.001754",".7219171"
"sp75_513_pp_c_lag_all",".9941009",".0005227"
"sp75_514_pp_c_lag_all","1.000241",".6016218"
"sp75_515_pp_c_lag_all",".9986735",".0000832"
"sp75_516_1_pp_c_lag_all","1.005254",".6134999"
"sp75_516_2_pp_c_lag_all",".9998235",".8460409"
"sp75_516_pp_c_lag_all",".9993477",".0986208"
"sp75_517_1_pp_c_lag_all","1.000512",".9442075"
"sp75_517_pp_c_lag_all",".9999096",".2302407"
"sp75_518_1_pp_c_lag_all",".9991885",".3620045"
"sp75_518_pp_c_lag_all","1.000193",".6567685"
"sp75_519_pp_c_lag_all",".9993213",".974749"
"sp75_520_pp_c_lag_all","1.000342",".7611221"
"sp75_523_1_pp_c_lag_all",".9983518",".1138483"
"sp75_523_2_pp_c_lag_all","1.00004",".9575274"
"sp75_523_pp_c_lag_all",".9988077",".1492524"
"sp75_600_1_pp_c_lag_all",".9745092",".023665"
"sp75_600_pp_c_lag_all",".9870362",".1828899"
