"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_ss_c_lag_all",".8451016",".8398623"
"sp47_44_ss_c_lag_all",".5813555",".5788345"
"sp48_11_ss_c_lag_all","1.272088",".1245874"
"sp48_25_ss_c_lag_all",".8623699",".2797603"
"sp48_26_ss_c_lag_all","1.278661",".1787794"
"sp48_27_ss_c_lag_all","1.033076",".8233405"
"sp48_28_ss_c_lag_all",".9316919",".668337"
"sp48_4_ss_c_lag_all","1","."
"sp48_5_ss_c_lag_all","1.10051",".5606954"
"sp48_6_ss_c_lag_all","1.057647",".6540208"
"sp48_7_ss_c_lag_all","1.104684",".5111455"
"sp48_8_ss_c_lag_all",".752474",".2957523"
"sp71_701_ss_c_lag_all","1","."
"sp72_503_ss_c_lag_all",".3420862",".0152445"
"sp72_610_ss_c_lag_all","1.002645",".9967074"
"sp72_620_ss_c_lag_all","1.666973",".3904027"
"sp72_630_ss_c_lag_all",".9930591",".6687145"
"sp75_100_ss_c_lag_all",".7877879",".5781116"
"sp75_1001_1_ss_c_lag_all","1.684616",".6994423"
"sp75_1001_ss_c_lag_all",".2432417",".2267949"
"sp75_1003_1_ss_c_lag_all","2.860861",".0217197"
"sp75_1100_2_ss_c_lag_all","1.010448",".6527085"
"sp75_1101_20_ss_c_lag_all","1","."
"sp75_1102_ss_c_lag_all",".8966535",".2058828"
"sp75_1103_4_ss_c_lag_all",".9769445",".696746"
"sp75_1104_ss_c_lag_all",".8981664",".6167346"
"sp75_1106_2_ss_c_lag_all","1.154583",".1842195"
"sp75_1106_3_ss_c_lag_all","1.007545",".854334"
"sp75_1106_4_ss_c_lag_all",".9122003",".6907381"
"sp75_1106_5_ss_c_lag_all",".8958605",".3023327"
"sp75_1106_6_ss_c_lag_all",".8066589",".6259617"
"sp75_1106_ss_c_lag_all","1.196787",".5318619"
"sp75_1107_14_ss_c_lag_all","1.19e-06","0"
"sp75_1400_1_ss_c_lag_all",".4512745",".0979844"
"sp75_1400_2_ss_c_lag_all","5.80e-07","0"
"sp75_1400_3_ss_c_lag_all",".9219055",".7354691"
"sp75_1400_4_ss_c_lag_all","1","."
"sp75_1400_ss_c_lag_all",".9430093",".6242602"
"sp75_1401_ss_c_lag_all","2.18006",".2162569"
"sp75_1403_10_ss_c_lag_all","1.015031",".7282212"
"sp75_1403_11_ss_c_lag_all","899.6881",".001017"
"sp75_1403_3_ss_c_lag_all","1.30e-06","4.00e-15"
"sp75_1403_4_ss_c_lag_all","29.08215",".0000685"
"sp75_1403_5_ss_c_lag_all",".9779856",".1377898"
"sp75_1403_6_ss_c_lag_all",".9794465",".337335"
"sp75_1403_7_ss_c_lag_all","1.085423",".3351775"
"sp75_1403_8_ss_c_lag_all",".9685602",".3238388"
"sp75_1403_9_ss_c_lag_all",".9672654",".9079056"
"sp75_1404_1_ss_c_lag_all",".3709076",".0090865"
"sp75_1404_ss_c_lag_all","1.782822",".3159148"
"sp75_1405_1_ss_c_lag_all","1.311267",".8230052"
"sp75_1405_ss_c_lag_all",".9908702",".8295511"
"sp75_1431_ss_c_lag_all",".5290796",".4260564"
"sp75_1432_ss_c_lag_all","1","."
"sp75_1433_ss_c_lag_all",".8727191",".7425627"
"sp75_1434_ss_c_lag_all",".9409907",".8095633"
"sp75_1435_ss_c_lag_all",".2497212",".1916241"
"sp75_1437_ss_c_lag_all","1.136514",".8906721"
"sp75_150_ss_c_lag_all","13.15443","6.74e-08"
"sp75_151_ss_c_lag_all",".4042889",".2687024"
"sp75_153_ss_c_lag_all",".6604184",".784362"
"sp75_155_ss_c_lag_all","1","."
"sp75_156_ss_c_lag_all",".1164093",".0002761"
"sp75_1600_2_ss_c_lag_all","1.21638",".2401493"
"sp75_1712_10_ss_c_lag_all","1.188095",".5576748"
"sp75_1712_6_ss_c_lag_all","1286190","0"
"sp75_1720_ss_c_lag_all","1.037444",".5311577"
"sp75_1721_ss_c_lag_all",".8180608",".365935"
"sp75_1725_ss_c_lag_all",".9973173",".6001507"
"sp75_1726_ss_c_lag_all","1.190382",".1575392"
"sp75_1727_ss_c_lag_all","1.085635",".7644516"
"sp75_1728_ss_c_lag_all","2.017517","5.49e-07"
"sp75_1729_ss_c_lag_all",".8570012",".4011719"
"sp75_1730_ss_c_lag_all","1.123918",".7688711"
"sp75_1731_ss_c_lag_all","1.002267",".7192154"
"sp75_1903_ss_c_lag_all","2.119213",".2274215"
"sp75_1909_ss_c_lag_all",".9986813",".9517842"
"sp75_1910_ss_c_lag_all",".9876657",".7787811"
"sp75_1911_ss_c_lag_all",".9372965",".3930763"
"sp75_1912_ss_c_lag_all",".9635482",".930429"
"sp75_1913_ss_c_lag_all","1.199649",".6928612"
"sp75_1914_ss_c_lag_all","1.010081",".6127411"
"sp75_1915_ss_c_lag_all",".9770176",".9524701"
"sp75_202_ss_c_lag_all","1.001881",".5106647"
"sp75_208_ss_c_lag_all",".9760689",".3518411"
"sp75_211_ss_c_lag_all",".9920879",".8018437"
"sp75_212_ss_c_lag_all",".9326876",".2510241"
"sp75_214_ss_c_lag_all","1.020891",".9113652"
"sp75_312_ss_c_lag_all","1.055761",".7263932"
"sp75_320_ss_c_lag_all",".7108432",".0000164"
"sp75_324_ss_c_lag_all",".8910805",".2582768"
"sp75_337_ss_c_lag_all",".9794483",".8335001"
"sp75_340_ss_c_lag_all","1.014026",".6440449"
"sp75_342_ss_c_lag_all","1.009906",".4791767"
"sp75_344_ss_c_lag_all","1.192543",".3751159"
"sp75_352_ss_c_lag_all",".8709887",".1240501"
"sp75_382_ss_c_lag_all","1.945503",".0430999"
"sp75_503_ss_c_lag_all","1.001939",".7161251"
"sp75_504_ss_c_lag_all",".6667491",".0886724"
"sp75_505_ss_c_lag_all","1.745444",".1126601"
"sp75_506_1_ss_c_lag_all","1.655508",".0672094"
"sp75_506_ss_c_lag_all","1.366719",".3066726"
"sp75_507_ss_c_lag_all","1.04535",".6388197"
"sp75_511_1_ss_c_lag_all","1.187606",".667249"
"sp75_511_ss_c_lag_all","1.014808",".8656894"
"sp75_512_1_ss_c_lag_all",".3409002",".1882803"
"sp75_512_2_ss_c_lag_all","1.013651",".8795266"
"sp75_512_ss_c_lag_all",".9985959",".9043604"
"sp75_513_1_ss_c_lag_all",".6763395",".6792254"
"sp75_513_ss_c_lag_all","1.071752",".7349161"
"sp75_514_ss_c_lag_all",".9952096",".9042371"
"sp75_515_ss_c_lag_all",".9264488",".0817402"
"sp75_516_1_ss_c_lag_all",".76903",".4743279"
"sp75_516_2_ss_c_lag_all",".2293782",".1186732"
"sp75_516_ss_c_lag_all",".990363",".885424"
"sp75_517_1_ss_c_lag_all",".9446874",".8823136"
"sp75_517_ss_c_lag_all","1.003402",".4265805"
"sp75_518_1_ss_c_lag_all",".8348076",".0403574"
"sp75_518_ss_c_lag_all","1.066643",".0831612"
"sp75_519_ss_c_lag_all","4.467259",".1430095"
"sp75_520_ss_c_lag_all",".9319775",".2259673"
"sp75_523_1_ss_c_lag_all","1.028642",".5382966"
"sp75_523_2_ss_c_lag_all",".9765781",".4405448"
"sp75_523_ss_c_lag_all","1.01092",".7412388"
"sp75_600_1_ss_c_lag_all",".6905215",".2057555"
"sp75_600_ss_c_lag_all",".9333556",".8733856"
"sp75_601_1_ss_c_lag_all","1.027659",".3576284"
"sp75_601_2_ss_c_lag_all","1.262585",".2194122"
"sp75_601_3_ss_c_lag_all","1.553837",".2386035"
"sp75_601_ss_c_lag_all",".9637132",".446177"
