"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41",".9726468",".8439395"
"sp48_11","1.190647",".2235781"
"sp71_701","1","."
"sp75_1001",".5286066",".5067135"
"sp75_1001_1",".7044791",".5485527"
"sp75_1003_1","1","."
"sp75_1400_1",".5045808",".3447127"
"sp75_1401",".4974402",".1833754"
"sp75_1401_1",".1791764",".1213014"
"sp75_1403_11","1","."
"sp75_1404_1","1.979838",".5895749"
"sp75_1405_1","1","."
"sp75_1431","1","."
"sp75_151","15.4074",".0029052"
"sp75_1721","1","."
"sp75_1731",".9541458",".0008184"
"sp75_1911","1.021233",".6425279"
"sp75_211",".9432127",".2098571"
"sp75_341",".7005002",".6573104"
"sp75_506_1","1.272818",".2603477"
"sp75_510_1","1","."
"sp75_511","1.142639",".3167055"
"sp75_511_1","1.571983",".625906"
"sp75_512_1","1.228114",".8166385"
"sp75_513_1","1.588072",".1849517"
"sp75_516_1","2.494928",".064828"
"sp75_517_1","2.068108",".0809477"
"sp75_518_1",".9890489",".838338"
"sp75_523_1","1.029682",".6986411"
"sp75_600_1","1.19314",".7275018"
"sp75_601","1.062465",".2096573"
"sp75_601_1",".9649148",".2499644"
"sp75_700_1",".6308181",".4313329"
"sp75_701","1.052575",".1364212"
"sp75_701_1",".928131",".5358767"
"sp75_702_1","1","."
"sp75_703_1","3.570492",".1388342"
"sp75_705_1","1.831703",".3100255"
"sp75_801","1.005451",".9923068"
"sp75_811","1.004002",".9731329"
"sp75_821",".9860776",".9346948"
"sp75_831","1.874183",".5746203"
"sp75_901",".8572266",".5921024"
"sp75_902_1","1.889056",".3439179"
"sp77_1111",".4142606",".0767305"
"sp77_401",".946688",".7634062"
"sp77_403_1",".9277804",".7907676"
"sp77_411",".3905124",".3685214"
"sp77_501",".9397331",".8038284"
"sp77_502_1",".3378163",".2366844"
"sp77_503_1","2.216606",".0951389"
"sp77_506_1",".9665102",".6290956"
"sp77_508_1","1.244982",".5372426"
"sp77_511",".4392086",".0518859"
"sp77_601","1.569917",".328916"
"sp77_606_1","1","."
"sp77_700_1","1.009435",".9889352"
"sp77_701","1.012834",".8786291"
"sp77_701_1",".6838964",".3464502"
"sp77_704_1","2.886435",".0710064"
"sp77_800_1",".9686105",".9353948"
"sp77_801","5.77891",".0283919"
"sp77_801_1","1","."
"sp77_807_1",".3564182",".1656251"
"sp77_900_1","1.918049",".5651363"
"sp77_901","1.087286",".7942206"
"sp77_901_1","1","."
"sp47_42",".7090463",".1755689"
"sp75_1100_2","1.064518",".0019805"
"sp75_1102","1.016603",".8778037"
"sp75_1106_2","1.070107",".5317911"
"sp75_1400_2","1.234309",".6707798"
"sp75_1402_2","1","."
"sp75_1432","1.281748",".6810526"
"sp75_1600_2","1.005036",".9528969"
"sp75_1912",".8718739",".6697937"
"sp75_202","1.001268",".9018594"
"sp75_212",".7790519",".0042653"
"sp75_312","1.060565",".3715182"
"sp75_342",".9824964",".4836123"
"sp75_352",".8308816",".2761377"
"sp75_382",".9780969",".9155344"
"sp75_512","1.001432",".9092587"
"sp75_512_2","1.040084",".351616"
"sp75_516_2","1.213832",".0131588"
"sp75_523_2","1.025874",".6853384"
"sp75_601_2","2.911733",".1887251"
"sp75_602","1.004319",".9627331"
"sp75_701_2","1.054384",".8281313"
"sp75_702","2.312522",".5153432"
"sp75_703_2","1.468859",".4069605"
"sp75_705_2","1","."
"sp75_800_2","2.778674",".0894735"
"sp75_802",".702487",".2724407"
"sp75_803_2","1","."
"sp75_812","1.097833",".8522642"
"sp75_832","1","."
"sp75_900_2","1.207098",".7037363"
"sp75_902",".9121815",".1056903"
"sp75_902_2","1.354851",".2117783"
"sp77_1112","1.225611",".582061"
"sp77_1432",".6947182",".6569947"
"sp77_1802",".2354237",".1528046"
"sp77_202",".9069346",".0321089"
"sp77_402",".9913563",".9325843"
"sp77_403_2","1","."
"sp77_412","1.874891",".0664017"
"sp77_502",".9539272",".1662688"
"sp77_502_2",".831082",".2611299"
"sp77_512","1.11991",".091947"
"sp77_602","1.438503",".4587618"
"sp77_701_2",".8099691",".2719588"
"sp77_702","1","."
"sp77_800_2",".6503163",".0990161"
"sp77_802",".5769304",".5752693"
"sp77_807_2",".4271251",".0604823"
"sp77_900_2","1.329656",".2732481"
"sp77_902","1.288278",".3739994"
"sp77_902_2","1","."
"sp47_43","1","."
"sp72_503",".7802492",".12841"
"sp75_1106_3","1.087815",".060877"
"sp75_1400_3","1.075221",".6629778"
"sp75_1403_3","1","."
"sp75_1433","1.052852",".8014847"
"sp75_153",".9992608",".9991407"
"sp75_1903","1.528729",".0518117"
"sp75_1913",".8693877",".3984343"
"sp75_503","1.02214",".0227191"
"sp75_513",".6388998",".0315662"
"sp75_523",".9566537",".481805"
"sp75_601_3","1.30922",".6943045"
"sp75_603","1.00073",".9965006"
"sp75_701_3",".8864523",".6805325"
"sp75_703","1.138843",".1222995"
"sp75_703_3",".7339862",".1076716"
"sp75_705_3","1","."
"sp75_800_3",".7548302",".3776938"
"sp75_803","1.154734",".538444"
"sp75_900_3","1.083276",".652994"
"sp75_903","1.115016",".2812012"
"sp77_103",".383292",".0906494"
"sp77_1103",".919036",".2366903"
"sp77_1403","1.147783",".7061626"
"sp77_1433",".8153258",".669783"
"sp77_203","2.258257",".1324078"
"sp77_403","1.435939",".4955108"
"sp77_413","1.01265",".9801997"
"sp77_503",".8610998",".596104"
"sp77_513","1.069245",".4218213"
"sp77_603","1.564303",".4619126"
"sp77_701_3",".2124502",".0223801"
"sp77_703","2.141959",".4005044"
"sp77_803","1.401964",".6216143"
"sp77_807_3","1","."
"sp77_902_3","2.601283",".0528608"
"sp77_903",".4377081",".2757372"
"sp47_44",".719836",".1928551"
"sp48_24","1","."
"sp48_4","1.845387",".6058051"
"sp75_1103_4","1.039293",".2911881"
"sp75_1104","1.115632",".3058639"
"sp75_1106_4","1.145222",".6011541"
"sp75_1107_14","2.62456",".3671831"
"sp75_1400_4",".8309728",".4857216"
"sp75_1403_4","1","."
"sp75_1404","1.288118",".6864396"
"sp75_1434",".9264001",".8264334"
"sp75_1914",".9839824",".5829793"
"sp75_214","1.102785",".3229621"
"sp75_324",".7496781",".2482501"
"sp75_344","1.418676",".2049388"
"sp75_504",".6575658",".1284604"
"sp75_514","1.040119",".3991821"
"sp75_604","1.066529",".0006617"
"sp75_701_4","1.708247",".2463459"
"sp75_703_4","1","."
"sp75_704","1.421635",".4151023"
"sp75_800_4","1.218108",".2882498"
"sp75_804",".8388593",".1956559"
"sp75_814","1.607906",".503117"
"sp75_834","1","."
"sp75_900_4","1.063721",".5082813"
"sp75_902_4",".9701413",".8106872"
"sp75_904",".9874191",".6766759"
"sp77_104","1.634658",".7452231"
"sp77_1104","1.024442",".3119567"
"sp77_1434","1.962541",".20381"
"sp77_204",".9206705",".4698037"
"sp77_314",".5855634",".3206977"
"sp77_404",".9804422",".4752503"
"sp77_504",".9964639",".9749519"
"sp77_514",".6067259",".2897468"
"sp77_604",".5994325",".0817273"
"sp77_701_4",".6914257",".2920083"
"sp77_704",".0504824",".0034719"
"sp77_804","15.45492",".0004079"
"sp77_904",".908819",".3024161"
"sp48_25",".4493739",".0004208"
"sp48_5","1.738348",".1321603"
"sp75_1106_5",".982367",".8906597"
"sp75_1403_5","1.035233",".3887137"
"sp75_1405",".8679062",".0626337"
"sp75_1435",".2644994",".002298"
"sp75_155","1","."
"sp75_1725","1.012833",".4479205"
"sp75_1915",".8190864",".4707556"
