"","est1",""
"","b","p"
"dv","",""
"sp47_41_pp_c_4lag",".9994141",".4171218"
"sp47_42_pp_c_4lag",".9988369",".5882037"
"sp47_44_pp_c_4lag",".9988437",".3621561"
"sp48_11_pp_c_4lag","1.00153",".0267339"
"sp48_24_pp_c_4lag",".9352839","0"
"sp48_25_pp_c_4lag",".9986333",".314482"
"sp48_26_pp_c_4lag","1.002961",".0004508"
"sp48_27_pp_c_4lag","1.0011",".1960806"
"sp48_28_pp_c_4lag",".9998681",".9359757"
"sp48_4_pp_c_4lag","1.012771","6.59e-10"
"sp48_5_pp_c_4lag",".9994986",".7663487"
"sp48_6_pp_c_4lag","1.001275",".0460831"
"sp48_7_pp_c_4lag","1.000204",".7401788"
"sp48_8_pp_c_4lag","1.002001",".078816"
"sp71_701_pp_c_4lag","1.011672",".0116152"
"sp72_503_pp_c_4lag",".9988237",".2134285"
"sp72_610_pp_c_4lag",".9997158",".9185925"
"sp72_620_pp_c_4lag","1.005081",".0197408"
"sp72_630_pp_c_4lag","1.000215",".0207666"
"sp75_100_pp_c_4lag","1.001004",".5602345"
"sp75_1001_1_pp_c_4lag",".9912117",".0120896"
"sp75_1001_pp_c_4lag","1","."
"sp75_1003_1_pp_c_4lag",".9926789",".0024941"
"sp75_1100_2_pp_c_4lag","1.000241",".0241679"
"sp75_1101_20_pp_c_4lag",".9938389",".0038011"
"sp75_1102_pp_c_4lag",".9989269",".1685973"
"sp75_1103_4_pp_c_4lag","1.000162",".3534339"
"sp75_1104_pp_c_4lag",".9989235",".1084679"
"sp75_1106_2_pp_c_4lag","1.000014",".9817935"
"sp75_1106_3_pp_c_4lag","1.000082",".6765851"
"sp75_1106_4_pp_c_4lag",".9971798",".1741172"
"sp75_1106_5_pp_c_4lag",".9998281",".8208817"
"sp75_1106_6_pp_c_4lag","1","."
"sp75_1106_pp_c_4lag","1.000494",".6891813"
"sp75_1107_14_pp_c_4lag","1.002787",".5224632"
"sp75_1400_1_pp_c_4lag",".9965827",".2455644"
"sp75_1400_2_pp_c_4lag","1.001613",".6986481"
"sp75_1400_3_pp_c_4lag","1.001164",".0418224"
"sp75_1400_4_pp_c_4lag",".993388",".0000326"
"sp75_1400_pp_c_4lag",".9985255",".1318035"
"sp75_1401_1_pp_c_4lag",".9950917",".5005298"
"sp75_1401_pp_c_4lag","1.000641",".8323224"
"sp75_1403_10_pp_c_4lag","1.00013",".6598875"
"sp75_1403_11_pp_c_4lag",".9956311",".1549761"
"sp75_1403_3_pp_c_4lag",".9938507",".0805754"
"sp75_1403_4_pp_c_4lag","1.008055",".1484774"
"sp75_1403_5_pp_c_4lag","1.000027",".8725438"
"sp75_1403_6_pp_c_4lag",".999974",".816817"
"sp75_1403_7_pp_c_4lag","1.000498",".380335"
"sp75_1403_8_pp_c_4lag",".9998747",".3967179"
"sp75_1403_9_pp_c_4lag","1.00006",".9288779"
"sp75_1404_1_pp_c_4lag",".9917246",".2523099"
"sp75_1404_pp_c_4lag",".9933592",".0100746"
"sp75_1405_1_pp_c_4lag","1.012085","1.09e-09"
"sp75_1405_pp_c_4lag",".9999591",".8499425"
"sp75_1431_pp_c_4lag","1","."
"sp75_1432_pp_c_4lag","1.000308",".8523569"
"sp75_1433_pp_c_4lag","1.000877",".6246471"
"sp75_1434_pp_c_4lag",".9982223",".0777826"
"sp75_1435_pp_c_4lag",".9966068",".4681977"
"sp75_1437_pp_c_4lag",".9993802",".8502784"
"sp75_150_pp_c_4lag","1.004551",".0030729"
"sp75_151_pp_c_4lag",".9992208",".8249453"
"sp75_153_pp_c_4lag","1.003261",".369337"
"sp75_156_pp_c_4lag","1.008393",".0119257"
"sp75_160_pp_c_4lag","1.003619",".321447"
"sp75_1600_2_pp_c_4lag",".9994088",".0853001"
"sp75_1712_10_pp_c_4lag",".9976077",".0240286"
"sp75_1712_6_pp_c_4lag","1.000516",".4614229"
"sp75_1720_pp_c_4lag","1.000071",".8884407"
"sp75_1721_pp_c_4lag","1.013276",".0014912"
"sp75_1725_pp_c_4lag",".9999485",".4095613"
"sp75_1726_pp_c_4lag","1.001087",".3039923"
"sp75_1727_pp_c_4lag",".5937367","0"
"sp75_1728_pp_c_4lag","1.006161",".0001132"
"sp75_1729_pp_c_4lag","1.000149",".9419457"
"sp75_1730_pp_c_4lag","1.003755",".0353987"
"sp75_1731_pp_c_4lag",".9999457",".1200452"
"sp75_1903_pp_c_4lag",".9995284",".3611284"
"sp75_1909_pp_c_4lag","1.000117",".2160093"
"sp75_1910_pp_c_4lag",".9999982",".9896758"
"sp75_1911_pp_c_4lag",".9997153",".1343627"
"sp75_1912_pp_c_4lag","1.001977",".1198904"
"sp75_1913_pp_c_4lag","1.001388",".4838708"
"sp75_1914_pp_c_4lag","1.000072",".5727811"
"sp75_1915_pp_c_4lag","1.002259",".0853564"
"sp75_202_pp_c_4lag",".9999694",".286526"
"sp75_208_pp_c_4lag",".9998093",".4461463"
"sp75_211_pp_c_4lag","1.000257",".214066"
"sp75_212_pp_c_4lag",".9991753",".1267733"
"sp75_214_pp_c_4lag","1.000191",".6928697"
"sp75_312_pp_c_4lag",".9995654",".3634042"
"sp75_320_pp_c_4lag",".9994968",".1379089"
"sp75_324_pp_c_4lag","1.000042",".965171"
"sp75_337_pp_c_4lag","1.000277",".4722948"
"sp75_340_pp_c_4lag","1.000158",".3997814"
"sp75_341_pp_c_4lag",".9890734",".0612537"
"sp75_342_pp_c_4lag","1.000081",".3571617"
"sp75_344_pp_c_4lag",".9973146",".022241"
"sp75_352_pp_c_4lag",".9994795",".3932649"
"sp75_382_pp_c_4lag",".9982263",".0021807"
"sp75_503_pp_c_4lag",".9999676",".4561939"
"sp75_504_pp_c_4lag","1.000769",".7036813"
"sp75_505_pp_c_4lag","1.000861",".6846364"
"sp75_506_1_pp_c_4lag","1.004157",".0177477"
"sp75_506_pp_c_4lag",".9999603",".9681829"
"sp75_507_pp_c_4lag",".9994339",".3368504"
"sp75_511_1_pp_c_4lag","1","."
"sp75_511_pp_c_4lag","1.000844",".2148825"
"sp75_512_1_pp_c_4lag",".994721",".3545076"
"sp75_512_2_pp_c_4lag","1.000304",".1145218"
"sp75_512_pp_c_4lag",".9999944",".9344186"
"sp75_513_1_pp_c_4lag",".9972527",".3652088"
"sp75_513_pp_c_4lag",".9979284",".043255"
"sp75_514_pp_c_4lag",".9997548",".2653246"
"sp75_515_pp_c_4lag",".9997099",".0424993"
"sp75_516_1_pp_c_4lag",".999444",".8474363"
"sp75_516_2_pp_c_4lag","1.0004",".2984383"
"sp75_516_pp_c_4lag",".9998387",".5438026"
"sp75_517_1_pp_c_4lag","1.003787",".1064175"
"sp75_517_pp_c_4lag",".9999495",".2627508"
"sp75_518_1_pp_c_4lag",".9999415",".8893459"
"sp75_518_pp_c_4lag","1.000197",".2576107"
"sp75_519_pp_c_4lag",".9954731",".2334725"
"sp75_520_pp_c_4lag","1.000149",".7425357"
"sp75_523_1_pp_c_4lag",".9981415",".0014678"
"sp75_523_2_pp_c_4lag",".9998627",".740703"
"sp75_523_pp_c_4lag",".9996988",".6247075"
"sp75_600_1_pp_c_4lag",".9966368",".1762096"
"sp75_600_pp_c_4lag","1.002205",".5097166"
"sp75_601_1_pp_c_4lag","1.000054",".763647"
"sp75_601_2_pp_c_4lag","1.000133",".9563372"
"sp75_601_3_pp_c_4lag",".9995887",".850835"
"sp75_601_pp_c_4lag",".9999096",".7421101"
"sp75_602_pp_c_4lag",".9998888",".8841717"
"sp75_603_pp_c_4lag",".998795",".0665241"
"sp75_604_pp_c_4lag","1.000228",".0009962"
"sp75_605_pp_c_4lag","1.000481",".0736629"
"sp75_606_pp_c_4lag","1.000062",".6082141"
"sp75_607_pp_c_4lag","1.00036",".6151391"
"sp75_700_1_pp_c_4lag","1.001847",".5241861"
"sp75_700_pp_c_4lag",".9993685",".4213395"
"sp75_701_1_pp_c_4lag",".9982377",".0469486"
"sp75_701_2_pp_c_4lag","1.001925",".0637885"
"sp75_701_3_pp_c_4lag","1.002371",".0090748"
"sp75_701_4_pp_c_4lag","1.011833",".0002179"
"sp75_701_pp_c_4lag","1.000142",".4345325"
"sp75_702_1_pp_c_4lag","1.001462",".5244443"
"sp75_702_pp_c_4lag",".9989477",".7039205"
"sp75_703_1_pp_c_4lag","1.001931",".6034468"
"sp75_703_2_pp_c_4lag","1.011753",".0192963"
"sp75_703_3_pp_c_4lag","1.00035",".7542533"
"sp75_703_4_pp_c_4lag","1.010066",".1368022"
"sp75_703_pp_c_4lag","1.000817",".0455539"
"sp75_704_pp_c_4lag",".9971694",".1359365"
