"","est1",""
"","b","p"
"dv","",""
"sp47_41_ss_c_4lag",".748737",".0718364"
"sp47_44_ss_c_4lag","1.734326",".0363941"
"sp48_11_ss_c_4lag","1.04763",".3999013"
"sp48_25_ss_c_4lag",".8504009",".0019369"
"sp48_26_ss_c_4lag","1.298922","9.85e-09"
"sp48_27_ss_c_4lag",".9736709",".7505263"
"sp48_28_ss_c_4lag",".9252332",".4101573"
"sp48_4_ss_c_4lag","1.547466",".5468165"
"sp48_5_ss_c_4lag",".9061507",".3795448"
"sp48_6_ss_c_4lag",".9507909",".5426419"
"sp48_7_ss_c_4lag","1.125269",".0553787"
"sp48_8_ss_c_4lag","1.016178",".9001257"
"sp71_701_ss_c_4lag","2.147067",".0007552"
"sp72_503_ss_c_4lag",".818935",".4154059"
"sp72_610_ss_c_4lag",".6579075",".0438186"
"sp72_620_ss_c_4lag","1.458778",".0364924"
"sp72_630_ss_c_4lag","1.022189",".0206479"
"sp75_100_ss_c_4lag","1.161575",".4198896"
"sp75_1001_1_ss_c_4lag","1.255799",".4826234"
"sp75_1001_ss_c_4lag","1.133823",".5909872"
"sp75_1003_1_ss_c_4lag",".615528",".0259461"
"sp75_1100_2_ss_c_4lag","1.024837",".0571771"
"sp75_1101_20_ss_c_4lag",".7798845",".0235504"
"sp75_1102_ss_c_4lag",".9323928",".2056148"
"sp75_1103_4_ss_c_4lag","1.053989",".1131222"
"sp75_1104_ss_c_4lag",".999447",".9964083"
"sp75_1106_2_ss_c_4lag",".9915745",".8659436"
"sp75_1106_3_ss_c_4lag","1.02983",".1740182"
"sp75_1106_4_ss_c_4lag",".8838161",".3785691"
"sp75_1106_5_ss_c_4lag",".9118026",".2554014"
"sp75_1106_6_ss_c_4lag",".5976598",".0853992"
"sp75_1106_ss_c_4lag",".9740982",".7575967"
"sp75_1107_14_ss_c_4lag","1.576757",".0294032"
"sp75_1400_1_ss_c_4lag","1.047851",".808727"
"sp75_1400_2_ss_c_4lag","1.206346",".4301686"
"sp75_1400_3_ss_c_4lag","1.101455",".4134282"
"sp75_1400_4_ss_c_4lag","1","."
"sp75_1400_ss_c_4lag","1.043286",".4945852"
"sp75_1401_ss_c_4lag","1.011368",".951382"
"sp75_1403_10_ss_c_4lag","1.022635",".2546367"
"sp75_1403_11_ss_c_4lag","1.120472",".6308939"
"sp75_1403_3_ss_c_4lag",".8065892",".5926405"
"sp75_1403_4_ss_c_4lag","1.086826",".5927395"
"sp75_1403_5_ss_c_4lag",".9812799",".0833603"
"sp75_1403_6_ss_c_4lag","1.001346",".9137525"
"sp75_1403_7_ss_c_4lag","1.026772",".5433234"
"sp75_1403_8_ss_c_4lag","1.003928",".7559056"
"sp75_1403_9_ss_c_4lag",".8252717",".0336642"
"sp75_1404_1_ss_c_4lag",".4342183",".0389225"
"sp75_1404_ss_c_4lag",".6143384",".0125068"
"sp75_1405_1_ss_c_4lag","1.063809",".8200119"
"sp75_1405_ss_c_4lag","1.006449",".6699363"
"sp75_1431_ss_c_4lag",".7630375",".5090311"
"sp75_1432_ss_c_4lag","2.34e-09","0"
"sp75_1433_ss_c_4lag",".9532073",".7276808"
"sp75_1434_ss_c_4lag","1.138572",".0860017"
"sp75_1435_ss_c_4lag",".9687121",".9171161"
"sp75_1437_ss_c_4lag","1.104063",".6109285"
"sp75_150_ss_c_4lag","1.560659",".2401192"
"sp75_151_ss_c_4lag",".3572521",".0007408"
"sp75_153_ss_c_4lag","2.194236",".1363996"
"sp75_155_ss_c_4lag",".728949",".0660158"
"sp75_156_ss_c_4lag",".9678523",".9175629"
"sp75_1600_2_ss_c_4lag",".7985646",".0861626"
"sp75_1712_10_ss_c_4lag",".8209528",".2898011"
"sp75_1712_6_ss_c_4lag","1.5168",".1336317"
"sp75_1720_ss_c_4lag","1.023894",".5231571"
"sp75_1721_ss_c_4lag","3.86e-09","0"
"sp75_1725_ss_c_4lag",".9997232",".9398606"
"sp75_1726_ss_c_4lag","1.137611",".1246758"
"sp75_1727_ss_c_4lag","1.971996",".0005328"
"sp75_1728_ss_c_4lag","1.727522",".0029772"
"sp75_1729_ss_c_4lag",".875072",".1910134"
"sp75_1730_ss_c_4lag",".9182625",".5973203"
"sp75_1731_ss_c_4lag",".9991828",".8525366"
"sp75_1903_ss_c_4lag","1.032416",".7189614"
"sp75_1909_ss_c_4lag","1.021823",".1372718"
"sp75_1910_ss_c_4lag",".9848851",".5253337"
"sp75_1911_ss_c_4lag",".8903814",".0010295"
"sp75_1912_ss_c_4lag","1.721269",".011166"
"sp75_1913_ss_c_4lag","1.178416",".0178929"
"sp75_1914_ss_c_4lag","1.017275",".1231262"
"sp75_1915_ss_c_4lag","1.130108",".1815564"
"sp75_202_ss_c_4lag","1.000675",".7860411"
"sp75_208_ss_c_4lag","1.000325",".9857262"
"sp75_211_ss_c_4lag","1.006144",".7374229"
"sp75_212_ss_c_4lag",".9224262",".0863181"
"sp75_214_ss_c_4lag",".8600743",".3148715"
"sp75_312_ss_c_4lag",".9304191",".6251544"
"sp75_320_ss_c_4lag",".9422174",".3185774"
"sp75_324_ss_c_4lag",".9392144",".1429772"
"sp75_337_ss_c_4lag","1.080736",".0128483"
"sp75_340_ss_c_4lag","1.000862",".955738"
"sp75_342_ss_c_4lag","1.008956",".3736489"
"sp75_344_ss_c_4lag","1.040811",".5277867"
"sp75_352_ss_c_4lag","1.017024",".7017438"
"sp75_382_ss_c_4lag","1.088925",".3467515"
"sp75_503_ss_c_4lag",".9933563",".1134344"
"sp75_504_ss_c_4lag",".8023668",".3697134"
"sp75_505_ss_c_4lag",".8420987",".4318619"
"sp75_506_1_ss_c_4lag","1.188953",".4106707"
"sp75_506_ss_c_4lag",".9914405",".9497936"
"sp75_507_ss_c_4lag","1.021054",".7944862"
"sp75_511_1_ss_c_4lag",".2625604","1.28e-10"
"sp75_511_ss_c_4lag","1.132659",".0044589"
"sp75_512_1_ss_c_4lag","2.493184",".0088381"
"sp75_512_2_ss_c_4lag","1.027436",".5282585"
"sp75_512_ss_c_4lag","1.000301",".9611921"
"sp75_513_1_ss_c_4lag",".6777712",".2878215"
"sp75_513_ss_c_4lag","1.005636",".9589461"
"sp75_514_ss_c_4lag",".9957315",".8414071"
"sp75_515_ss_c_4lag",".9253399",".0030407"
"sp75_516_1_ss_c_4lag",".705253",".0821469"
"sp75_516_2_ss_c_4lag",".7778163",".4507904"
"sp75_516_ss_c_4lag","1.03829",".4151155"
"sp75_517_1_ss_c_4lag",".8451265",".4299501"
"sp75_517_ss_c_4lag","1.000968",".8349073"
"sp75_518_1_ss_c_4lag",".7713943",".0000708"
"sp75_518_ss_c_4lag","1.074418",".0000399"
"sp75_519_ss_c_4lag","1.447037",".4553607"
"sp75_520_ss_c_4lag",".9653665",".373702"
"sp75_523_1_ss_c_4lag",".9810674",".6027847"
"sp75_523_2_ss_c_4lag","1.018022",".5665283"
"sp75_523_ss_c_4lag",".9594781",".2025154"
"sp75_600_1_ss_c_4lag",".4820677",".0620634"
"sp75_600_ss_c_4lag",".9924682",".958349"
"sp75_601_1_ss_c_4lag","1.005875",".7831224"
"sp75_601_2_ss_c_4lag","1.073433",".5983446"
"sp75_601_3_ss_c_4lag","1.210471",".4898678"
"sp75_601_ss_c_4lag",".9966473",".8874095"
"sp75_602_ss_c_4lag","1.063432",".1480273"
"sp75_603_ss_c_4lag",".9982909",".9739493"
"sp75_604_ss_c_4lag","1.019646",".0021278"
"sp75_605_ss_c_4lag","1.016384",".5645754"
"sp75_606_ss_c_4lag",".9974765",".8720646"
"sp75_607_ss_c_4lag","1.010058",".8559156"
"sp75_700_1_ss_c_4lag",".6804884",".2269769"
"sp75_700_ss_c_4lag",".9323442",".1573164"
"sp75_701_1_ss_c_4lag",".9886523",".8430545"
"sp75_701_2_ss_c_4lag","1.040494",".6710431"
"sp75_701_3_ss_c_4lag","1.132258",".1322848"
"sp75_701_4_ss_c_4lag","2.327618",".0166238"
"sp75_701_ss_c_4lag","1.034115",".1238607"
"sp75_703_2_ss_c_4lag",".8286618",".3100376"
"sp75_703_3_ss_c_4lag",".9187544",".3327701"
"sp75_703_ss_c_4lag","1.015858",".7246907"
"sp75_704_ss_c_4lag",".8649879",".736736"
"sp75_705_1_ss_c_4lag",".7909138",".0566803"
"sp75_705_8_ss_c_4lag","1.72e-09","0"
"sp75_705_ss_c_4lag","1.186072",".1929511"
"sp75_706_ss_c_4lag","1.007451",".9443056"
"sp75_800_2_ss_c_4lag","3.41e-10","0"
"sp75_800_3_ss_c_4lag","1.24119",".5804792"
"sp75_800_4_ss_c_4lag","3.603325",".0333052"
