"","est1",""
"","b","p"
"dv","",""
"sp47_41","1.027006",".6470471"
"sp48_11","1.069863",".327386"
"sp71_701","7.09e-13","0"
"sp75_1001",".8256624",".6037138"
"sp75_1001_1","1.182158",".5609662"
"sp75_1003_1",".926198",".6681341"
"sp75_1400_1",".788997",".5939229"
"sp75_1401",".863145",".475813"
"sp75_1401_1","1.086778",".917948"
"sp75_1403_11","1.300443",".4136318"
"sp75_1404_1",".9389981",".9032106"
"sp75_1405_1","1.236485",".7745867"
"sp75_1431","2.99e-13","0"
"sp75_151","2.988648",".1066741"
"sp75_1721","2.24e-11","0"
"sp75_1731",".9892372",".0834722"
"sp75_1911",".9930028",".7179028"
"sp75_211","1.009272",".7525044"
"sp75_341","1.00798",".9861023"
"sp75_506_1","1.078732",".580314"
"sp75_510_1","1.86616",".5465391"
"sp75_511","1.035671",".520037"
"sp75_511_1",".4380143",".0030077"
"sp75_512_1","2.190985",".0598204"
"sp75_513_1","1.107309",".4788292"
"sp75_516_1","1.416605",".1122154"
"sp75_517_1","1.171818",".4758139"
"sp75_518_1",".9900993",".7424958"
"sp75_523_1",".9950591",".9151309"
"sp75_600_1",".8157872",".311298"
"sp75_601","1.003807",".877049"
"sp75_601_1","1.002409",".8883769"
"sp75_700_1",".6597518",".2022472"
"sp75_701","1.019364",".2188579"
"sp75_701_1",".9272199",".2121723"
"sp75_702_1","1.861831",".2575656"
"sp75_703_1",".8065912",".5486121"
"sp75_705_1",".9777375",".906503"
"sp75_801","1.351819",".3574166"
"sp75_811","1.006668",".9117638"
"sp75_821","1.009217",".9147343"
"sp75_831",".8217908",".5119397"
"sp75_901",".8611141",".2654966"
"sp75_902_1","1.356497",".0918028"
"sp77_1111",".8678786",".3829524"
"sp77_401","1.074975",".4631285"
"sp77_403_1","1.017849",".9233599"
"sp77_411",".5709887",".3335261"
"sp77_501",".9865556",".8773248"
"sp77_502_1","2.054925",".1045"
"sp77_503_1","1.318041",".3308184"
"sp77_506_1",".9720624",".3836958"
"sp77_508_1","1.117085",".6140352"
"sp77_511",".9190251",".6930336"
"sp77_601","1.430921",".0457598"
"sp77_606_1",".840528",".6015588"
"sp77_700_1",".9011708",".7366876"
"sp77_701","1.01596",".6872678"
"sp77_701_1",".7262764",".2137528"
"sp77_704_1","1.43412",".1324257"
"sp77_800_1","1.176443",".5008795"
"sp77_801","2.266127",".059947"
"sp77_801_1","1.06e-11","0"
"sp77_807_1",".5081804",".1794494"
"sp77_900_1",".8864841",".7817662"
"sp77_901",".970746",".8645857"
"sp77_901_1","3.04e-13","0"
"sp47_42","1.005416",".9698891"
"sp75_1100_2","1.029289",".000842"
"sp75_1102","1.040322",".5884607"
"sp75_1106_2","1.031462",".4896968"
"sp75_1400_2","1.174652",".4007251"
"sp75_1402_2",".5282134",".0274717"
"sp75_1432",".7636082",".3051136"
"sp75_1600_2",".958377",".3184959"
"sp75_1912",".893601",".214249"
"sp75_202","1.003622",".4572123"
"sp75_212",".9301623",".1328151"
"sp75_312","1.082525",".0763729"
"sp75_342","1.016817",".1851874"
"sp75_352",".9608387",".4992968"
"sp75_382",".9105211",".2280912"
"sp75_512","1.000134",".9836296"
"sp75_512_2","1.014209",".4465323"
"sp75_516_2","1.086317",".0057615"
"sp75_523_2","1.006394",".819568"
"sp75_601_2","1.600348",".319831"
"sp75_602","1.013948",".7525743"
"sp75_701_2","1.002846",".9752964"
"sp75_702","1.454345",".537292"
"sp75_703_2","1.194743",".3274634"
"sp75_705_2","1.069701",".61088"
"sp75_800_2",".8091843",".369043"
"sp75_802",".947764",".8088844"
"sp75_803_2","3.241704","0"
"sp75_812","1.524018",".0253986"
"sp75_832","1.099267",".6725039"
"sp75_900_2","1.028441",".893917"
"sp75_902",".9900376",".7956356"
"sp75_902_2","1.059645",".4322638"
"sp77_1112",".9430738",".6826952"
"sp77_1432","1.428396",".427479"
"sp77_1802",".5783641",".1518657"
"sp77_202",".9537962",".0182563"
"sp77_402","1.01768",".6237849"
"sp77_403_2","1","."
"sp77_412","1.273184",".0103779"
"sp77_502",".9880459",".3621764"
"sp77_502_2",".8710018",".0194441"
"sp77_512","1.029248",".2826977"
"sp77_602","1.038081",".8839976"
"sp77_701_2",".9389104",".6485008"
"sp77_702",".729797",".5281019"
"sp77_800_2",".8129424",".1938232"
"sp77_802",".497643",".1288711"
"sp77_807_2",".6854682",".1989952"
"sp77_900_2",".9526833",".748219"
"sp77_902","1.1781",".2683194"
"sp77_902_2","5.64e-06","0"
"sp47_43","2.379859",".0228448"
"sp72_503",".8760968",".0750464"
"sp75_1106_3","1.042341",".0036866"
"sp75_1400_3","1.075134",".4489347"
"sp75_1403_3",".9655465",".8150356"
"sp75_1433",".9616935",".6851873"
"sp75_153","1.277357",".5605194"
"sp75_1903",".9290746",".0419467"
"sp75_1913","1.048251",".634513"
"sp75_503","1.001467",".7858263"
"sp75_513",".7667273",".0597078"
"sp75_523",".9790327",".6388994"
"sp75_601_3",".9907007",".9758742"
"sp75_603","1.001241",".9872365"
"sp75_701_3","1.013428",".8995631"
"sp75_703","1.016478",".6695887"
"sp75_703_3",".9070198",".3639643"
"sp75_705_3","4.95e-13","0"
"sp75_800_3",".8883285",".4326116"
"sp75_803","1.015609",".8697889"
"sp75_900_3","1.031424",".7412709"
"sp75_903","1.066674",".2038182"
"sp77_103",".38484",".0072688"
"sp77_1103",".9973486",".9190303"
"sp77_1403",".8822013",".3212269"
"sp77_1433","1.09158",".7780359"
"sp77_203","1.270362",".1241435"
"sp77_403","1.391996",".292729"
"sp77_413",".6929879",".0012711"
"sp77_503",".9567679",".7942751"
"sp77_513","1.010402",".8037619"
"sp77_603","1.403555",".3328313"
"sp77_701_3",".1825054","7.01e-11"
"sp77_703","1.043519",".8788417"
"sp77_803","1.169704",".4896349"
"sp77_807_3","1.77e-12","0"
"sp77_902_3","1.353429",".2374342"
"sp77_903",".7824329",".5133886"
"sp47_44",".8874836",".2115909"
"sp48_24",".0035962","0"
"sp48_4","1.483104",".6090362"
"sp75_1103_4","1.040918",".0403282"
"sp75_1104","1.01905",".6620429"
"sp75_1106_4","1.241435",".0329571"
"sp75_1107_14","2.222809",".0213212"
"sp75_1400_4",".7457673",".042626"
"sp75_1403_4",".9941229",".9728567"
"sp75_1404","1.338526",".2341049"
"sp75_1434",".8352004",".0741708"
"sp75_1914","1.014077",".1366497"
"sp75_214","1.003773",".9264194"
"sp75_324","1.009739",".9007381"
"sp75_344","1.126737",".1192153"
"sp75_504",".8035309",".2805647"
"sp75_514","1.034872",".1345495"
"sp75_604","1.02383",".0105803"
"sp75_701_4","2.057305",".0665024"
"sp75_703_4","1.26e-09","0"
"sp75_704","1.086561",".716077"
"sp75_800_4","1.291849",".0032533"
"sp75_804",".927837",".2300332"
"sp75_814",".9630982",".8277643"
"sp75_834","2.86e-12","0"
"sp75_900_4","1.038589",".0493257"
"sp75_902_4","1.017784",".7523604"
"sp75_904",".9862598",".2344434"
"sp77_104",".8079692",".7936803"
"sp77_1104","1.0186",".1087908"
"sp77_1434",".8334345",".354477"
"sp77_204",".9635232",".3828716"
"sp77_314",".4449882",".1014002"
"sp77_404",".9625983",".0076962"
"sp77_504",".910923",".0556047"
"sp77_514",".7923094",".1437149"
"sp77_604",".9030048",".6189069"
"sp77_701_4","1.002283",".9879217"
"sp77_704",".3429711",".0476562"
"sp77_804","3.479137",".0088396"
"sp77_904",".9364917",".1478783"
"sp48_25",".6245578",".0007652"
"sp48_5","1.099287",".5543388"
"sp75_1106_5","1.079813",".1889148"
"sp75_1403_5","1.000726",".9702656"
"sp75_1405",".955824",".1041528"
"sp75_1435","1.01185",".9669636"
"sp75_155",".591729",".0550799"
"sp75_1725","1.003574",".6120095"
"sp75_1915",".9447968",".5337344"
"sp75_505",".5261676",".0586156"
"sp75_515",".9695192",".0367283"
"sp75_605",".9798645",".4745949"
"sp75_701_5",".9033912",".3383923"
"sp75_705","1.201977",".5570981"
"sp75_805",".9633253",".8688317"
"sp75_815",".9695402",".8319053"
"sp75_825",".9026511",".6235275"
"sp75_905",".8047907",".1820606"
"sp77_1605",".9738705",".0876487"
"sp77_1915",".600361",".0042772"
"sp77_205","1.002569",".8109466"
"sp77_305","1.944624",".3055701"
"sp77_315",".7533468",".679745"
"sp77_405",".9723613",".8732155"
"sp77_505","1.025885",".4014827"
"sp77_515",".5901587",".3393652"
"sp77_605",".3186397",".0354075"
"sp77_705",".9823489",".8478087"
"sp77_805","1.461531",".1495407"
"sp48_26","1.293952",".0000763"
"sp48_6","1.070366",".3860979"
"sp75_1106","1.032487",".7423149"
