"","est1",""
"","b","p"
"dv_indicator","",""
"p47_pp_c_4lag",".9997371",".7657113"
"p48_pp_c_4lag","1.000607",".089943"
"p71_pp_c_4lag","1.000157",".9036802"
"p72_pp_c_4lag","1.000315",".7150758"
"p75_pp_c_4lag","1.000004",".5307151"
"p77_pp_c_4lag","1.000151",".2631562"
"mine_time","1.002759",".8711644"
"onsite_insp_hours","1.000783",".0013936"
"union","1.203125",".4878416"
"longwall","1.091181",".8282513"
"1.state","1.205027",".6983168"
"2.state","2.818596","9.84e-14"
"3.state",".7217715",".5902446"
"4.state","2.17971",".0144107"
"5.state",".9941659",".9912366"
"6.state",".8313228",".1685661"
"7.state","1.054942",".8233748"
"8.state","1.07711",".7791731"
"9.state","1","."
"10.state",".3903535",".02827"
"11.state",".4624145",".1674554"
"12.state",".8928947",".6764513"
"13.state","2.264864",".1758217"
"14.state",".7197811",".5123757"
"15.state",".6099319",".0011958"
"16.state","1","."
"17.state","1","."
"8.time","1.277067",".1244106"
"9.time","1","."
"10.time",".5156915",".0000232"
"11.time",".7036621",".0358735"
"12.time",".8361557",".2386131"
"13.time",".7252618",".0666751"
"14.time",".5000418",".0003214"
"N","2720",""
