"","est1",""
"","b","p"
"dv_indicator","",""
"p47_ss_c_lag_all","1.07154",".2097936"
"p48_ss_c_lag_all","1.010061",".5259806"
"p71_ss_c_lag_all","1.054199",".5242726"
"p72_ss_c_lag_all",".9452074",".062457"
"p75_ss_c_lag_all",".999974",".8684858"
"p77_ss_c_lag_all","1.020391",".0228618"
"mine_time",".9954898",".7927404"
"onsite_insp_hours","1.001373","1.19e-11"
"union","1.089649",".596721"
"longwall","1.036577",".914453"
"1.state","1.357863",".4533419"
"2.state","2.202716","4.44e-16"
"3.state",".7829172",".5113205"
"4.state","1.719593",".1121364"
"5.state",".7676359",".4495764"
"6.state",".6921055",".0001059"
"7.state",".7257497",".2294174"
"8.state","2.506128","0"
"9.state","2.322214","1.49e-06"
"10.state",".4861578",".0836921"
"11.state",".6384114",".1280471"
"12.state",".9255637",".6742011"
"13.state","2.193773",".0443164"
"14.state",".6873995",".2495146"
"15.state",".5840862","8.22e-07"
"16.state","1","."
"17.state","1","."
"1.time",".9832544",".9037597"
"2.time","1","."
"3.time",".7211366",".0278168"
"4.time",".7709905",".1210967"
"5.time",".5067281",".0000316"
"6.time",".5149764",".0000112"
"7.time",".5720855",".0003147"
"8.time",".5653004",".000491"
"9.time",".443671","1.34e-06"
"10.time",".2202024","0"
"11.time",".2954844","6.12e-11"
"12.time",".3617672","5.05e-08"
"13.time",".3060592","3.78e-09"
"14.time",".2029758","4.52e-13"
"N","5645",""
