"","est1",""
"","b","p"
"dv_indicator","",""
"p47",".8382407",".2594716"
"p48","1.050602",".2452176"
"p71","1.320202",".1648412"
"p72","1.180244",".2483776"
"p75","1.005328",".0004614"
"p77","1.035174",".0679221"
"mine_time","1.005026",".7510598"
"onsite_insp_hours","1.000791",".0006583"
"union","1.06952",".6738769"
"longwall","1.037204",".9006121"
"1.state","1.294169",".5158405"
"2.state","1.967307","1.05e-12"
"3.state",".6814364",".308003"
"4.state","1.853476",".0842006"
"5.state",".764845",".4546338"
"6.state",".6920601",".0000955"
"7.state",".5983457",".1038924"
"8.state","2.459375","0"
"9.state","2.008403",".0000226"
"10.state",".5298556",".1227772"
"11.state",".6083261",".0719849"
"12.state","1.025013",".8928396"
"13.state","2.167364",".0461608"
"14.state",".6179311",".1254755"
"15.state",".553942","9.35e-08"
"16.state","1","."
"17.state","1","."
"1.time",".9891883",".9383974"
"2.time","1","."
"3.time",".7468661",".0502642"
"4.time",".8032427",".1942728"
"5.time",".5287065",".0000915"
"6.time",".5342669",".0000392"
"7.time",".5765795",".0003821"
"8.time",".5478976",".0002731"
"9.time",".4295192","4.28e-07"
"10.time",".211735","0"
"11.time",".296645","8.73e-11"
"12.time",".3698148","6.24e-08"
"13.time",".3250294","1.92e-08"
"14.time",".2236376","6.34e-12"
"N","5645",""
