"","est1",""
"","b","p"
"dv","",""
"p47_pp_1lag",".9991314",".3274306"
"p48_pp_1lag","1.000127",".2875773"
"p71_pp_1lag","1.000498",".6063624"
"p72_pp_1lag",".9996956",".5643454"
"p75_pp_1lag","1.000014",".0053403"
"p77_pp_1lag",".9998755",".309091"
"mine_time",".9901268",".2719475"
"onsite_insp_hours",".9998685",".0326497"
"union",".9121324",".379045"
"longwall",".9737281",".8227208"
"1.state","1.410456",".0150893"
"2.state","2.254593","0"
"3.state",".7710105",".1075616"
"4.state","1.151814",".1700737"
"5.state","1.084744",".7166561"
"6.state",".9566466",".5091788"
"7.state",".9670275",".8138141"
"8.state","1.022094",".848525"
"9.state",".8478785",".2234408"
"10.state",".8899094",".5721549"
"11.state",".8803061",".8222676"
"12.state",".9292048",".5920637"
"13.state","1.228672",".2957986"
"14.state",".6937736",".0884555"
"15.state",".6866451",".0000482"
"16.state","1","."
"17.state","1.179385",".2173674"
"8.time","1.145137",".0325786"
"9.time","1","."
"10.time",".8558562",".0091658"
"11.time",".8790905",".0469694"
"12.time",".9324857",".248845"
"13.time",".9481879",".4261137"
"14.time",".8398994",".0243521"
"N","2734",""
