"","est1",""
"","b","p"
"dv","",""
"p47_ss_c_lag_all","1.009577",".8542598"
"p48_ss_c_lag_all","1.004975",".2825059"
"p71_ss_c_lag_all",".9790094",".4194814"
"p72_ss_c_lag_all",".9959662",".7330805"
"p75_ss_c_lag_all",".999984",".7656238"
"p77_ss_c_lag_all","1.001945",".3069446"
"mine_time",".9961692",".6740992"
"onsite_insp_hours",".9999918",".8489561"
"union",".9246692",".2703079"
"longwall",".8273002",".0167695"
"1.state","1.181844",".0967235"
"2.state","1.836624","0"
"3.state",".795804",".2248083"
"4.state","1.103346",".2718827"
"5.state",".9031242",".5777045"
"6.state",".8785804",".0223311"
"7.state",".7903191",".1389036"
"8.state","1.293",".00036"
"9.state",".8642021",".08699"
"10.state",".9776152",".9082071"
"11.state",".8653653",".5394259"
"12.state",".9456111",".5097391"
"13.state","1.277212",".1194453"
"14.state",".6796987",".0052656"
"15.state",".6573836","2.62e-08"
"16.state","1","."
"17.state","1.185325",".1198874"
"1.time","1.090384",".1426002"
"2.time","1","."
"3.time",".9750389",".6672853"
"4.time",".8674237",".0249514"
"5.time",".8702052",".0342126"
"6.time",".7571975",".0000169"
"7.time",".7585807",".0000877"
"8.time",".7013786","2.05e-06"
"9.time",".6210255","2.65e-10"
"10.time",".5268888","7.99e-15"
"11.time",".5266352","4.93e-14"
"12.time",".5544757","9.52e-12"
"13.time",".5598269","6.09e-11"
"14.time",".4893801","5.87e-13"
"N","5654",""
