"","est1",""
"","b","p"
"dv","",""
"p47_c_lag_all","1.017077",".0687188"
"p48_c_lag_all","1.002446",".1879133"
"p71_c_lag_all",".9957575",".5297989"
"p72_c_lag_all","1.005714",".0999623"
"p75_c_lag_all","1.00001",".5378581"
"p77_c_lag_all",".9990336",".0769013"
"mine_time",".9953599",".5925397"
"onsite_insp_hours","1.000009",".8315914"
"union",".9242754",".2442085"
"longwall",".865108",".0709954"
"1.state","1.189011",".0528669"
"2.state","1.845086","0"
"3.state",".8189002",".3245395"
"4.state","1.059639",".4989113"
"5.state",".9043067",".584201"
"6.state",".8603454",".006513"
"7.state",".7650929",".0676846"
"8.state","1.239817",".0026999"
"9.state",".7980746",".0071147"
"10.state","1.029914",".8805135"
"11.state",".9205486",".7341947"
"12.state",".9263215",".387754"
"13.state","1.273914",".126675"
"14.state",".6411607",".0009418"
"15.state",".6553009","1.05e-08"
"16.state","1","."
"17.state","1.302374",".0155759"
"1.time","1.087858",".1559982"
"2.time","1","."
"3.time",".9756778",".674977"
"4.time",".8710883",".0299467"
"5.time",".8743564",".0415071"
"6.time",".756302",".0000142"
"7.time",".7583139",".0000944"
"8.time",".7036673","3.00e-06"
"9.time",".6204098","3.02e-10"
"10.time",".5266805","1.35e-14"
"11.time",".5258135","5.80e-14"
"12.time",".5548097","1.29e-11"
"13.time",".5576079","6.28e-11"
"14.time",".487767","9.79e-13"
"N","5654",""
