"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_pp_c_lag_all",".998794",".4907898"
"sp47_42_pp_c_lag_all",".9940258",".2030092"
"sp47_44_pp_c_lag_all","1.004984",".1095926"
"sp48_11_pp_c_lag_all","1.000057",".9457859"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all",".9985399",".357848"
"sp48_26_pp_c_lag_all",".9986723",".3486"
"sp48_27_pp_c_lag_all","1.001204",".3982726"
"sp48_28_pp_c_lag_all",".9975141",".0521943"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all","1.004523",".1482044"
"sp48_6_pp_c_lag_all","1.000582",".5180627"
"sp48_7_pp_c_lag_all","1.001921",".0714982"
"sp48_8_pp_c_lag_all",".9975932",".1255574"
"sp71_701_pp_c_lag_all","1","."
"sp72_503_pp_c_lag_all",".9986014",".5678491"
"sp72_610_pp_c_lag_all","1","."
"sp72_620_pp_c_lag_all","1.000634",".8995254"
"sp72_630_pp_c_lag_all","1.000203",".215713"
"sp75_100_pp_c_lag_all","1.003607",".4150347"
"sp75_1001_1_pp_c_lag_all","1.010345",".0116982"
"sp75_1001_pp_c_lag_all","1.033859",".0111358"
"sp75_1003_1_pp_c_lag_all","1","."
"sp75_1100_2_pp_c_lag_all",".9999813",".896822"
"sp75_1101_20_pp_c_lag_all","1.011602",".0903801"
"sp75_1102_pp_c_lag_all","1.000463",".4185026"
"sp75_1103_4_pp_c_lag_all",".9996595",".1290239"
"sp75_1104_pp_c_lag_all",".9978446",".2054041"
"sp75_1106_2_pp_c_lag_all","1.000764",".5210262"
"sp75_1106_3_pp_c_lag_all",".9997002",".3603069"
"sp75_1106_4_pp_c_lag_all","1.005412",".1738129"
"sp75_1106_5_pp_c_lag_all",".998158",".0124218"
"sp75_1106_6_pp_c_lag_all","1","."
"sp75_1106_pp_c_lag_all","1.008649",".0612311"
"sp75_1107_14_pp_c_lag_all","1","."
"sp75_1400_1_pp_c_lag_all",".9922862",".4155306"
"sp75_1400_2_pp_c_lag_all","1.036031",".0133476"
"sp75_1400_3_pp_c_lag_all",".9992415",".7498316"
"sp75_1400_4_pp_c_lag_all",".9918922",".3999965"
"sp75_1400_pp_c_lag_all","1.001155",".730134"
"sp75_1401_1_pp_c_lag_all","1","."
"sp75_1401_pp_c_lag_all",".9431057",".0019378"
"sp75_1403_10_pp_c_lag_all","1.000179",".777169"
"sp75_1403_11_pp_c_lag_all","1","."
"sp75_1403_3_pp_c_lag_all","1","."
"sp75_1403_4_pp_c_lag_all","1","."
"sp75_1403_5_pp_c_lag_all","1.000156",".6880333"
"sp75_1403_6_pp_c_lag_all",".9995446",".1116927"
"sp75_1403_7_pp_c_lag_all",".9982309",".4037023"
"sp75_1403_8_pp_c_lag_all","1.000306",".321461"
"sp75_1403_9_pp_c_lag_all","1","."
"sp75_1404_1_pp_c_lag_all",".9601521","3.66e-06"
"sp75_1404_pp_c_lag_all",".9914856",".1888652"
"sp75_1405_1_pp_c_lag_all",".9959011",".2652911"
"sp75_1405_pp_c_lag_all","1.001405",".0974377"
"sp75_1431_pp_c_lag_all",".6323729","2.63e-06"
"sp75_1432_pp_c_lag_all","1","."
"sp75_1433_pp_c_lag_all","1.002079",".6669221"
"sp75_1434_pp_c_lag_all","1.002841",".6565451"
"sp75_1435_pp_c_lag_all","1","."
"sp75_1437_pp_c_lag_all",".9913497",".5332374"
"sp75_150_pp_c_lag_all",".992221",".1209233"
"sp75_151_pp_c_lag_all","1.012152",".2547755"
"sp75_153_pp_c_lag_all","1.003117",".3452802"
"sp75_156_pp_c_lag_all","1.018687",".0352451"
"sp75_160_pp_c_lag_all","1","."
"sp75_1600_2_pp_c_lag_all",".9994692",".3042794"
"sp75_1712_10_pp_c_lag_all",".9920623",".0255971"
"sp75_1712_6_pp_c_lag_all","1.002",".1273951"
"sp75_1720_pp_c_lag_all",".9999477",".9315638"
"sp75_1721_pp_c_lag_all","1","."
"sp75_1725_pp_c_lag_all","1.000194",".0117801"
"sp75_1726_pp_c_lag_all","1.003117",".0961891"
"sp75_1727_pp_c_lag_all","1","."
"sp75_1728_pp_c_lag_all",".9957003",".4568319"
"sp75_1729_pp_c_lag_all","1.011101",".0044"
"sp75_1730_pp_c_lag_all","1.009806",".1112029"
"sp75_1731_pp_c_lag_all","1.000001",".9932027"
"sp75_1903_pp_c_lag_all",".9981504",".4262844"
"sp75_1909_pp_c_lag_all","1.000366",".0068138"
"sp75_1910_pp_c_lag_all","1.000161",".6423155"
"sp75_1911_pp_c_lag_all","1.000259",".5378023"
"sp75_1912_pp_c_lag_all","1.004428",".1876358"
"sp75_1913_pp_c_lag_all","1.000911",".6996667"
"sp75_1914_pp_c_lag_all",".9991099",".0005871"
"sp75_1915_pp_c_lag_all","1.00321",".3043064"
"sp75_202_pp_c_lag_all",".9999376",".1699918"
"sp75_208_pp_c_lag_all","1.000049",".8571276"
"sp75_211_pp_c_lag_all","1.000011",".9779135"
"sp75_212_pp_c_lag_all","1.002266",".1775574"
"sp75_214_pp_c_lag_all",".9992692",".3204146"
"sp75_312_pp_c_lag_all",".999244",".0979257"
"sp75_320_pp_c_lag_all","1.000337",".4215138"
"sp75_324_pp_c_lag_all",".9944744",".0004301"
"sp75_337_pp_c_lag_all",".9998217",".8240391"
"sp75_340_pp_c_lag_all","1.000336",".4171493"
"sp75_341_pp_c_lag_all",".9665024",".2977431"
"sp75_342_pp_c_lag_all","1.000152",".3815802"
"sp75_344_pp_c_lag_all",".9955336",".2550197"
"sp75_352_pp_c_lag_all",".9992378",".6522743"
"sp75_382_pp_c_lag_all",".9984283",".3618669"
"sp75_503_pp_c_lag_all",".9999606",".4091193"
"sp75_504_pp_c_lag_all",".9995612",".872764"
"sp75_505_pp_c_lag_all","1.002737",".352201"
"sp75_506_1_pp_c_lag_all","1.01147",".0003053"
"sp75_506_pp_c_lag_all",".9978882",".1716161"
"sp75_507_pp_c_lag_all",".9998154",".8323857"
"sp75_511_1_pp_c_lag_all","1.034912",".0237919"
"sp75_511_pp_c_lag_all",".9983414",".057616"
"sp75_512_1_pp_c_lag_all","1.007928",".3293288"
"sp75_512_2_pp_c_lag_all","1.000121",".7369288"
"sp75_512_pp_c_lag_all","1.00004",".7454205"
"sp75_513_1_pp_c_lag_all","1.013427",".0001017"
"sp75_513_pp_c_lag_all","1.000162",".9246845"
"sp75_514_pp_c_lag_all",".9992623",".0548719"
"sp75_515_pp_c_lag_all",".9993941",".0540132"
"sp75_516_1_pp_c_lag_all",".9974894",".5453915"
"sp75_516_2_pp_c_lag_all","1.000164",".8260791"
"sp75_516_pp_c_lag_all",".999641",".2832084"
"sp75_517_1_pp_c_lag_all",".9960057",".4254431"
"sp75_517_pp_c_lag_all",".999909",".1017591"
"sp75_518_1_pp_c_lag_all","1.000271",".5229523"
"sp75_518_pp_c_lag_all",".9991402",".0052385"
"sp75_519_pp_c_lag_all",".9668316",".3627004"
"sp75_520_pp_c_lag_all",".9996288",".6686905"
"sp75_523_1_pp_c_lag_all","1.000698",".215541"
"sp75_523_2_pp_c_lag_all",".9999884",".9741167"
"sp75_523_pp_c_lag_all",".9994018",".1646702"
"sp75_600_1_pp_c_lag_all","1.000461",".8193596"
"sp75_600_pp_c_lag_all",".9937074",".0425902"
"sp75_601_1_pp_c_lag_all","1.000622",".0294584"
"sp75_601_2_pp_c_lag_all","1.006271",".0284617"
