"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_ss",".2251095",".0470561"
"sp47_44_ss","1","."
"sp48_11_ss",".7086322",".3148493"
"sp48_25_ss","2.54137",".0796209"
"sp48_26_ss","1.600862",".0326888"
"sp48_27_ss","1.35888",".4423299"
"sp48_28_ss",".7222387",".3068259"
"sp48_4_ss","1.097798",".9357322"
"sp48_5_ss","1.067712",".8537678"
"sp48_6_ss",".4554531",".0135837"
"sp48_7_ss","1.5902",".1135463"
"sp48_8_ss","1.801702",".191131"
"sp71_701_ss","1","."
"sp72_503_ss",".1990417",".0007177"
"sp72_610_ss","1","."
"sp72_620_ss","1","."
"sp72_630_ss","1.029833",".4867269"
"sp75_100_ss","1.430327",".663904"
"sp75_1001_1_ss","1","."
"sp75_1001_ss",".1164443",".0309578"
"sp75_1003_1_ss","1","."
"sp75_1100_2_ss",".9137095",".1391496"
"sp75_1101_20_ss","1","."
"sp75_1102_ss","1.092029",".6470016"
"sp75_1103_4_ss",".9012181",".3330989"
"sp75_1104_ss",".5451194",".2034109"
"sp75_1106_2_ss",".7989652",".3631546"
"sp75_1106_3_ss","1.20938",".118453"
"sp75_1106_4_ss",".4278813",".2319964"
"sp75_1106_5_ss",".6702585",".1213221"
"sp75_1106_6_ss","1","."
"sp75_1106_ss","2.190806",".4865702"
"sp75_1107_14_ss","1","."
"sp75_1400_1_ss","1","."
"sp75_1400_2_ss","1","."
"sp75_1400_3_ss",".5946929",".5114296"
"sp75_1400_4_ss","1","."
"sp75_1400_ss","1.969525",".1097427"
"sp75_1401_ss","1.16532",".8369423"
"sp75_1403_10_ss","1.35101",".0731506"
"sp75_1403_11_ss","1","."
"sp75_1403_3_ss","1","."
"sp75_1403_4_ss","1","."
"sp75_1403_5_ss",".9636381",".8224731"
"sp75_1403_6_ss","1.063174",".6365641"
"sp75_1403_7_ss","1.272744",".4928445"
"sp75_1403_8_ss",".9880878",".9358974"
"sp75_1403_9_ss","1","."
"sp75_1404_1_ss","2.156879",".3480408"
"sp75_1404_ss","1","."
"sp75_1405_1_ss","1","."
"sp75_1405_ss",".8110699",".1074418"
"sp75_1431_ss","1","."
"sp75_1432_ss","1","."
"sp75_1433_ss",".8686589",".8016212"
"sp75_1434_ss",".4871808",".2875645"
"sp75_1435_ss","1","."
"sp75_1437_ss","1","."
"sp75_150_ss","1","."
"sp75_151_ss","1","."
"sp75_153_ss","1","."
"sp75_155_ss","1","."
"sp75_156_ss","1","."
"sp75_1600_2_ss","1.120535",".8318015"
"sp75_1712_10_ss","1","."
"sp75_1712_6_ss","1","."
"sp75_1720_ss","1.034246",".7917701"
"sp75_1721_ss","1","."
"sp75_1725_ss","1.036676",".1445654"
"sp75_1726_ss","1.02884",".9607711"
"sp75_1727_ss","1","."
"sp75_1728_ss","1","."
"sp75_1729_ss","1","."
"sp75_1730_ss","1.221173",".8051319"
"sp75_1731_ss",".9357404",".0062182"
"sp75_1903_ss","1","."
"sp75_1909_ss","1.146909",".1996665"
"sp75_1910_ss","1.323877",".1530408"
"sp75_1911_ss",".978485",".8936148"
"sp75_1912_ss",".2244198",".0758716"
"sp75_1913_ss","1","."
"sp75_1914_ss","1.045053",".6771103"
"sp75_1915_ss","1","."
"sp75_202_ss","1.023047",".0423505"
"sp75_208_ss",".9729719",".6556637"
"sp75_211_ss",".8690826",".0663962"
"sp75_212_ss","1.39385",".2456522"
"sp75_214_ss","1.955893",".0623901"
"sp75_312_ss","1.138608",".6833366"
"sp75_320_ss","1.232787",".4144451"
"sp75_324_ss","3.17334",".2446008"
"sp75_337_ss",".6444487",".018498"
"sp75_340_ss","1.011272",".9000219"
"sp75_342_ss",".9718154",".6687605"
"sp75_344_ss",".5964809",".3670501"
"sp75_352_ss","1.002346",".9967367"
"sp75_382_ss","2.277844",".3982078"
"sp75_503_ss","1.06492",".0275491"
"sp75_504_ss",".8794933",".9033605"
"sp75_505_ss","1.251494",".8526282"
"sp75_506_1_ss","1","."
"sp75_506_ss",".8317325",".8762403"
"sp75_507_ss","1.330508",".402215"
"sp75_511_1_ss","1","."
"sp75_511_ss","1.000938",".9960481"
"sp75_512_1_ss","1.473912",".6631611"
"sp75_512_2_ss",".9840927",".9380184"
"sp75_512_ss","1.015554",".6370965"
"sp75_513_1_ss","1","."
"sp75_513_ss",".2755927",".0436047"
"sp75_514_ss",".9632042",".7217112"
"sp75_515_ss",".928559",".3974021"
"sp75_516_1_ss","2.064199",".3989703"
"sp75_516_2_ss","8.621481",".0235164"
"sp75_516_ss","1.17913",".2828571"
"sp75_517_1_ss","2.762947",".2761188"
"sp75_517_ss",".9902733",".6258956"
"sp75_518_1_ss","1.185484",".5377318"
"sp75_518_ss","1.190629",".1411064"
"sp75_519_ss","1","."
"sp75_520_ss",".9565917",".7194406"
"sp75_523_1_ss","1.165389",".1041588"
"sp75_523_2_ss","1.201844",".0310166"
"sp75_523_ss",".8345125",".0245318"
"sp75_600_1_ss","1.999764",".1816891"
"sp75_600_ss","1","."
"sp75_601_1_ss",".8680775",".075612"
"sp75_601_2_ss","1.412862",".6161655"
"sp75_601_3_ss",".5082603",".3649792"
"sp75_601_ss",".9143948",".3850024"
"sp75_602_ss",".9426133",".7653596"
"sp75_603_ss","2.180201",".0625154"
"sp75_604_ss","1.076493",".0337669"
"sp75_605_ss",".9345522",".4701803"
"sp75_606_ss",".9547581",".4615652"
"sp75_607_ss","1.022783",".9032991"
"sp75_700_1_ss",".219541",".0597585"
"sp75_700_ss","1.378585",".4403682"
"sp75_701_1_ss",".8073824",".2487712"
"sp75_701_2_ss","1.41229",".4559187"
"sp75_701_3_ss","1","."
"sp75_701_4_ss","1","."
"sp75_701_5_ss","1","."
"sp75_701_ss","1.152471",".0626079"
"sp75_703_2_ss","1","."
"sp75_703_3_ss",".9963217",".9953157"
"sp75_703_ss",".9896641",".955023"
"sp75_704_ss",".969244",".9823493"
"sp75_705_1_ss","1","."
"sp75_705_8_ss","1","."
"sp75_705_ss","3.556182",".3089931"
"sp75_706_ss",".7586902",".4352"
"sp75_800_2_ss","1","."
"sp75_800_3_ss",".1511223",".0855295"
"sp75_800_4_ss","1","."
"sp75_800_ss",".8839741",".7169311"
"sp75_801_ss",".3825791",".3514733"
"sp75_802_ss",".4398623",".208175"
"sp75_803_2_ss","1","."
"sp75_803_ss","1.309502",".4573142"
"sp75_804_ss",".7851746",".3972384"
"sp75_805_ss",".567357",".396115"
"sp75_806_ss",".6076153",".6054282"
"sp75_807_ss",".9645671",".7003997"
"sp75_808_ss","1.709454",".230504"
"sp75_809_ss","1.157789",".5132123"
"sp75_810_ss","1.407917",".2919868"
"sp75_811_ss",".9962673",".9953703"
"sp75_812_ss",".1098943",".0000851"
"sp75_814_ss","1","."
"sp75_815_ss","2.600255",".3638242"
"sp75_816_ss","1.030506",".9301432"
"sp75_818_ss","1","."
"sp75_819_ss","1","."
"sp75_820_ss","2.287887",".3851057"
"sp75_821_ss",".0064515",".0005332"
"sp75_825_ss",".0273287",".0006915"
"sp75_827_ss","1","."
"sp75_831_ss","1","."
"sp75_900_2_ss",".5299713",".4312085"
"sp75_900_3_ss",".3970412",".0935266"
"sp75_900_4_ss","2.091367",".2689687"
"sp75_900_ss",".9946114",".9469962"
"sp75_901_ss",".6837499",".3713108"
"sp75_902_1_ss","1","."
"sp75_902_2_ss","1.336615",".4050041"
"sp75_902_4_ss","1.395993",".4421005"
"sp75_902_ss","1.13021",".2238698"
