"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_c_4lag",".8688259",".0493901"
"sp48_11_c_4lag","1.161274",".0219791"
"sp71_701_c_4lag","1","."
"sp75_1001_1_c_4lag",".8956737",".5165928"
"sp75_1001_c_4lag",".7647872",".5875026"
"sp75_1003_1_c_4lag","1","."
"sp75_1400_1_c_4lag","1","."
"sp75_1401_1_c_4lag","1","."
"sp75_1401_c_4lag",".729452",".2833523"
"sp75_1403_11_c_4lag","1","."
"sp75_1404_1_c_4lag",".9444071",".9145321"
"sp75_1405_1_c_4lag","2.326711",".0022762"
"sp75_1431_c_4lag","1","."
"sp75_151_c_4lag","1.037783",".9160328"
"sp75_1721_c_4lag",".8129518",".51878"
"sp75_1731_c_4lag",".9831026",".0000382"
"sp75_1911_c_4lag","1.012037",".5152808"
"sp75_211_c_4lag",".9974017",".891692"
"sp75_341_c_4lag","1","."
"sp75_506_1_c_4lag","1.242037",".0614835"
"sp75_510_1_c_4lag","1","."
"sp75_511_1_c_4lag",".743695",".7654811"
"sp75_511_c_4lag",".926685",".1544953"
"sp75_512_1_c_4lag","1.373552",".3719598"
"sp75_513_1_c_4lag","1.266088",".0663373"
"sp75_516_1_c_4lag","1.145923",".4851957"
"sp75_517_1_c_4lag","1.236178",".4654176"
"sp75_518_1_c_4lag","1.040877",".1618993"
"sp75_523_1_c_4lag","1.055202",".1204919"
"sp75_600_1_c_4lag","1.075121",".7045264"
"sp75_601_1_c_4lag",".9820898",".2491253"
"sp75_601_c_4lag",".9934967",".7420714"
"sp75_700_1_c_4lag",".9415382",".5904099"
"sp75_701_1_c_4lag",".9651438",".589921"
"sp75_701_c_4lag","1.004871",".7687136"
"sp75_702_1_c_4lag","1","."
"sp75_703_1_c_4lag","1.090434",".8507471"
"sp75_705_1_c_4lag","1.835764",".004161"
"sp75_801_c_4lag",".9832855",".9475869"
"sp75_811_c_4lag","1.007018",".9193293"
"sp75_821_c_4lag","1.096206",".7528612"
"sp75_831_c_4lag","1.412944",".2623372"
"sp75_901_c_4lag",".950525",".5738613"
"sp75_902_1_c_4lag","1","."
"sp77_1111_c_4lag",".6949416",".2285796"
"sp77_401_c_4lag",".9349164",".3408854"
"sp77_403_1_c_4lag","1.223081",".421276"
"sp77_411_c_4lag",".3236661",".0489335"
"sp77_501_c_4lag","1.019958",".8890763"
"sp77_502_1_c_4lag","1","."
"sp77_503_1_c_4lag",".7838879",".52778"
"sp77_506_1_c_4lag","1.023943",".5951308"
"sp77_508_1_c_4lag","1.151987",".1554042"
"sp77_511_c_4lag",".6900301",".0425315"
"sp77_601_c_4lag",".6046822",".0230004"
"sp77_606_1_c_4lag","1","."
"sp77_700_1_c_4lag","1.110276",".640384"
"sp77_701_1_c_4lag",".7916028",".056863"
"sp77_701_c_4lag","1.015231",".625246"
"sp77_704_1_c_4lag","1.461593",".1709284"
"sp77_800_1_c_4lag",".8252745",".2306264"
"sp77_801_1_c_4lag","1","."
"sp77_801_c_4lag",".6906792",".4037225"
"sp77_807_1_c_4lag","1.14732",".6346069"
"sp77_900_1_c_4lag",".9339302",".773406"
"sp77_901_1_c_4lag","1","."
"sp77_901_c_4lag","1.144738",".6271469"
"sp47_42_c_4lag",".7074749",".0082201"
"sp75_1100_2_c_4lag","1.002582",".753665"
"sp75_1102_c_4lag",".9516976",".1812548"
"sp75_1106_2_c_4lag",".9958864",".9442044"
"sp75_1400_2_c_4lag",".6583209",".0459591"
"sp75_1402_2_c_4lag","1","."
"sp75_1432_c_4lag","1.140252",".5649265"
"sp75_1600_2_c_4lag",".9609807",".2431944"
"sp75_1912_c_4lag","1.084328",".6412327"
"sp75_202_c_4lag","1.003258",".3032806"
"sp75_212_c_4lag",".8711456",".0024834"
"sp75_312_c_4lag","1.015425",".5246969"
"sp75_342_c_4lag",".984318",".0610091"
"sp75_352_c_4lag","1.053685",".4320084"
"sp75_382_c_4lag","1.195889",".2520472"
"sp75_512_2_c_4lag","1.046723",".0551236"
"sp75_512_c_4lag","1.001636",".7456875"
"sp75_516_2_c_4lag","1.040401",".2940448"
"sp75_523_2_c_4lag","1.006019",".7925289"
"sp75_601_2_c_4lag",".8354167",".6776172"
"sp75_602_c_4lag",".9735844",".5908874"
"sp75_701_2_c_4lag",".9523969",".6789248"
"sp75_702_c_4lag","1.063022",".7615323"
"sp75_703_2_c_4lag",".9009049",".6179379"
"sp75_705_2_c_4lag","1","."
"sp75_800_2_c_4lag","1.252884",".7802449"
"sp75_802_c_4lag",".8774879",".3103829"
"sp75_803_2_c_4lag","1","."
"sp75_812_c_4lag",".4290527",".0002526"
"sp75_832_c_4lag","1","."
"sp75_900_2_c_4lag",".5911185",".1560326"
"sp75_902_2_c_4lag","1.012966",".9087416"
"sp75_902_c_4lag","1.023217",".2425357"
"sp77_1112_c_4lag","1","."
"sp77_1432_c_4lag","1","."
"sp77_1802_c_4lag","1","."
"sp77_202_c_4lag",".9199619",".0012498"
"sp77_402_c_4lag",".9854821",".7601746"
"sp77_403_2_c_4lag","1","."
"sp77_412_c_4lag","1.903378",".006057"
"sp77_502_2_c_4lag","1.132358",".0952899"
"sp77_502_c_4lag",".9992157",".961483"
"sp77_512_c_4lag",".9813559",".5749055"
"sp77_602_c_4lag","1.22173",".3884506"
"sp77_701_2_c_4lag",".9348037",".3340536"
"sp77_702_c_4lag","1","."
"sp77_800_2_c_4lag",".9419989",".5434097"
"sp77_802_c_4lag",".4930251",".0147328"
"sp77_807_2_c_4lag",".7767359",".3945604"
"sp77_900_2_c_4lag","1.082097",".3959017"
"sp77_902_2_c_4lag","1","."
"sp77_902_c_4lag","1.20384",".6418701"
"sp47_43_c_4lag","1","."
"sp72_503_c_4lag",".8931986",".1598004"
"sp75_1106_3_c_4lag","1.000646",".9753243"
"sp75_1400_3_c_4lag","1.035094",".6883235"
"sp75_1403_3_c_4lag","1","."
"sp75_1433_c_4lag","1.024178",".8622636"
"sp75_153_c_4lag","3.193614",".1846071"
"sp75_1903_c_4lag","1.55446",".0688011"
"sp75_1913_c_4lag",".9710273",".602611"
"sp75_503_c_4lag","1.005721",".0951197"
"sp75_513_c_4lag",".905745",".1085354"
"sp75_523_c_4lag",".9920702",".7428602"
"sp75_601_3_c_4lag",".8234029",".632143"
"sp75_603_c_4lag","1.081662",".3178631"
"sp75_701_3_c_4lag","1.108262",".4516073"
"sp75_703_3_c_4lag",".9740552",".7740753"
"sp75_703_c_4lag","1.077167",".0267984"
"sp75_705_3_c_4lag","1","."
"sp75_800_3_c_4lag",".927665",".4246022"
"sp75_803_c_4lag","1.036734",".7184174"
"sp75_900_3_c_4lag","1.017675",".8276176"
"sp75_903_c_4lag","1.095534",".077779"
"sp77_103_c_4lag","1","."
"sp77_1103_c_4lag","1.010924",".7326218"
"sp77_1403_c_4lag","1.863602",".168172"
"sp77_1433_c_4lag","1.016029",".9353636"
"sp77_203_c_4lag",".992301",".9797237"
"sp77_403_c_4lag","1.146461",".517465"
"sp77_413_c_4lag","1","."
"sp77_503_c_4lag",".8341716",".1114363"
"sp77_513_c_4lag",".9450659",".0965028"
"sp77_603_c_4lag","1.5775",".0746385"
"sp77_701_3_c_4lag","1.375914",".3435966"
"sp77_703_c_4lag","1","."
"sp77_803_c_4lag",".9916388",".9759198"
"sp77_807_3_c_4lag","1.962096",".0996587"
"sp77_902_3_c_4lag",".9177251",".5687251"
"sp77_903_c_4lag",".8423189",".3342378"
"sp47_44_c_4lag",".9653266",".8403147"
