"","est1",""
"","b","p"
"dv","",""
"sp47_41_pp_c_lag_all","1.000118",".573754"
"sp47_42_pp_c_lag_all",".9988694",".0619803"
"sp47_44_pp_c_lag_all",".9999171",".7552897"
"sp48_11_pp_c_lag_all",".9998705",".5253292"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all",".9995046",".20033"
"sp48_26_pp_c_lag_all",".9999903",".9788489"
"sp48_27_pp_c_lag_all","1.0007",".0203948"
"sp48_28_pp_c_lag_all",".9986029",".0012605"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all",".9998102",".6793599"
"sp48_6_pp_c_lag_all","1.000158",".406516"
"sp48_7_pp_c_lag_all","1.000512",".0121312"
"sp48_8_pp_c_lag_all","1.000141",".7100737"
"sp71_701_pp_c_lag_all",".9987828",".2721034"
"sp72_503_pp_c_lag_all",".9998287",".5343315"
"sp72_610_pp_c_lag_all",".9944637",".0213813"
"sp72_620_pp_c_lag_all","1.002555",".0399955"
"sp72_630_pp_c_lag_all","1.000016",".5374174"
"sp75_100_pp_c_lag_all",".9995435",".5986092"
"sp75_1001_1_pp_c_lag_all",".9973736",".1493576"
"sp75_1001_pp_c_lag_all","1.006564",".0006907"
"sp75_1003_1_pp_c_lag_all",".9962136",".0002103"
"sp75_1100_2_pp_c_lag_all","1.000029",".3072613"
"sp75_1101_20_pp_c_lag_all",".9998016",".5986299"
"sp75_1102_pp_c_lag_all",".999944",".807528"
"sp75_1103_4_pp_c_lag_all",".9999801",".6849169"
"sp75_1104_pp_c_lag_all",".9997421",".0708636"
"sp75_1106_2_pp_c_lag_all",".9999199",".6404997"
"sp75_1106_3_pp_c_lag_all","1.000008",".8945824"
"sp75_1106_4_pp_c_lag_all",".9988793",".0514878"
"sp75_1106_5_pp_c_lag_all",".9998971",".536888"
"sp75_1106_6_pp_c_lag_all","1.015101",".0022634"
"sp75_1106_pp_c_lag_all","1.000001",".9979958"
"sp75_1107_14_pp_c_lag_all","1.004027",".0022162"
"sp75_1400_1_pp_c_lag_all",".9994678",".497606"
"sp75_1400_2_pp_c_lag_all","1.000111",".9416348"
"sp75_1400_3_pp_c_lag_all",".9993412",".001843"
"sp75_1400_4_pp_c_lag_all","1.00007",".9211938"
"sp75_1400_pp_c_lag_all","1.000163",".6233147"
"sp75_1401_1_pp_c_lag_all",".9975624",".4524336"
"sp75_1401_pp_c_lag_all",".9990814",".6177521"
"sp75_1403_10_pp_c_lag_all","1.000181",".009248"
"sp75_1403_11_pp_c_lag_all",".9996809",".8841844"
"sp75_1403_3_pp_c_lag_all",".9930946",".0007937"
"sp75_1403_4_pp_c_lag_all","1.003435",".2381765"
"sp75_1403_5_pp_c_lag_all",".9999662",".3478606"
"sp75_1403_6_pp_c_lag_all",".9999795",".5254433"
"sp75_1403_7_pp_c_lag_all",".9999447",".7671488"
"sp75_1403_8_pp_c_lag_all",".9999849",".7772438"
"sp75_1403_9_pp_c_lag_all","1.000487",".070865"
"sp75_1404_1_pp_c_lag_all",".9943626",".0210903"
"sp75_1404_pp_c_lag_all",".9976504",".019723"
"sp75_1405_1_pp_c_lag_all","1.000115",".9120447"
"sp75_1405_pp_c_lag_all","1.000024",".7555625"
"sp75_1431_pp_c_lag_all","1.009122",".400661"
"sp75_1432_pp_c_lag_all","1.000508",".2443932"
"sp75_1433_pp_c_lag_all","1.000722",".1388055"
"sp75_1434_pp_c_lag_all",".9995051",".2203978"
"sp75_1435_pp_c_lag_all","1.002296",".2997164"
"sp75_1437_pp_c_lag_all","1.000171",".9002699"
"sp75_150_pp_c_lag_all",".9996101",".570611"
"sp75_151_pp_c_lag_all",".9999647",".9681453"
"sp75_153_pp_c_lag_all","1.002411",".1592269"
"sp75_156_pp_c_lag_all",".9973411",".1368135"
"sp75_160_pp_c_lag_all","1.000116",".9349075"
"sp75_1600_2_pp_c_lag_all","1.000009",".9108934"
"sp75_1712_10_pp_c_lag_all",".9994662",".0702578"
"sp75_1712_6_pp_c_lag_all","1.000012",".9595347"
"sp75_1720_pp_c_lag_all",".9998708",".4457751"
"sp75_1721_pp_c_lag_all","1","."
"sp75_1725_pp_c_lag_all",".9999964",".775995"
"sp75_1726_pp_c_lag_all","1.000273",".4034081"
"sp75_1727_pp_c_lag_all","1","."
"sp75_1728_pp_c_lag_all",".9997738",".8716292"
"sp75_1729_pp_c_lag_all",".998965",".1390407"
"sp75_1730_pp_c_lag_all","1.000157",".7036313"
"sp75_1731_pp_c_lag_all","1.000006",".485173"
"sp75_1903_pp_c_lag_all","1.000064",".7226303"
"sp75_1909_pp_c_lag_all",".9999616",".1025607"
"sp75_1910_pp_c_lag_all","1.000104",".0137482"
"sp75_1911_pp_c_lag_all",".9998795",".0182775"
"sp75_1912_pp_c_lag_all","1.000646",".0658136"
"sp75_1913_pp_c_lag_all","1.000611",".131152"
"sp75_1914_pp_c_lag_all",".9999931",".8038205"
"sp75_1915_pp_c_lag_all","1.000246",".5528408"
"sp75_202_pp_c_lag_all",".9999964",".4905978"
"sp75_208_pp_c_lag_all","1.000022",".7322114"
"sp75_211_pp_c_lag_all","1.000156",".0052661"
"sp75_212_pp_c_lag_all","1.000349",".0259316"
"sp75_214_pp_c_lag_all",".9998246",".1634403"
"sp75_312_pp_c_lag_all",".9999456",".6215631"
"sp75_320_pp_c_lag_all",".9998689",".0670798"
"sp75_324_pp_c_lag_all",".999456",".059081"
"sp75_337_pp_c_lag_all","1.000264",".0390767"
"sp75_340_pp_c_lag_all","1.000026",".4980197"
"sp75_341_pp_c_lag_all",".9992073",".7104774"
"sp75_342_pp_c_lag_all","1.000038",".0769834"
"sp75_344_pp_c_lag_all","1.000562",".0997859"
"sp75_352_pp_c_lag_all",".9996309",".1770712"
"sp75_382_pp_c_lag_all","1.000189",".4155531"
"sp75_503_pp_c_lag_all",".9999809",".049511"
"sp75_504_pp_c_lag_all","1.001079",".1204018"
"sp75_505_pp_c_lag_all","1.001008",".1002634"
"sp75_506_1_pp_c_lag_all","1.001307","2.34e-06"
"sp75_506_pp_c_lag_all","1.000007",".9866087"
"sp75_507_pp_c_lag_all",".9998077",".3655286"
"sp75_511_1_pp_c_lag_all","1.004531",".1008818"
"sp75_511_pp_c_lag_all",".9999381",".7615789"
"sp75_512_1_pp_c_lag_all","1.001837",".124725"
"sp75_512_2_pp_c_lag_all","1.000094",".1753959"
"sp75_512_pp_c_lag_all","1.000034",".051913"
"sp75_513_1_pp_c_lag_all",".9995511",".5515852"
"sp75_513_pp_c_lag_all",".9997252",".2652401"
"sp75_514_pp_c_lag_all","1.000007",".9096363"
"sp75_515_pp_c_lag_all",".9999177",".0545585"
"sp75_516_1_pp_c_lag_all",".9976869",".0120143"
"sp75_516_2_pp_c_lag_all",".9999003",".3913114"
"sp75_516_pp_c_lag_all","1.000005",".9408159"
"sp75_517_1_pp_c_lag_all",".9973142",".0160255"
"sp75_517_pp_c_lag_all",".9999886",".2343695"
"sp75_518_1_pp_c_lag_all",".9998305",".1983848"
"sp75_518_pp_c_lag_all",".9999739",".6159627"
"sp75_519_pp_c_lag_all",".9982986",".8108476"
"sp75_520_pp_c_lag_all","1.000297",".0454309"
"sp75_523_1_pp_c_lag_all","1.000008",".9600762"
"sp75_523_2_pp_c_lag_all",".9997881",".0439927"
"sp75_523_pp_c_lag_all",".999963",".7391499"
"sp75_600_1_pp_c_lag_all","1.000594",".340584"
"sp75_600_pp_c_lag_all","1.001196",".2978089"
"sp75_601_1_pp_c_lag_all",".9999986",".9799361"
"sp75_601_2_pp_c_lag_all","1.000287",".6672006"
"sp75_601_3_pp_c_lag_all",".9992668",".4464615"
"sp75_601_pp_c_lag_all",".9999628",".5880103"
"sp75_602_pp_c_lag_all",".9997605",".3025075"
"sp75_603_pp_c_lag_all",".9998257",".458678"
"sp75_604_pp_c_lag_all",".9999845",".3386682"
"sp75_605_pp_c_lag_all","1.000147",".0773263"
"sp75_606_pp_c_lag_all","1.000015",".554734"
"sp75_607_pp_c_lag_all","1.000046",".8588031"
"sp75_700_1_pp_c_lag_all",".998785",".1719611"
"sp75_700_pp_c_lag_all",".9998256",".4959505"
"sp75_701_1_pp_c_lag_all","1.000341",".152138"
"sp75_701_2_pp_c_lag_all",".9999171",".8384685"
"sp75_701_3_pp_c_lag_all","1.000363",".2518539"
"sp75_701_4_pp_c_lag_all","1.001943",".0465866"
"sp75_701_pp_c_lag_all",".9999512",".2872812"
"sp75_702_1_pp_c_lag_all","1.000454",".8014233"
"sp75_702_pp_c_lag_all","1.001299",".1766149"
"sp75_703_1_pp_c_lag_all",".9964688",".0047453"
