"","est1",""
"","b","p"
"dv","",""
"sp47_41_ss",".7559979",".3435803"
"sp47_44_ss",".5843616",".4527254"
"sp48_11_ss",".9811827",".770995"
"sp48_25_ss",".8543768",".058446"
"sp48_26_ss","1.23324",".0127601"
"sp48_27_ss","1.083021",".3551882"
"sp48_28_ss",".9594171",".6783214"
"sp48_4_ss","1.339178",".7350894"
"sp48_5_ss",".9496095",".625146"
"sp48_6_ss",".9575568",".6693647"
"sp48_7_ss","1.108282",".1210383"
"sp48_8_ss","1.082472",".5415821"
"sp71_701_ss","2.481169",".0000208"
"sp72_503_ss",".7995156",".2784264"
"sp72_610_ss",".6042739",".0518158"
"sp72_620_ss","1.314954",".1635772"
"sp72_630_ss","1.016567",".1160299"
"sp75_100_ss","1.004468",".9861859"
"sp75_1001_1_ss","1.179614",".8013513"
"sp75_1001_ss","1.348984",".5581835"
"sp75_1003_1_ss",".4915605",".0009626"
"sp75_1100_2_ss","1.014794",".3288621"
"sp75_1101_20_ss",".677607",".0041813"
"sp75_1102_ss",".9730082",".6367606"
"sp75_1103_4_ss","1.070202",".0339661"
"sp75_1104_ss",".9916317",".9512148"
"sp75_1106_2_ss",".9067327",".0875476"
"sp75_1106_3_ss","1.058008",".0164662"
"sp75_1106_4_ss","1.135676",".5055757"
"sp75_1106_5_ss",".9467661",".5147658"
"sp75_1106_6_ss",".6451957",".3417991"
"sp75_1106_ss","1.024523",".7887878"
"sp75_1107_14_ss","1.966642",".0059413"
"sp75_1400_1_ss",".8424317",".4055433"
"sp75_1400_2_ss",".3714724",".0067987"
"sp75_1400_3_ss","1.06118",".6639903"
"sp75_1400_4_ss","1","."
"sp75_1400_ss","1.061707",".2759979"
"sp75_1401_ss",".8956007",".7094766"
"sp75_1403_10_ss","1.01419",".4741876"
"sp75_1403_11_ss",".601352",".3967257"
"sp75_1403_3_ss","1.523188",".4280639"
"sp75_1403_4_ss","1.847641",".1771709"
"sp75_1403_5_ss",".9823725",".1047896"
"sp75_1403_6_ss",".9975717",".8553562"
"sp75_1403_7_ss","1.046948",".2373322"
"sp75_1403_8_ss",".9892755",".4778306"
"sp75_1403_9_ss",".9899942",".9252493"
"sp75_1404_1_ss",".5491362",".0528488"
"sp75_1404_ss",".7615242",".3388182"
"sp75_1405_1_ss","2.287601",".0181987"
"sp75_1405_ss",".9775329",".2148362"
"sp75_1431_ss","1.452687",".2713332"
"sp75_1432_ss","2.36e-09","0"
"sp75_1433_ss","1.0658",".6292475"
"sp75_1434_ss","1.207502",".0283378"
"sp75_1435_ss",".2717825",".0322355"
"sp75_1437_ss","1.102761",".710712"
"sp75_150_ss","1.290172",".2690151"
"sp75_151_ss",".8793671",".5151584"
"sp75_153_ss","1.172167",".8592889"
"sp75_155_ss","1.625686",".0005499"
"sp75_156_ss","1.550395",".1409813"
"sp75_1600_2_ss",".7857425",".0359488"
"sp75_1712_10_ss",".98874",".9123309"
"sp75_1712_6_ss",".6884782",".200114"
"sp75_1720_ss","1.042107",".3151826"
"sp75_1721_ss","1.04e-09","0"
"sp75_1725_ss","1.000354",".9382315"
"sp75_1726_ss","1.089956",".4108291"
"sp75_1727_ss","1","."
"sp75_1728_ss","1.648396",".001743"
"sp75_1729_ss","1.164335",".364404"
"sp75_1730_ss",".8625831",".3462012"
"sp75_1731_ss",".9971549",".4884521"
"sp75_1903_ss","1.007548",".9355076"
"sp75_1909_ss","1.018603",".2292195"
"sp75_1910_ss","1.047657",".0564459"
"sp75_1911_ss",".9151683",".0369497"
"sp75_1912_ss","1.201637",".6186967"
"sp75_1913_ss","1.208891",".0004153"
"sp75_1914_ss","1.012782",".345598"
"sp75_1915_ss","1.38152",".0733412"
"sp75_202_ss","1.000956",".7382978"
"sp75_208_ss","1.010276",".6026713"
"sp75_211_ss","1.018051",".3974469"
"sp75_212_ss",".9567211",".3489598"
"sp75_214_ss","1.091169",".5527397"
"sp75_312_ss","1.112541",".492704"
"sp75_320_ss",".9898164",".8805799"
"sp75_324_ss",".987012",".8455923"
"sp75_337_ss","1.081115",".0143352"
"sp75_340_ss","1.004027",".8207538"
"sp75_342_ss","1.009453",".364332"
"sp75_344_ss",".8747221",".1738869"
"sp75_352_ss",".9587362",".4952166"
"sp75_382_ss",".9996685",".9973395"
"sp75_503_ss",".9951776",".352053"
"sp75_504_ss",".5574849",".0123334"
"sp75_505_ss","1.079044",".7409173"
"sp75_506_1_ss","1.491422",".0686122"
"sp75_506_ss",".948845",".7543415"
"sp75_507_ss","1.063336",".453307"
"sp75_511_1_ss",".3770964",".0033734"
"sp75_511_ss","1.110575",".060774"
"sp75_512_1_ss","1.62789",".0999856"
"sp75_512_2_ss","1.010921",".7972939"
"sp75_512_ss","1.012588",".0849147"
"sp75_513_1_ss","1.360028",".3913051"
"sp75_513_ss",".7557653",".0195305"
"sp75_514_ss","1.026575",".3360078"
"sp75_515_ss",".9289269",".0202682"
"sp75_516_1_ss",".7348712",".2486141"
"sp75_516_2_ss","1.006646",".9754703"
"sp75_516_ss","1.112854",".0010972"
"sp75_517_1_ss",".8530073",".4517432"
"sp75_517_ss","1.002531",".5943327"
"sp75_518_1_ss",".8432868",".0202631"
"sp75_518_ss","1.045066",".0536786"
"sp75_519_ss",".9211001",".8974144"
"sp75_520_ss",".9867094",".7230348"
"sp75_523_1_ss",".9952055",".8875233"
"sp75_523_2_ss","1.014085",".6298172"
"sp75_523_ss",".9309868",".0534773"
"sp75_600_1_ss",".7737616",".101647"
"sp75_600_ss",".5748863",".0002742"
"sp75_601_1_ss","1.010375",".6592437"
"sp75_601_2_ss",".9112338",".7768553"
"sp75_601_3_ss","1.083535",".8276253"
"sp75_601_ss",".9918783",".7593544"
"sp75_602_ss","1.052141",".403308"
"sp75_603_ss",".9423033",".3694512"
"sp75_604_ss","1.020449",".0039915"
"sp75_605_ss","1.018107",".5727687"
"sp75_606_ss",".9788812",".2484149"
"sp75_607_ss",".9836147",".7933352"
"sp75_700_1_ss",".4392288",".0012483"
"sp75_700_ss",".9451359",".3466737"
"sp75_701_1_ss",".9940044",".9242973"
"sp75_701_2_ss","1.137272",".2073035"
"sp75_701_3_ss","1.110378",".4366934"
"sp75_701_4_ss","3.14789",".0058229"
"sp75_701_5_ss",".8244009",".0547356"
"sp75_701_ss","1.045854",".0338485"
"sp75_703_2_ss",".9509831",".8268505"
"sp75_703_3_ss",".9847827",".8406078"
"sp75_703_ss",".9919574",".8816025"
"sp75_704_ss","1.16386",".8437949"
"sp75_705_1_ss",".8996922",".2726414"
"sp75_705_8_ss","8.71e-09","0"
"sp75_705_ss","1.10629",".4529142"
"sp75_706_ss",".825493",".1574774"
"sp75_800_2_ss","4.38e-10","0"
"sp75_800_3_ss",".5887335",".2645298"
"sp75_800_4_ss","3.818657",".0002211"
"sp75_800_ss",".9470075",".5627012"
"sp75_801_ss",".6837119",".1457629"
"sp75_802_ss",".6822655",".1805857"
"sp75_803_2_ss","1.272593",".3192637"
"sp75_803_ss","1.137308",".1398987"
"sp75_804_ss",".9522859",".4261527"
"sp75_805_ss",".5564551",".0029124"
"sp75_806_ss",".5822835",".0016061"
"sp75_807_ss","1.038607",".1227992"
"sp75_808_ss","1.160041",".2647671"
"sp75_809_ss",".9766597",".6889473"
"sp75_810_ss","1.178355",".1190904"
"sp75_811_ss",".9719942",".8199695"
"sp75_812_ss",".7630377",".1795897"
"sp75_814_ss",".847268",".54196"
"sp75_815_ss","1.587908",".2400131"
"sp75_816_ss","1.170181",".027138"
"sp75_818_ss","1.622302",".0757877"
"sp75_819_ss","1.462975",".2722178"
"sp75_820_ss",".9649325",".8350536"
"sp75_821_ss","1.366023",".5042038"
"sp75_825_ss",".683987",".3062657"
"sp75_827_ss",".5961177",".0066848"
"sp75_831_ss",".8758577",".4541942"
"sp75_900_2_ss",".842842",".4566864"
"sp75_900_3_ss",".9350625",".5896496"
"sp75_900_4_ss","1.209349",".2243342"
"sp75_900_ss",".9736636",".3488917"
"sp75_901_ss",".931979",".5484266"
"sp75_902_1_ss","1.053368",".7670565"
"sp75_902_2_ss","1.179574",".1075895"
"sp75_902_4_ss","1.066755",".4473296"
"sp75_902_ss","1.043553",".2108806"
"sp75_903_ss","1.045053",".3203145"
"sp75_904_ss","1.019046",".1645913"
"sp75_905_ss",".4942273",".0013622"
"sp75_907_ss",".812061",".2480051"
"sp77_103_ss",".9517049",".6432053"
"sp77_1103_ss",".9435562",".4582076"
"sp77_1104_ss","1.017183",".2158816"
"sp77_1106_ss","2.16e-10","0"
"sp77_1111_ss","1.092843",".77583"
"sp77_1112_ss","1.152296",".1200985"
