"","est1",""
"","b","p"
"dv_indicator","",""
"p48_ss_1lag","1.138202",".2347886"
"p75_ss_1lag","1.025489","8.68e-10"
"mine_time","1.001201",".6522264"
"onsite_insp_hours","1.0045","0"
"union","1.37619",".0103052"
"longwall",".8846717",".5913718"
"1.state","1.233092",".5836995"
"2.state","2.493545","0"
"3.state","2.330528","1.64e-06"
"4.state","5.022924",".0000561"
"5.state","1.494684",".1248808"
"6.state","1","."
"7.state","1.279832",".1593449"
"8.state",".7900801",".0208929"
"9.state","1.911965",".0000883"
"10.state","1.503528",".0281773"
"11.state","4.954074","5.26e-06"
"12.state","1.746258","3.92e-06"
"13.state","2.291687","5.08e-06"
"14.state",".4716822",".0145905"
"15.state","1.082969",".298972"
"16.state","1.718612","2.49e-14"
"17.state","1.780072",".0806745"
"2.time","1.37556",".0338968"
"3.time","1.343141",".0550769"
"4.time",".7112114",".0139836"
"5.time",".7940995",".1121502"
"6.time",".9469831",".6962307"
"7.time","1","."
"8.time",".8546457",".2555831"
"9.time",".8498445",".2628637"
"10.time",".6869473",".0094827"
"11.time","1.067942",".6667753"
"12.time",".6962377",".0151885"
"13.time",".7355185",".0490318"
"14.time",".7862159",".1332909"
"15.time","1.265177",".1584804"
"16.time",".6411273",".0047215"
"17.time",".6697798",".008719"
"18.time",".5739498",".0003086"
"19.time",".702783",".0217214"
"20.time",".5190004",".0000131"
"21.time",".5687519",".0002682"
"22.time",".5721754",".0002049"
"23.time",".6406859",".0031429"
"24.time",".4365687","5.14e-08"
"25.time",".59695",".0009299"
"26.time",".5310888",".0000478"
"27.time",".5889421",".0005643"
"28.time",".5066456",".0000235"
"29.time",".4246802","4.17e-08"
"30.time",".4878614","4.61e-06"
"31.time",".5532725",".0002289"
"32.time",".3956577","4.92e-09"
"33.time",".4013818","1.77e-08"
"34.time",".4027119","2.48e-08"
"35.time",".3768864","9.23e-10"
"36.time",".3479971","2.78e-11"
"37.time",".4122888","9.12e-08"
"38.time",".370574","3.68e-09"
"39.time",".3735927","6.38e-09"
"40.time",".3127273","9.94e-12"
"41.time",".3637718","6.22e-09"
"42.time",".3233138","7.89e-11"
"43.time",".4766932",".0000227"
"44.time",".283996","4.09e-13"
"45.time",".3347177","5.49e-10"
"46.time",".3907465","1.46e-07"
"47.time",".4716455","9.20e-06"
"48.time",".3164983","2.09e-11"
"49.time",".3342889","1.78e-10"
"50.time",".3728861","2.87e-08"
"51.time",".327842","1.98e-09"
"52.time",".1685133","0"
"53.time",".2848371","2.82e-11"
"54.time",".2915859","6.06e-11"
"55.time",".296201","6.67e-10"
"56.time",".2052648","8.44e-15"
"N","23482",""
