"","est1",""
"","b","p"
"dv_indicator","",""
"p48_c_4lag","1.039946",".199861"
"p75_c_4lag","1.00482","1.11e-10"
"mine_time",".9993331",".8220047"
"onsite_insp_hours","1.0031","1.80e-09"
"union","1.332899",".0343279"
"longwall",".738901",".1847006"
"1.state","1.178329",".6943234"
"2.state","2.304173","0"
"3.state","2.132962",".0001494"
"4.state","6.102418","9.27e-07"
"5.state","1.400653",".149574"
"6.state","1","."
"7.state","1.375751",".1796025"
"8.state","1.219943",".0482396"
"9.state","3.028064","1.35e-08"
"10.state","1.629402",".0186575"
"11.state","4.582705","2.32e-06"
"12.state","2.011174","8.85e-08"
"13.state","2.250045",".0004064"
"14.state",".541374",".058309"
"15.state","1.072642",".395027"
"16.state","1.751955","1.20e-12"
"17.state","4.170023","1.39e-09"
"4.time","1.903269",".0002732"
"5.time","2.324848","3.40e-06"
"6.time","2.401384","3.91e-07"
"7.time","2.792444","3.03e-09"
"8.time","2.250436","3.17e-06"
"9.time","2.426375","3.33e-07"
"10.time","2.098395",".0000173"
"11.time","2.951417","3.10e-10"
"12.time","2.029314",".0000439"
"13.time","2.187659",".0000176"
"14.time","2.344243","3.69e-06"
"15.time","3.625052","6.81e-12"
"16.time","1.869523",".0004165"
"17.time","1.960397",".0001258"
"18.time","1.738647",".0015093"
"19.time","2.0094",".0000429"
"20.time","1.558715",".0071657"
"21.time","1.658032",".0033929"
"22.time","1.697428",".0019016"
"23.time","1.873349",".0002295"
"24.time","1.334896",".0826239"
"25.time","1.663857",".0021785"
"26.time","1.500577",".0156682"
"27.time","1.804852",".0002964"
"28.time","1.437968",".0354483"
"29.time","1.184412",".2880004"
"30.time","1.199479",".2536701"
"31.time","1.498303",".0120668"
"32.time","1.223994",".2103689"
"33.time","1.144904",".4291507"
"34.time","1.135608",".4399939"
"35.time","1.078268",".6294281"
"36.time","1","."
"37.time","1.010355",".9531355"
"38.time",".9647696",".8381755"
"39.time","1.044933",".7995798"
"40.time",".8007109",".2038746"
"41.time",".99862",".9940958"
"42.time",".8972943",".5343228"
"43.time","1.247954",".2248835"
"44.time",".7445689",".1187166"
"45.time",".8259773",".2613087"
"46.time",".9875678",".9445784"
"47.time","1.322093",".1262703"
"48.time",".8106297",".2449888"
"49.time",".9060578",".5726526"
"50.time","1.002077",".9907998"
"51.time",".9614667",".8349359"
"52.time",".4798829",".0000882"
"53.time",".7954356",".2203835"
"54.time",".8001613",".2598879"
"55.time",".8395882",".3782145"
"56.time",".525898",".0013707"
"N","19957",""
