"","est1",""
"","b","p"
"dv","",""
"p48_pp_1lag",".9998449",".2962706"
"p75_pp_1lag","1.000028",".0000197"
"mine_time",".999412",".7133755"
"onsite_insp_hours",".9995877",".0006557"
"union",".969741",".6866187"
"longwall",".7286023",".0000895"
"1.state","1.278472",".0314253"
"2.state","1.826493","0"
"3.state",".8018024",".0628241"
"4.state","1.163391",".1165267"
"5.state",".8598799",".0559284"
"6.state",".8186964",".0002588"
"7.state","1.06783",".7208783"
"8.state",".6712168","2.04e-06"
"9.state",".7694655",".0042927"
"10.state",".9512744",".6760845"
"11.state","1.472303",".0910336"
"12.state","1.15187",".1256053"
"13.state","1.579268",".0006198"
"14.state",".5736706",".0043339"
"15.state",".6861833","1.07e-08"
"16.state","1","."
"17.state",".8016302",".0151818"
"29.time","1.211148",".0048262"
"30.time","1.310543",".0003993"
"31.time","1.47234","1.77e-08"
"32.time","1.20079",".0033284"
"33.time","1.114131",".0805972"
"34.time","1.102369",".1379837"
"35.time","1.236415",".0002466"
"36.time","1","."
"37.time","1.026531",".6429921"
"38.time",".9729316",".6764543"
"39.time","1.101034",".1026074"
"40.time",".9362033",".3037975"
"41.time",".9429434",".4075148"
"42.time",".9457568",".5360613"
"43.time","1.179549",".0129049"
"44.time",".9318752",".307247"
"45.time",".9497981",".4182743"
"46.time",".8952493",".0895815"
"47.time","1.037489",".5449982"
"48.time",".7974129",".0004086"
"49.time",".8929551",".1086344"
"50.time",".7736938",".0000644"
"51.time",".8947799",".1243005"
"52.time",".6971264","3.07e-06"
"53.time",".7918803",".0011921"
"54.time",".7683572",".0008504"
"55.time",".8863506",".1196521"
"56.time",".682157","3.26e-06"
"N","11580",""
