"","est1",""
"","b","p"
"dv","",""
"p48_ss","1.000087",".9977466"
"p75_ss","1.007886","2.84e-07"
"mine_time","1.001804",".2345472"
"onsite_insp_hours",".999661",".0077659"
"union",".9614201",".5184789"
"longwall",".6496682","8.00e-11"
"1.state","1.392188",".0034584"
"2.state","1.83474","0"
"3.state","1.144348",".2522715"
"4.state","1.513918",".0000187"
"5.state","1.172899",".0585845"
"6.state","1","."
"7.state","1.196006",".3377328"
"8.state",".9386049",".3074924"
"9.state","1.077308",".3763042"
"10.state","1.179457",".0680343"
"11.state","2.041808","7.57e-09"
"12.state","1.43231","7.48e-07"
"13.state","1.799454","1.25e-12"
"14.state",".7014297",".0151311"
"15.state",".9552428",".3811255"
"16.state","1.314149","1.04e-08"
"17.state","1.307431",".0084451"
"1.time",".9323522",".3190144"
"2.time","1.078979",".2786264"
"3.time","1.199854",".0054299"
"4.time",".8403981",".009131"
"5.time",".8433486",".0051096"
"6.time","1","."
"7.time","1.102856",".10434"
"8.time",".8714489",".0246668"
"9.time",".9547271",".5531092"
"10.time",".9297013",".259946"
"11.time",".9957296",".9481939"
"12.time",".8261826",".0076804"
"13.time",".7812289",".0012115"
"14.time",".8434987",".0342026"
"15.time",".9503179",".485177"
"16.time",".68194","1.00e-07"
"17.time",".7182971",".0000224"
"18.time",".7624406",".0004193"
"19.time",".8216259",".0072225"
"20.time",".6581358","1.55e-09"
"21.time",".6514933","8.48e-09"
"22.time",".7003374","2.23e-06"
"23.time",".7610831",".0002104"
"24.time",".63129","1.60e-08"
"25.time",".6721197","1.30e-06"
"26.time",".6496555","1.33e-07"
"27.time",".7484792",".0004176"
"28.time",".6105327","3.69e-09"
"29.time",".6076575","3.25e-09"
"30.time",".638611","6.69e-07"
"31.time",".7528995",".0012868"
"32.time",".6061129","4.79e-09"
"33.time",".5817948","4.77e-11"
"34.time",".5762299","2.05e-10"
"35.time",".625569","1.91e-07"
"36.time",".515345","1.14e-13"
"37.time",".5294414","3.02e-14"
"38.time",".5173047","5.00e-13"
"39.time",".5728257","9.91e-10"
"40.time",".4871198","1.55e-15"
"41.time",".4836092","9.33e-15"
"42.time",".4850085","6.36e-12"
"43.time",".5919193","2.52e-09"
"44.time",".4793033","1.55e-15"
"45.time",".4798434","1.11e-15"
"46.time",".456348","0"
"47.time",".5230595","7.08e-14"
"48.time",".4088931","0"
"49.time",".4550085","0"
"50.time",".3917082","0"
"51.time",".4556498","1.78e-15"
"52.time",".3558473","0"
"53.time",".4064312","0"
"54.time",".3906682","0"
"55.time",".448981","8.88e-16"
"56.time",".3502369","0"
"N","25603",""
