"","est1",""
"","b","p"
"dv","",""
"p48_c_lag_all","1.00267",".6791377"
"p75_c_lag_all",".999989",".7320602"
"mine_time","1.002302",".2925526"
"onsite_insp_hours",".9998973",".422447"
"union",".9361427",".2851977"
"longwall",".6976804","4.49e-08"
"1.state","1.419622",".0027732"
"3.state","1.053718",".681384"
"4.state","1.544332","7.57e-06"
"5.state","1.22262",".0534691"
"6.state","1","."
"7.state","1.48265",".0883811"
"8.state","7.68e-07","0"
"9.state","1.020872",".8221946"
"10.state","1.247888",".0385737"
"11.state","2.073793","1.61e-08"
"12.state","1.357189",".0021714"
"13.state","1.714506","8.30e-07"
"14.state",".6440204",".0003667"
"15.state",".973361",".6785327"
"16.state","1.303082","7.12e-06"
"17.state","1.186586",".1093139"
"1.time","1","."
"2.time","1.155868",".0057341"
"3.time","1.267191","7.29e-06"
"4.time",".894028",".0579749"
"5.time",".9228003",".1683356"
"6.time","1.024424",".7437184"
"7.time","1.202624",".0047161"
"8.time",".9457016",".3916838"
"9.time","1.038668",".6492119"
"10.time",".9997418",".996878"
"11.time","1.034393",".6214203"
"12.time",".8817229",".0548784"
"13.time",".8283808",".0076549"
"14.time",".903423",".1653711"
"15.time",".9611555",".5259997"
"16.time",".7310956",".0000159"
"17.time",".7497766",".0000596"
"18.time",".8141859",".0028975"
"19.time",".8641411",".0353668"
"20.time",".6854494","1.20e-06"
"21.time",".687812","4.32e-07"
"22.time",".7079539","1.87e-06"
"23.time",".8317018",".0110183"
"24.time",".6690392","4.22e-07"
"25.time",".6987889","6.05e-06"
"26.time",".6377211","2.65e-09"
"27.time",".7788777",".0007239"
"28.time",".6416096","1.29e-08"
"29.time",".6311078","6.58e-10"
"30.time",".6177132","2.17e-07"
"31.time",".7887525",".0097549"
"32.time",".6630183","5.50e-07"
"33.time",".6055914","2.33e-10"
"34.time",".5942962","1.25e-09"
"35.time",".7034781",".0001111"
"36.time",".5679704","1.75e-11"
"37.time",".5816597","1.33e-12"
"38.time",".5816434","2.43e-09"
"39.time",".5965955","1.74e-08"
"40.time",".5127919","2.22e-16"
"41.time",".4680518","0"
"42.time",".5236097","1.40e-08"
"43.time",".6370252","1.87e-07"
"44.time",".5245357","2.20e-12"
"45.time",".5069754","8.48e-14"
"46.time",".4690277","0"
"47.time",".5327435","4.97e-14"
"48.time",".4256747","0"
"49.time",".4536568","0"
"50.time",".4310291","0"
"51.time",".5084784","1.87e-11"
"52.time",".3656621","0"
"53.time",".4287866","2.22e-16"
"54.time",".4015295","0"
"55.time",".4648181","1.53e-13"
"56.time",".3701657","0"
"N","17677",""
