"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_pp_c_lag_all","1.001046",".4024209"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all",".9994153",".8420342"
"sp48_26_pp_c_lag_all",".9982231",".4063317"
"sp48_27_pp_c_lag_all","1.00055",".7727997"
"sp48_28_pp_c_lag_all",".9973241",".2648743"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all","1.002505",".5599439"
"sp48_6_pp_c_lag_all",".9989418",".5425146"
"sp48_7_pp_c_lag_all","1.002128",".1987842"
"sp48_8_pp_c_lag_all","1.001323",".6673064"
"sp75_100_pp_c_lag_all","1.002343",".6530382"
"sp75_1002_pp_c_lag_all",".9980354",".0335689"
"sp75_1003_pp_c_lag_all","1.000964",".5426438"
"sp75_1003_2_pp_c_lag_all","1.002409",".7751489"
"sp75_1311_pp_c_lag_all",".9986889",".767699"
"sp75_1315_pp_c_lag_all","1","."
"sp75_1316_pp_c_lag_all",".997425",".6486742"
"sp75_1318_pp_c_lag_all","1","."
"sp75_1400_pp_c_lag_all",".9999347",".9827902"
"sp75_1400_1_pp_c_lag_all",".9955152",".4983475"
"sp75_1403_10_pp_c_lag_all","1.000765",".2350495"
"sp75_1403_5_pp_c_lag_all",".9999428",".8984575"
"sp75_1403_6_pp_c_lag_all","1.000662",".0616967"
"sp75_1403_7_pp_c_lag_all",".9939593",".002448"
"sp75_1403_8_pp_c_lag_all",".9998236",".5212922"
"sp75_1404_pp_c_lag_all",".9815847",".0014047"
"sp75_1404_1_pp_c_lag_all",".9909935",".4342038"
"sp75_1405_pp_c_lag_all","1.000975",".2477698"
"sp75_1405_1_pp_c_lag_all",".9950632",".1721942"
"sp75_153_pp_c_lag_all","1.005742",".3577456"
"sp75_156_pp_c_lag_all",".9869133",".00308"
"sp75_160_pp_c_lag_all","1.024528",".063928"
"sp75_1719_2_pp_c_lag_all","1.014031",".0026846"
"sp75_1719_4_pp_c_lag_all","1.000612",".6336079"
"sp75_1720_pp_c_lag_all","1.001181",".1596563"
"sp75_1725_pp_c_lag_all",".9999174",".4334599"
"sp75_1906_pp_c_lag_all","1.004181",".0951938"
"sp75_1916_pp_c_lag_all",".9955669",".0542449"
"sp75_203_pp_c_lag_all",".9996337",".1864616"
"sp75_204_pp_c_lag_all","1.000746",".1816593"
"sp75_205_pp_c_lag_all",".9985244",".7254128"
"sp75_207_pp_c_lag_all","1.00513",".1720556"
"sp75_208_pp_c_lag_all",".9989248",".0382987"
"sp75_209_pp_c_lag_all","1.001323",".4030787"
"sp75_212_pp_c_lag_all","1.00487",".0221376"
"sp75_213_pp_c_lag_all",".9775572",".1524144"
"sp75_215_pp_c_lag_all",".9749953",".0101786"
"sp75_332_pp_c_lag_all",".9981622",".6468807"
"sp75_334_pp_c_lag_all",".9975994",".0694147"
"sp75_337_pp_c_lag_all",".9996764",".7330123"
"sp75_340_pp_c_lag_all","1.000669",".1022655"
"sp75_343_pp_c_lag_all","1.005446",".6300129"
"sp75_373_pp_c_lag_all","1.028112",".0005293"
"sp75_388_pp_c_lag_all","1.00041",".7661111"
"sp75_389_pp_c_lag_all","1.001018",".7374471"
"sp75_500_pp_c_lag_all","1.003524",".0314464"
"sp75_500_1_pp_c_lag_all",".9877934",".356441"
"sp75_501_pp_c_lag_all",".9974375",".2032319"
"sp75_501_2_pp_c_lag_all",".9988919",".7165162"
"sp75_502_pp_c_lag_all",".9932887",".2041581"
"sp75_503_pp_c_lag_all",".9998889",".0411985"
"sp75_505_pp_c_lag_all","1.000211",".943932"
"sp75_506_1_pp_c_lag_all","1.002751",".1483513"
"sp75_507_pp_c_lag_all","1.000368",".778956"
"sp75_507_1_pp_c_lag_all","1.00017",".7983986"
"sp75_508_1_pp_c_lag_all",".994195",".2350641"
"sp75_509_pp_c_lag_all","1.005401",".3499927"
"sp75_510_pp_c_lag_all","1","."
"sp75_512_1_pp_c_lag_all",".9953795",".3599568"
"sp75_523_pp_c_lag_all",".9996315",".5593518"
"sp75_523_3_pp_c_lag_all",".9998998",".62376"
"sp75_524_pp_c_lag_all",".9959415",".5086152"
"sp75_602_pp_c_lag_all","1.000507",".5554153"
"sp75_603_pp_c_lag_all","1.003225",".1406756"
"sp75_604_pp_c_lag_all","1.000169",".2211821"
"sp75_605_pp_c_lag_all","1.000932",".0855271"
"sp75_606_pp_c_lag_all","1.000471",".1202662"
"sp75_607_pp_c_lag_all","1.000116",".9144495"
"sp75_703_3_pp_c_lag_all","1.001765",".2871462"
"sp75_703_4_pp_c_lag_all","1.004071",".6686388"
"sp75_807_pp_c_lag_all","1.00071",".0142464"
"sp75_810_pp_c_lag_all",".9992918",".2512917"
"sp75_811_pp_c_lag_all","1.001285",".3506734"
"sp75_812_pp_c_lag_all",".9956737",".4575827"
"sp75_816_pp_c_lag_all",".9989348",".122378"
"sp75_817_pp_c_lag_all","1.011179",".0900492"
"sp75_906_pp_c_lag_all",".9990495",".8517387"
"mine_time","1.001019",".8347907"
"onsite_insp_hours","1.003","1.94e-06"
"union","1.128812",".4393232"
"longwall","1.327686",".3533045"
"1.state","1.383235",".380283"
"3.state","1.908964",".0883368"
"4.state","14.02838","1.43e-08"
"5.state","1.80279",".1602893"
"6.state","1","."
"7.state",".9663028",".9582068"
"9.state","1","."
"10.state","1.078944",".827916"
"11.state","4.129491",".000109"
"12.state","1.407254",".1296886"
"13.state","1.31291",".4089835"
"14.state","1.048872",".9412289"
"15.state",".9663662",".831722"
"16.state","1.380084",".0123927"
"17.state","1","."
"29.time","1.197453",".3301638"
"30.time","1.03308",".8599113"
"31.time","1.269318",".1870107"
"32.time","1.040366",".8335655"
"33.time","1.019825",".920862"
"34.time","1.046891",".8038066"
"35.time",".9708707",".8630464"
"36.time","1","."
"37.time","1.13339",".533457"
"38.time","1.162379",".4724749"
"39.time",".8987787",".6002442"
"40.time",".9961083",".984209"
"41.time",".9393336",".7733219"
"42.time",".9706998",".8829242"
"43.time","1.385118",".1283936"
"44.time",".8009747",".3217096"
"45.time",".922285",".6990947"
"46.time",".9041285",".6368449"
"47.time","1.169246",".4835287"
"48.time",".9382268",".784064"
"49.time",".7327641",".1614669"
"50.time","1.015151",".9479334"
"51.time",".8996776",".6604157"
"52.time",".3449422","9.18e-06"
"53.time",".730697",".1953057"
"54.time",".7349081",".2092866"
"55.time",".569761",".0247063"
"56.time",".4203084",".0006983"
"N","7421",""
