"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_c_4lag","1.197072",".1105153"
"sp75_1311_c_4lag",".4159282",".0444989"
"sp75_1400_1_c_4lag",".9710285",".9648849"
"sp75_1404_1_c_4lag","3.205462",".2225558"
"sp75_1405_1_c_4lag","2.10253",".1583827"
"sp75_500_1_c_4lag",".6436873",".382958"
"sp75_501_c_4lag","1.061776",".719668"
"sp75_506_1_c_4lag","1.021977",".8725493"
"sp75_507_1_c_4lag","1.035773",".4057733"
"sp75_508_1_c_4lag","1.069051",".8771555"
"sp75_512_1_c_4lag",".8933892",".7283695"
"sp75_811_c_4lag",".9593844",".694882"
"sp75_1002_c_4lag",".9231123",".2073056"
"sp75_1003_2_c_4lag","1","."
"sp75_1322_c_4lag","1","."
"sp75_1719_2_c_4lag",".9662809",".9122123"
"sp75_212_c_4lag","1.213397",".0615556"
"sp75_332_c_4lag","1.017804",".9145809"
"sp75_501_2_c_4lag",".8688582",".3665452"
"sp75_502_c_4lag",".9384802",".8380067"
"sp75_602_c_4lag","1.123987",".1084668"
"sp75_812_c_4lag",".6577643",".3001781"
"sp75_1003_c_4lag",".9101686",".3693634"
"sp75_153_c_4lag","1.365297",".7764288"
"sp75_203_c_4lag","1.015193",".5046104"
"sp75_213_c_4lag",".8395862",".539029"
"sp75_343_c_4lag","1.698322",".1194934"
"sp75_373_c_4lag","2.245559",".2462692"
"sp75_503_c_4lag","1.004977",".4132209"
"sp75_523_c_4lag","1.016073",".7141527"
"sp75_523_3_c_4lag",".9680009",".0424496"
"sp75_603_c_4lag","1.1772",".1677369"
"sp75_703_3_c_4lag",".8921894",".2791089"
"sp48_24_c_4lag","1.29156","0"
"sp48_4_c_4lag",".3670886",".2949079"
"sp75_1404_c_4lag",".3894684",".1293581"
"sp75_1719_4_c_4lag","1.091305",".3900147"
"sp75_204_c_4lag","1.064057",".0815242"
"sp75_334_c_4lag","1.051467",".5073382"
"sp75_524_c_4lag",".843565",".6499309"
"sp75_604_c_4lag","1.03511",".0094675"
"sp75_703_4_c_4lag",".5090144",".1724115"
"sp48_25_c_4lag",".9520554",".8124993"
"sp48_5_c_4lag",".9928369",".9671795"
"sp75_1315_c_4lag",".8466142",".8324162"
"sp75_1403_5_c_4lag","1.019786",".6639858"
"sp75_1405_c_4lag",".9628355",".6752852"
"sp75_155_c_4lag","1","."
"sp75_1725_c_4lag","1.013872",".2071209"
"sp75_205_c_4lag","1.476752",".0729152"
"sp75_215_c_4lag",".2198958",".0112476"
"sp75_505_c_4lag","1.33963",".2859868"
"sp75_605_c_4lag",".9876076",".6924407"
"sp48_26_c_4lag","1.101277",".2939172"
"sp48_6_c_4lag",".973622",".7786884"
"sp75_1316_c_4lag",".6768792",".08654"
"sp75_1403_6_c_4lag","1.090961",".0215208"
"sp75_156_c_4lag",".8235545",".8056719"
"sp75_1906_c_4lag","1.391056",".0964607"
"sp75_1916_c_4lag","1.12873",".6619165"
"sp75_606_c_4lag",".9945143",".7990191"
"sp75_816_c_4lag",".9975456",".9661399"
"sp75_906_c_4lag",".4673076",".0294826"
"sp48_27_c_4lag",".8777855",".4721741"
"sp48_7_c_4lag","1.296124",".0344477"
"sp75_1403_7_c_4lag",".6492071",".0071708"
"sp75_207_c_4lag","1.119113",".5697704"
"sp75_327_c_4lag","1","."
"sp75_337_c_4lag",".8913962",".1586037"
"sp75_507_c_4lag",".9998724",".999138"
"sp75_607_c_4lag",".973436",".7302485"
"sp75_807_c_4lag","1.057267",".0183389"
"sp75_817_c_4lag","1.008756",".9887693"
"sp48_28_c_4lag",".8989179",".368163"
"sp48_8_c_4lag","1.413057",".0251269"
"sp75_1318_c_4lag",".6065514",".674387"
"sp75_1403_8_c_4lag",".9512719",".2395678"
"sp75_208_c_4lag",".9331761",".0267814"
"sp75_388_c_4lag","1.041126",".6391863"
"sp75_209_c_4lag",".9937058",".9410594"
"sp75_389_c_4lag",".8745547",".5652822"
"sp75_509_c_4lag","1.3716",".3983028"
"sp75_100_c_4lag","2.590706",".0165135"
"sp75_1400_c_4lag","1.021394",".8859227"
"sp75_1403_10_c_4lag","1.112373",".0433878"
"sp75_160_c_4lag","1.127298",".7219581"
"sp75_1720_c_4lag","1.054094",".3677277"
"sp75_340_c_4lag","1.079409",".0156927"
"sp75_500_c_4lag","1.121026",".2535289"
"sp75_510_c_4lag","1","."
"sp75_810_c_4lag",".8954287",".0894147"
"mine_time","1.000573",".8462948"
"onsite_insp_hours","1.004008","1.33e-15"
"union","1.373965",".0208054"
"longwall",".7839849",".3310477"
"1.state","1.057718",".8901724"
"2.state","2.080081","2.44e-12"
"3.state","2.196316",".0000499"
"4.state","6.082404","3.34e-07"
"5.state","1.314118",".2605235"
"6.state","1","."
"7.state","1.334363",".2015826"
"8.state","1.146677",".308456"
"9.state","2.829317",".0000185"
"10.state","1.46986",".0731761"
"11.state","4.54573","4.91e-06"
"12.state","1.794842",".0000104"
"13.state","2.140112",".0000567"
"14.state",".5171053",".0713702"
"15.state","1.08879",".3231761"
"16.state","1.664423","1.11e-10"
"17.state","3.694919","1.41e-06"
"4.time","1.893129",".0003961"
"5.time","2.324712","5.75e-06"
"6.time","2.392945","7.67e-07"
"7.time","2.839096","3.21e-09"
"8.time","2.274793","2.86e-06"
"9.time","2.444406","4.00e-07"
"10.time","2.092281",".0000286"
"11.time","2.922183","1.13e-09"
"12.time","1.980904",".0001224"
"13.time","2.140524",".0000566"
"14.time","2.289623",".0000106"
"15.time","3.562551","3.72e-11"
"16.time","1.837258",".0007423"
"17.time","1.940504",".0001994"
"18.time","1.730404",".0020096"
"19.time","1.988902",".0000708"
"20.time","1.5157",".0131514"
"21.time","1.602231",".0075236"
"22.time","1.607586",".0062037"
"23.time","1.819158",".000592"
"24.time","1.313406",".1097356"
"25.time","1.622462",".0044502"
"26.time","1.471116",".022995"
"27.time","1.791258",".0004758"
"28.time","1.410102",".0513593"
"29.time","1.170337",".3360061"
"30.time","1.185818",".2925022"
"31.time","1.482872",".0159506"
"32.time","1.194717",".2766577"
"33.time","1.116226",".5324531"
"34.time","1.114003",".524857"
"35.time","1.079581",".6312595"
"36.time","1","."
"37.time","1.022558",".9003231"
"38.time","1.007841",".9650752"
"39.time","1.0902",".6187317"
"40.time",".8297037",".290804"
"41.time","1.048495",".7993846"
"42.time",".9471895",".7576499"
"43.time","1.312054",".1394866"
"44.time",".7881055",".2057418"
"45.time",".8700265",".4189947"
"46.time","1.049322",".7914139"
"47.time","1.385736",".0774936"
"48.time",".8503816",".3730188"
"49.time",".9608991",".8222097"
"50.time","1.047149",".800643"
"51.time","1.003107",".9870252"
"52.time",".5006575",".0002516"
"53.time",".8171326",".2872881"
"54.time",".8089092",".2935337"
"55.time",".8388773",".388156"
"56.time",".5534359",".003524"
"N","19833",""
