"","est1",""
"","b","p"
"dv","",""
"sp48_11_pp_1lag",".9999556",".940693"
"sp48_24_pp_1lag","1.001511","1.78e-15"
"sp48_25_pp_1lag",".9973764",".082609"
"sp48_26_pp_1lag","1.00128",".3170382"
"sp48_27_pp_1lag","1.000672",".5253564"
"sp48_28_pp_1lag",".9979989",".1492461"
"sp48_4_pp_1lag",".9950996",".0000357"
"sp48_5_pp_1lag","1.001164",".5866871"
"sp48_6_pp_1lag","1.000103",".8866545"
"sp48_7_pp_1lag","1.00086",".1681241"
"sp48_8_pp_1lag","1.004091",".0091826"
"sp75_100_pp_1lag","1.000773",".6864557"
"sp75_1002_pp_1lag","1.000429",".3256345"
"sp75_1003_pp_1lag",".9996733",".4147597"
"sp75_1003_2_pp_1lag",".9993552",".055844"
"sp75_1311_pp_1lag","1.000383",".6426828"
"sp75_1315_pp_1lag","1","."
"sp75_1316_pp_1lag",".9975953",".1689838"
"sp75_1318_pp_1lag","1","."
"sp75_1400_pp_1lag",".9965147",".0008734"
"sp75_1400_1_pp_1lag",".9961949",".3508942"
"sp75_1403_10_pp_1lag","1.000629",".004146"
"sp75_1403_5_pp_1lag",".9999277",".7290139"
"sp75_1403_6_pp_1lag",".9996778",".0373618"
"sp75_1403_7_pp_1lag","1.000113",".8717797"
"sp75_1403_8_pp_1lag",".9993781","6.39e-06"
"sp75_1404_pp_1lag","1.001943",".327787"
"sp75_1404_1_pp_1lag",".9966075",".3812241"
"sp75_1405_pp_1lag","1.00001",".9682848"
"sp75_1405_1_pp_1lag",".9979383",".073584"
"sp75_153_pp_1lag",".9965786",".5928839"
"sp75_156_pp_1lag","1.000981",".8832371"
"sp75_160_pp_1lag","1.016851",".04642"
"sp75_1719_2_pp_1lag","1.00016",".9234332"
"sp75_1719_4_pp_1lag","1.000038",".9497435"
"sp75_1720_pp_1lag",".9997738",".6866193"
"sp75_1725_pp_1lag","1.000054",".4348524"
"sp75_1906_pp_1lag","1.001276",".071698"
"sp75_1916_pp_1lag","1.001537",".0684387"
"sp75_203_pp_1lag","1.000587",".0290734"
"sp75_204_pp_1lag","1.000089",".7691256"
"sp75_205_pp_1lag","1.009337",".0546004"
"sp75_207_pp_1lag",".9990915",".6597329"
"sp75_208_pp_1lag","1.000027",".9197132"
"sp75_209_pp_1lag","1.000146",".9034433"
"sp75_212_pp_1lag","1.000792",".2636419"
"sp75_213_pp_1lag","1.003573","1.43e-10"
"sp75_215_pp_1lag",".9919007",".1460921"
"sp75_332_pp_1lag",".9991976",".6548102"
"sp75_334_pp_1lag","1.000059",".9123033"
"sp75_337_pp_1lag",".9997929",".7494763"
"sp75_340_pp_1lag",".9999292",".7540226"
"sp75_343_pp_1lag","1.000755",".3055867"
"sp75_373_pp_1lag","1.021726",".121254"
"sp75_388_pp_1lag",".9980237",".06037"
"sp75_389_pp_1lag","1.000082",".9488329"
"sp75_500_pp_1lag","1",".9997469"
"sp75_500_1_pp_1lag","1.000684",".7728128"
"sp75_501_pp_1lag",".9984016",".3383741"
"sp75_501_2_pp_1lag","1.00073",".7248269"
"sp75_502_pp_1lag",".9971164",".3169724"
"sp75_503_pp_1lag","1.000047",".4458707"
"sp75_505_pp_1lag",".9983459",".4218532"
"sp75_506_1_pp_1lag","1.000968",".6634219"
"sp75_507_pp_1lag","1.001066",".2462718"
"sp75_507_1_pp_1lag",".9995062",".3438279"
"sp75_508_1_pp_1lag",".9760807","3.04e-14"
"sp75_509_pp_1lag","1.001135",".6861066"
"sp75_510_pp_1lag",".9902314",".0020202"
"sp75_512_1_pp_1lag",".9986509",".7486535"
"sp75_523_pp_1lag",".9988241",".1416272"
"sp75_523_3_pp_1lag",".9996181",".0263238"
"sp75_524_pp_1lag","1.00322",".139703"
"sp75_602_pp_1lag","1.000392",".4821253"
"sp75_603_pp_1lag","1.001085",".1695907"
"sp75_604_pp_1lag","1.000312",".0021348"
"sp75_605_pp_1lag","1.000143",".6742834"
"sp75_606_pp_1lag",".9999823",".9171"
"sp75_607_pp_1lag",".9989676",".1913328"
"sp75_703_3_pp_1lag","1.001869",".0827849"
"sp75_703_4_pp_1lag",".997939",".8084025"
"sp75_807_pp_1lag","1.000213",".2503837"
"sp75_810_pp_1lag","1.001245",".030505"
"sp75_811_pp_1lag","1.001428",".1027124"
"sp75_812_pp_1lag",".998589",".3754417"
"sp75_816_pp_1lag","1.000096",".8290887"
"sp75_817_pp_1lag",".9991816",".6326121"
"sp75_906_pp_1lag",".9935394",".1256128"
"mine_time",".9996966",".8481871"
"onsite_insp_hours",".9996855",".0060277"
"union","1.016882",".8074909"
"longwall",".7621112",".0004877"
"1.state","1.257494",".0391337"
"2.state","1.754604","0"
"3.state",".7526364",".0095204"
"4.state","1.135777",".1634847"
"5.state",".8568422",".0813954"
"6.state",".8042869",".000052"
"7.state","1.068813",".7130564"
"8.state",".6129496","4.35e-09"
"9.state",".7313293",".0002285"
"10.state",".9439163",".6163368"
"11.state","1.453705",".1079109"
"12.state","1.119779",".2132995"
"13.state","1.57876",".0004956"
"14.state",".5365409",".0017108"
"15.state",".6958016","2.36e-08"
"16.state","1","."
"17.state",".6944774",".0000108"
"29.time","1.182985",".0119418"
"30.time","1.280485",".0014976"
"31.time","1.462683","3.71e-08"
"32.time","1.186988",".0060239"
"33.time","1.102944",".112914"
"34.time","1.080583",".2407665"
"35.time","1.220488",".0004352"
"36.time","1","."
"37.time","1.011904",".8334486"
"38.time",".963753",".5731607"
"39.time","1.099667",".1072049"
"40.time",".9465179",".4039579"
"41.time",".9413754",".4001678"
"42.time",".9536909",".5796399"
"43.time","1.17503",".0136368"
"44.time",".9306141",".3049267"
"45.time",".941793",".3446864"
"46.time",".8907884",".0780074"
"47.time","1.026377",".6681369"
"48.time",".7901702",".0002558"
"49.time",".8747586",".059209"
"50.time",".7655438",".0000318"
"51.time",".8806809",".078899"
"52.time",".6949552","3.24e-06"
"53.time",".774155",".0003826"
"54.time",".7479192",".0001736"
"55.time",".8614867",".0537751"
"56.time",".6725226","1.50e-06"
"N","11580",""
