"","est1",""
"","b","p"
"dv","",""
"sp48_11_ss_c_lag_all","1.073852",".1287153"
"sp48_25_ss_c_lag_all",".8522866","8.10e-08"
"sp48_26_ss_c_lag_all","1.166096",".0085507"
"sp48_27_ss_c_lag_all","1.086583",".059999"
"sp48_28_ss_c_lag_all",".9187408",".1393899"
"sp48_4_ss_c_lag_all","1","."
"sp48_5_ss_c_lag_all","1.035577",".6856505"
"sp48_6_ss_c_lag_all","1.041652",".6036063"
"sp48_7_ss_c_lag_all",".9651549",".4348752"
"sp48_8_ss_c_lag_all","1.052443",".6399565"
"sp75_100_ss_c_lag_all","1.182296",".2869652"
"sp75_1002_ss_c_lag_all","1.098423",".0592877"
"sp75_1003_ss_c_lag_all","1.00909",".3616287"
"sp75_1003_2_ss_c_lag_all","1.00119",".9785163"
"sp75_1311_ss_c_lag_all","1.064085",".6783928"
"sp75_1315_ss_c_lag_all",".8478358",".5155842"
"sp75_1316_ss_c_lag_all",".9763508",".7667354"
"sp75_1318_ss_c_lag_all",".700759","2.37e-10"
"sp75_1322_ss_c_lag_all","1","."
"sp75_1400_ss_c_lag_all","1.040792",".1910379"
"sp75_1400_1_ss_c_lag_all",".7577865",".0922263"
"sp75_1403_10_ss_c_lag_all","1.014638",".1329225"
"sp75_1403_5_ss_c_lag_all",".9922354",".0044611"
"sp75_1403_6_ss_c_lag_all","1.012819",".0076642"
"sp75_1403_7_ss_c_lag_all",".9354646",".0206348"
"sp75_1403_8_ss_c_lag_all",".9911673",".0547274"
"sp75_1404_ss_c_lag_all","1.049474",".709278"
"sp75_1404_1_ss_c_lag_all",".5919574","3.51e-06"
"sp75_1405_ss_c_lag_all",".997773",".8500519"
"sp75_1405_1_ss_c_lag_all","1.59348",".0247633"
"sp75_153_ss_c_lag_all","1.377356",".0956792"
"sp75_155_ss_c_lag_all",".3908417",".0028632"
"sp75_156_ss_c_lag_all",".2836744","0"
"sp75_1719_2_ss_c_lag_all","2.483977",".0005999"
"sp75_1719_4_ss_c_lag_all",".85996",".1036313"
"sp75_1720_ss_c_lag_all","1.057383",".0176306"
"sp75_1725_ss_c_lag_all",".9974876",".1263435"
"sp75_1906_ss_c_lag_all","1.643783",".0116816"
"sp75_1916_ss_c_lag_all",".9115425",".0774897"
"sp75_203_ss_c_lag_all",".9828521",".0366999"
"sp75_204_ss_c_lag_all","1.022513",".267945"
"sp75_205_ss_c_lag_all","1.750031","0"
"sp75_207_ss_c_lag_all","1.333361",".0871966"
"sp75_208_ss_c_lag_all","1.01307",".2002884"
"sp75_209_ss_c_lag_all",".9970338",".9552108"
"sp75_212_ss_c_lag_all","1.031919",".0829921"
"sp75_213_ss_c_lag_all","1.162946",".004461"
"sp75_215_ss_c_lag_all","1.187637",".3752809"
"sp75_332_ss_c_lag_all",".9012014",".1495261"
"sp75_334_ss_c_lag_all",".9547969",".1085338"
"sp75_337_ss_c_lag_all",".9917949",".7306907"
"sp75_340_ss_c_lag_all",".9864714",".1201331"
"sp75_343_ss_c_lag_all","1.017586",".8169917"
"sp75_373_ss_c_lag_all","1","."
"sp75_388_ss_c_lag_all","1.074243",".1841588"
"sp75_389_ss_c_lag_all",".8936532",".5109213"
"sp75_500_ss_c_lag_all","1.174555",".155937"
"sp75_500_1_ss_c_lag_all",".9240475",".7849806"
"sp75_501_ss_c_lag_all","1.239745",".0177354"
"sp75_501_2_ss_c_lag_all","1.034873",".8517293"
"sp75_502_ss_c_lag_all",".9248863",".6044943"
"sp75_503_ss_c_lag_all",".9983146",".3004602"
"sp75_505_ss_c_lag_all",".8668001",".3752046"
"sp75_506_1_ss_c_lag_all","1.087477",".6978881"
"sp75_507_ss_c_lag_all","1.03582",".462316"
"sp75_507_1_ss_c_lag_all","1.027277",".4247582"
"sp75_509_ss_c_lag_all","1.05886",".4137622"
"sp75_512_1_ss_c_lag_all","1.090988",".694302"
"sp75_523_ss_c_lag_all",".9976267",".8915124"
"sp75_523_3_ss_c_lag_all",".990651",".0529764"
"sp75_524_ss_c_lag_all","1.242837",".0000547"
"sp75_602_ss_c_lag_all","1.047589",".3380545"
"sp75_603_ss_c_lag_all",".9755294",".3494546"
"sp75_604_ss_c_lag_all",".9969223",".2086439"
"sp75_605_ss_c_lag_all","1.00392",".8324332"
"sp75_606_ss_c_lag_all","1.005957",".3536599"
"sp75_607_ss_c_lag_all",".9732155",".42563"
"sp75_703_3_ss_c_lag_all","1.233689",".0038101"
"sp75_807_ss_c_lag_all","1.022301",".0513892"
"sp75_810_ss_c_lag_all","1.035668",".4430595"
"sp75_811_ss_c_lag_all",".9689538",".6698321"
"sp75_812_ss_c_lag_all",".9426617",".5340626"
"sp75_816_ss_c_lag_all","1.028213",".6582544"
"sp75_817_ss_c_lag_all",".598319",".0031288"
"sp75_906_ss_c_lag_all",".6490136",".0217429"
"mine_time","1.001393",".5425025"
"onsite_insp_hours","1.00004",".6976544"
"union",".9961258",".945254"
"longwall",".7468198","1.20e-06"
"1.state","1.246937",".1153028"
"3.state","1.086706",".4031724"
"4.state","1.539863","5.32e-07"
"5.state","1.243742",".0300095"
"6.state","1","."
"7.state","1.624227",".0287582"
"8.state","1.13e-08","0"
"9.state",".975334",".7971091"
"10.state","1.290947",".0766745"
"11.state","3.941426","0"
"12.state","1.437164",".0000519"
"13.state","1.810308","1.09e-07"
"14.state",".6166846",".0010511"
"15.state","1.008545",".885085"
"16.state","1.331697","3.66e-08"
"17.state","1.265792",".0726233"
"1.time","1","."
"2.time","1.152436",".0069395"
"3.time","1.267486","9.42e-06"
"4.time",".8853741",".0396058"
"5.time",".899976",".0817011"
"6.time",".988955",".8628318"
"7.time","1.166781",".0152507"
"8.time",".909607",".1333679"
"9.time","1.010805",".8942366"
"10.time",".9557481",".4616229"
"11.time",".9908765",".886055"
"12.time",".8516709",".0183831"
"13.time",".8027529",".0026741"
"14.time",".8729309",".068675"
"15.time",".9270601",".245403"
"16.time",".6978785","1.70e-06"
"17.time",".7284834",".0000207"
"18.time",".780721",".0004726"
"19.time",".8189587",".0052497"
"20.time",".6435463","1.76e-08"
"21.time",".6562729","4.08e-08"
"22.time",".6789934","4.19e-07"
"23.time",".8008048",".0025068"
"24.time",".6560604","1.39e-07"
"25.time",".6875969","1.88e-06"
"26.time",".6367952","2.18e-09"
"27.time",".7839575",".0011323"
"28.time",".6430415","5.94e-09"
"29.time",".6429723","1.55e-09"
"30.time",".620857","1.04e-07"
"31.time",".7912567",".008844"
"32.time",".6634285","2.30e-07"
"33.time",".6058488","1.18e-10"
"34.time",".5953144","3.75e-10"
"35.time",".7141829",".0001556"
"36.time",".5872239","5.80e-11"
"37.time",".5940723","2.77e-12"
"38.time",".5940601","2.86e-09"
"39.time",".6122982","2.41e-08"
"40.time",".526586","2.22e-16"
"41.time",".4831235","0"
"42.time",".5281542","7.92e-10"
"43.time",".6564964","5.43e-07"
"44.time",".5379467","1.70e-12"
"45.time",".5207494","1.41e-13"
"46.time",".4784518","0"
"47.time",".5477157","2.28e-13"
"48.time",".4351527","0"
"49.time",".4583669","0"
"50.time",".4408224","0"
"51.time",".5196356","2.45e-11"
"52.time",".3757222","0"
"53.time",".4314671","0"
"54.time",".4002407","0"
"55.time",".4623884","9.33e-15"
"56.time",".389261","0"
"N","17677",""
