"","est1",""
"","b","p"
"dv_indicator","",""
"p48_pp_1lag",".997586",".6123797"
"p75_pp_1lag",".9999363",".4197464"
"mine_time","1.179519",".1740918"
"onsite_insp_hours","1.003069",".0033301"
"union","1","."
"longwall","1","."
"1.state","1","."
"3.state",".7566886",".8007784"
"4.state","1","."
"5.state","1","."
"6.state","1","."
"10.state","1","."
"11.state","1","."
"12.state","1.079582",".9292062"
"13.state",".1411274",".2576153"
"14.state","1","."
"15.state","1","."
"16.state",".6128972",".6015648"
"8.time",".252292",".2995547"
"9.time",".3412692",".3695356"
"10.time","1","."
"11.time","1.559067",".7334036"
"12.time","2.303237",".6759345"
"13.time",".4117991",".6312987"
"14.time",".030786",".05897"
"N","192",""
