"","est1",""
"","b","p"
"dv_indicator","",""
"p48_ss","1","."
"p75_ss",".9889685",".3625598"
"mine_time","1.136603",".3333467"
"onsite_insp_hours","1.004159",".0171171"
"union","1","."
"longwall","1","."
"1.state","1","."
"3.state","1.904213",".5522825"
"4.state","1","."
"5.state","1","."
"6.state","1","."
"10.state","1","."
"11.state","1","."
"12.state","1.204981",".8022848"
"13.state",".1538696",".2604256"
"14.state","1","."
"15.state","1","."
"16.state",".9590939",".9688865"
"1.time","1","."
"2.time","1","."
"3.time","3.734754",".2440828"
"4.time","8.948033",".2346761"
"5.time","1","."
"6.time","7.13723",".0401032"
"7.time","3.244582",".4964604"
"8.time",".6125392",".6327736"
"9.time",".571374",".6144598"
"10.time","1","."
"11.time","3.389234",".2526008"
"12.time","6.049292",".3333422"
"13.time",".8494686",".9307938"
"14.time",".0473676",".1129908"
"N","241",""
