"","est1",""
"","b","p"
"dv_indicator","",""
"p48_c_lag_all",".9827207",".5279128"
"p75_c_lag_all","1.000537",".1094544"
"mine_time","1.012854",".8911269"
"onsite_insp_hours","1.002535",".0699914"
"union","1","."
"longwall","1","."
"1.state","1","."
"3.state","1.723049",".6166612"
"4.state","1","."
"5.state","1","."
"6.state","1","."
"10.state","1","."
"11.state","1","."
"12.state","2.466316",".1463998"
"13.state",".0969275",".1979704"
"14.state","1","."
"15.state","1","."
"16.state",".9399359",".9563104"
"1.time","1","."
"2.time","1","."
"3.time","1.14433",".9318729"
"4.time","2.336258",".6396025"
"5.time","1","."
"6.time","2.597105",".460857"
"7.time","1.437969",".8330975"
"8.time",".3020301",".3560259"
"9.time",".2888823",".3539899"
"10.time","1","."
"11.time","1.456563",".7743478"
"12.time","2.61167",".6307224"
"13.time",".3832837",".6234357"
"14.time",".0463073",".1141565"
"N","267",""
