"","est1",""
"","b","p"
"dv","",""
"p48_pp","1.000316",".3761017"
"p75_pp","1.000011",".0104676"
"mine_time",".9916872",".4767308"
"onsite_insp_hours",".9998906",".115328"
"union",".9676774",".827205"
"longwall",".7057201",".0119753"
"1.state","1.680245",".0108108"
"3.state","1.047096",".8133593"
"4.state","1.352406",".0829147"
"5.state","1.162426",".2802482"
"6.state","1","."
"10.state","1.51298",".006613"
"11.state","2.773022","0"
"12.state","1.369193",".0847439"
"13.state","2.449026",".0080476"
"14.state",".9443695",".7766716"
"15.state",".7823583",".3955092"
"16.state","1.075748",".620318"
"8.time","1.283145",".0016468"
"9.time","1.076544",".3093322"
"10.time","1","."
"11.time","1.071669",".4311964"
"12.time",".9512426",".4438632"
"13.time",".8934222",".2034188"
"14.time",".8950158",".3038064"
"N","384",""
