"","est1",""
"","b","p"
"dv","",""
"p48_ss_1lag",".971069",".2073391"
"p75_ss_1lag","1.000943",".1543413"
"mine_time","1.010888",".376596"
"onsite_insp_hours",".9999569",".4485652"
"union",".8666689",".2582976"
"longwall",".6185913",".0022257"
"1.state","1.586096",".0390399"
"3.state","1.17677",".4093808"
"4.state","1.559459",".0137215"
"5.state","1.357621","2.53e-06"
"6.state","1","."
"10.state","1.459801",".0467624"
"11.state","2.054912","0"
"12.state","1.184016",".2839435"
"13.state","2.579028",".0063287"
"14.state",".8803682",".5370557"
"15.state","1.036449",".8736601"
"16.state","1.268714",".2835935"
"1.time","2.332092","7.52e-11"
"2.time","2.282388",".0000199"
"3.time","2.191199","1.95e-06"
"4.time","1.73654","8.69e-07"
"5.time","1.609446",".0000134"
"6.time","1.494523",".0000375"
"7.time","1.420519",".0002917"
"8.time","1.279151",".0022328"
"9.time","1.105119",".1551151"
"10.time","1","."
"11.time","1.027863",".7610786"
"12.time",".9056969",".1117156"
"13.time",".8258902",".0191315"
"14.time",".8098763",".0356428"
"N","747",""
