"","est1",""
"","b","p"
"dv","",""
"p48",".9997555",".9914701"
"p75","1.00056",".0509854"
"mine_time","1.011589",".3443254"
"onsite_insp_hours",".9999144",".1791514"
"union",".8492355",".1993851"
"longwall",".6162675",".0017872"
"1.state","1.6039",".0322012"
"3.state","1.155718",".4739624"
"4.state","1.450952",".0394409"
"5.state","1.323413",".0000426"
"6.state","1","."
"10.state","1.486767",".0321022"
"11.state","2.061219","0"
"12.state","1.253628",".1500766"
"13.state","2.627423",".005437"
"14.state",".9224817",".6935494"
"15.state","1.056836",".7995542"
"16.state","1.27398",".2689386"
"1.time","2.320584","1.19e-10"
"2.time","2.291897",".0000101"
"3.time","2.212537","6.76e-07"
"4.time","1.753284","2.59e-07"
"5.time","1.621628","8.54e-06"
"6.time","1.516563",".0000154"
"7.time","1.402069",".0003976"
"8.time","1.262289",".0040859"
"9.time","1.094475",".2007057"
"10.time","1","."
"11.time","1.039419",".6704169"
"12.time",".907548",".1237778"
"13.time",".8429861",".0375785"
"14.time",".8253093",".0551264"
"N","747",""
