"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_pp_c_lag_all","1.001623",".2741588"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all","1.000065",".9824295"
"sp48_26_pp_c_lag_all",".9973069",".0022967"
"sp48_27_pp_c_lag_all","1.003199",".4088723"
"sp48_28_pp_c_lag_all","1.002592",".5711978"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all",".9977024",".5533981"
"sp48_6_pp_c_lag_all",".9980293",".2668543"
"sp48_7_pp_c_lag_all",".9954526",".0001322"
"sp48_8_pp_c_lag_all",".9994643",".757686"
"sp75_100_pp_c_lag_all","1","."
"sp75_1002_pp_c_lag_all","1.001154",".5660058"
"sp75_1003_pp_c_lag_all","1","."
"sp75_1003_2_pp_c_lag_all","1","."
"sp75_1311_pp_c_lag_all","1.000494",".8104601"
"sp75_1315_pp_c_lag_all","1","."
"sp75_1316_pp_c_lag_all",".9718939",".0001056"
"sp75_1318_pp_c_lag_all","1","."
"sp75_1400_pp_c_lag_all",".9934974",".1261989"
"sp75_1400_1_pp_c_lag_all","1","."
"sp75_1403_10_pp_c_lag_all","1.000876",".5879076"
"sp75_1403_5_pp_c_lag_all","1.000137",".7576538"
"sp75_1403_6_pp_c_lag_all",".9987074",".0367351"
"sp75_1403_7_pp_c_lag_all","1.00402",".2240324"
"sp75_1403_8_pp_c_lag_all","1.002717",".5399919"
"sp75_1404_pp_c_lag_all",".9942661",".0976398"
"sp75_1404_1_pp_c_lag_all","1","."
"sp75_1405_pp_c_lag_all","1.014422",".3079567"
"sp75_1405_1_pp_c_lag_all",".9785597",".0000179"
"sp75_153_pp_c_lag_all","1","."
"sp75_156_pp_c_lag_all",".9897696",".0780456"
"sp75_160_pp_c_lag_all","1.003339",".5133783"
"sp75_1719_2_pp_c_lag_all","1","."
"sp75_1719_4_pp_c_lag_all","1.000846",".5769261"
"sp75_1720_pp_c_lag_all","1.002203",".0453635"
"sp75_1725_pp_c_lag_all","1.000148",".2163316"
"sp75_1906_pp_c_lag_all",".9966102",".2229864"
"sp75_1916_pp_c_lag_all",".9975412",".4390319"
"sp75_203_pp_c_lag_all","1.000127",".6145089"
"sp75_204_pp_c_lag_all","1.000061",".8874455"
"sp75_205_pp_c_lag_all","1","."
"sp75_207_pp_c_lag_all","1.014935",".0009213"
"sp75_208_pp_c_lag_all",".9991555",".0275008"
"sp75_209_pp_c_lag_all",".9995266",".7528492"
"sp75_212_pp_c_lag_all","1.008978",".0019093"
"sp75_213_pp_c_lag_all","1.000158",".9902723"
"sp75_215_pp_c_lag_all","1","."
"sp75_332_pp_c_lag_all","1.003011",".5503987"
"sp75_334_pp_c_lag_all",".9987734",".2852035"
"sp75_337_pp_c_lag_all",".9988174",".3072842"
"sp75_340_pp_c_lag_all","1.002405",".0032006"
"sp75_343_pp_c_lag_all","1","."
"sp75_373_pp_c_lag_all","1","."
"sp75_388_pp_c_lag_all","1.000357",".737663"
"sp75_389_pp_c_lag_all","1","."
"sp75_500_pp_c_lag_all","1.000424",".7754564"
"sp75_500_1_pp_c_lag_all","1","."
"sp75_501_pp_c_lag_all",".9997824",".9306023"
"sp75_501_2_pp_c_lag_all",".9989446",".584056"
"sp75_502_pp_c_lag_all","1","."
"sp75_503_pp_c_lag_all",".9999055",".1535788"
"sp75_505_pp_c_lag_all","1.007835",".0006087"
"sp75_506_1_pp_c_lag_all","1.001566",".5635554"
"sp75_507_pp_c_lag_all",".9981531",".3336424"
"sp75_507_1_pp_c_lag_all","1.000493",".4434623"
"sp75_508_1_pp_c_lag_all",".9856452",".0256105"
"sp75_509_pp_c_lag_all","1.005137",".4096972"
"sp75_510_pp_c_lag_all","1","."
"sp75_512_1_pp_c_lag_all","1","."
"sp75_523_pp_c_lag_all",".9990051",".1327967"
"sp75_523_3_pp_c_lag_all",".9999007",".5912085"
"sp75_524_pp_c_lag_all",".9924792",".3259567"
"sp75_602_pp_c_lag_all",".9990137",".4845612"
"sp75_603_pp_c_lag_all",".9965629",".210422"
"sp75_604_pp_c_lag_all","1.000255",".1969627"
"sp75_605_pp_c_lag_all","1.001511",".0202015"
"sp75_606_pp_c_lag_all",".9994703",".1268568"
"sp75_607_pp_c_lag_all","1.004621",".0061018"
"sp75_703_3_pp_c_lag_all","1.000195",".9513585"
"sp75_703_4_pp_c_lag_all","1","."
"sp75_807_pp_c_lag_all","1.000223",".6194695"
"sp75_810_pp_c_lag_all",".9973429",".0000233"
"sp75_811_pp_c_lag_all","1.004698",".0360698"
"sp75_812_pp_c_lag_all","1","."
"sp75_816_pp_c_lag_all","1.001073",".3634087"
"sp75_817_pp_c_lag_all","1","."
"sp75_906_pp_c_lag_all",".9981637",".5301043"
"mine_time",".9967124",".8943635"
"onsite_insp_hours","1.003677","3.86e-10"
"union","5.276385",".0169097"
"longwall",".1134978",".0918183"
"1.state","1.097587",".9217835"
"2.state",".9429134",".7847355"
"3.state","4.418717",".0264722"
"4.state","3.701058",".3606235"
"5.state",".907875",".8900173"
"6.state",".4693456",".0004414"
"7.state","1","."
"8.state",".1400116",".0217393"
"9.state","1","."
"10.state",".3186153",".0779584"
"11.state","2.449042",".4213469"
"12.state",".3546003",".0016896"
"13.state","2.916204",".2619721"
"14.state",".5252208",".0419155"
"15.state",".3567584",".0001444"
"16.state","1","."
"17.state","1","."
"8.time","1.378425",".1297209"
"9.time","1","."
"10.time","1.19316",".4773895"
"11.time",".8528362",".5021027"
"12.time","1.043985",".861678"
"13.time",".6934427",".108925"
"14.time",".9136911",".7508926"
"N","2345",""
