"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_ss_c_lag_all","1.067241",".6619693"
"sp48_25_ss_c_lag_all","1.284104",".0601336"
"sp48_26_ss_c_lag_all","1.124419",".2487707"
"sp48_27_ss_c_lag_all","1.112195",".6697822"
"sp48_28_ss_c_lag_all",".903437",".3462755"
"sp48_4_ss_c_lag_all","1","."
"sp48_5_ss_c_lag_all","1.118568",".6223665"
"sp48_6_ss_c_lag_all",".9303043",".4983341"
"sp48_7_ss_c_lag_all",".8989291",".2533008"
"sp48_8_ss_c_lag_all","1.005479",".9704289"
"sp75_100_ss_c_lag_all","1","."
"sp75_1002_ss_c_lag_all","1.090718",".3722698"
"sp75_1003_ss_c_lag_all","1","."
"sp75_1003_2_ss_c_lag_all","1","."
"sp75_1311_ss_c_lag_all",".9191015",".6542057"
"sp75_1315_ss_c_lag_all",".5074387",".003725"
"sp75_1316_ss_c_lag_all",".5587596",".0295279"
"sp75_1318_ss_c_lag_all",".85387",".2269783"
"sp75_1322_ss_c_lag_all","1","."
"sp75_1400_ss_c_lag_all","1.010143",".9380318"
"sp75_1400_1_ss_c_lag_all","1","."
"sp75_1403_10_ss_c_lag_all","1.199237",".0037233"
"sp75_1403_5_ss_c_lag_all",".8928878",".0038132"
"sp75_1403_6_ss_c_lag_all","1.023395",".4662678"
"sp75_1403_7_ss_c_lag_all","1.018001",".802827"
"sp75_1403_8_ss_c_lag_all","1.071715",".6031493"
"sp75_1404_ss_c_lag_all","1","."
"sp75_1404_1_ss_c_lag_all","1","."
"sp75_1405_ss_c_lag_all","2.911688",".0743894"
"sp75_1405_1_ss_c_lag_all",".5841651",".0000427"
"sp75_153_ss_c_lag_all","1","."
"sp75_155_ss_c_lag_all","1","."
"sp75_156_ss_c_lag_all","1","."
"sp75_1719_2_ss_c_lag_all","1","."
"sp75_1719_4_ss_c_lag_all","1","."
"sp75_1720_ss_c_lag_all","1.009645",".7883661"
"sp75_1725_ss_c_lag_all","1.004541",".4485273"
"sp75_1906_ss_c_lag_all","1","."
"sp75_1916_ss_c_lag_all","3.660942",".0083378"
"sp75_203_ss_c_lag_all","1.001455",".9034704"
"sp75_204_ss_c_lag_all","1.04343",".2659633"
"sp75_205_ss_c_lag_all","1","."
"sp75_207_ss_c_lag_all","1.716182",".0499784"
"sp75_208_ss_c_lag_all",".9643991",".003235"
"sp75_209_ss_c_lag_all","1.053531",".4256259"
"sp75_212_ss_c_lag_all",".8169137",".0003293"
"sp75_213_ss_c_lag_all","1","."
"sp75_215_ss_c_lag_all","1","."
"sp75_332_ss_c_lag_all",".9889676",".9388156"
"sp75_334_ss_c_lag_all",".9592854",".5364354"
"sp75_337_ss_c_lag_all",".7721283",".0442296"
"sp75_340_ss_c_lag_all","1.119639",".000024"
"sp75_343_ss_c_lag_all","1","."
"sp75_373_ss_c_lag_all","1","."
"sp75_388_ss_c_lag_all",".9931794",".8340239"
"sp75_389_ss_c_lag_all",".8897912",".4513901"
"sp75_500_ss_c_lag_all","1.266155",".0384795"
"sp75_500_1_ss_c_lag_all","1","."
"sp75_501_ss_c_lag_all","1","."
"sp75_501_2_ss_c_lag_all",".7492313",".1690775"
"sp75_502_ss_c_lag_all",".6235327",".0434245"
"sp75_503_ss_c_lag_all",".9963438",".5188546"
"sp75_505_ss_c_lag_all","1","."
"sp75_506_1_ss_c_lag_all",".7536479",".1725415"
"sp75_507_ss_c_lag_all","1.338475",".1106871"
"sp75_507_1_ss_c_lag_all",".882125",".1687706"
"sp75_509_ss_c_lag_all","2.021785",".0000728"
"sp75_512_1_ss_c_lag_all","1","."
"sp75_523_ss_c_lag_all",".9737669",".1157088"
"sp75_523_3_ss_c_lag_all","1.008357",".4041601"
"sp75_524_ss_c_lag_all",".9448471",".6242063"
"sp75_602_ss_c_lag_all","1.048707",".5331156"
"sp75_603_ss_c_lag_all","1.260519",".1226234"
"sp75_604_ss_c_lag_all","1.006666",".3575933"
"sp75_605_ss_c_lag_all","1.08752",".0026262"
"sp75_606_ss_c_lag_all",".9544681",".0013261"
"sp75_607_ss_c_lag_all","1.346972",".0105518"
"sp75_703_3_ss_c_lag_all","1.267776",".1556427"
"sp75_807_ss_c_lag_all",".9563331",".0749712"
"sp75_810_ss_c_lag_all",".7941372",".0131396"
"sp75_811_ss_c_lag_all",".7319165",".1507794"
"sp75_812_ss_c_lag_all","1","."
"sp75_816_ss_c_lag_all",".9717074",".8147793"
"sp75_817_ss_c_lag_all","1","."
"sp75_906_ss_c_lag_all",".9955012",".9871914"
"mine_time",".9966523",".8871684"
"onsite_insp_hours","1.004378","0"
"union","2.384018",".0032858"
"longwall",".4412027",".2521215"
"1.state","1.752943",".4549349"
"2.state",".7414345",".048204"
"3.state","2.839838",".104901"
"4.state","5.523135",".0293535"
"5.state",".7664313",".5972833"
"6.state",".5278839",".0000213"
"7.state","1.927838",".5423252"
"8.state",".8667383",".3221216"
"9.state",".167209","2.35e-07"
"10.state","1.151978",".8305302"
"11.state","2.750045",".3172691"
"12.state",".4643969",".0009816"
"13.state","2.275593",".1539442"
"14.state",".4728262",".065193"
"15.state",".7283879",".1013944"
"16.state","1","."
"17.state","1","."
"1.time",".9875032",".9490386"
"2.time","1","."
"3.time",".6835872",".0589553"
"4.time",".9011032",".6628538"
"5.time",".5186106",".0041957"
"6.time",".4827446",".0008862"
"7.time",".4847477",".0015876"
"8.time",".3046315","3.03e-07"
"9.time",".2188935","9.88e-11"
"10.time",".2549592","3.41e-07"
"11.time",".1848637","2.35e-10"
"12.time",".2225362","2.75e-08"
"13.time",".1526826","2.47e-12"
"14.time",".2178264","1.40e-06"
"N","5177",""
