"","est1",""
"","b","p"
"dv_indicator","",""
"sp48_11_c_lag_all","1.028334",".6127885"
"sp75_1311_c_lag_all","1.159646",".436779"
"sp75_1400_1_c_lag_all","1","."
"sp75_1404_1_c_lag_all","1","."
"sp75_1405_1_c_lag_all",".3312829",".0000664"
"sp75_500_1_c_lag_all","1","."
"sp75_501_c_lag_all",".9807657",".7720869"
"sp75_506_1_c_lag_all",".9360022",".5755426"
"sp75_507_1_c_lag_all",".9744113",".3956277"
"sp75_508_1_c_lag_all",".5918475",".0073134"
"sp75_512_1_c_lag_all","1","."
"sp75_811_c_lag_all","1.170255",".1374447"
"sp75_1002_c_lag_all","1.024976",".6968199"
"sp75_1003_2_c_lag_all","1","."
"sp75_1322_c_lag_all","1","."
"sp75_1719_2_c_lag_all","1.009373",".9653961"
"sp75_212_c_lag_all","1.049283",".3738905"
"sp75_332_c_lag_all",".8344656",".075493"
"sp75_501_2_c_lag_all",".7658305",".0000461"
"sp75_502_c_lag_all",".5982653",".0004586"
"sp75_602_c_lag_all","1.128889",".0341572"
"sp75_812_c_lag_all","1","."
"sp75_1003_c_lag_all","1","."
"sp75_153_c_lag_all","1","."
"sp75_203_c_lag_all","1.012646",".335604"
"sp75_213_c_lag_all","1.002205",".9968001"
"sp75_343_c_lag_all","1","."
"sp75_373_c_lag_all",".9202077",".841736"
"sp75_503_c_lag_all",".9973701",".3571736"
"sp75_523_c_lag_all","1.021832",".2568412"
"sp75_523_3_c_lag_all",".9881847",".1404615"
"sp75_603_c_lag_all","1.01164",".8755468"
"sp75_703_3_c_lag_all",".9683222",".6167517"
"sp48_24_c_lag_all","1","."
"sp48_4_c_lag_all","1","."
"sp75_1404_c_lag_all",".8626127",".0690043"
"sp75_1719_4_c_lag_all","1.065009",".4228781"
"sp75_204_c_lag_all","1.032095",".1021419"
"sp75_334_c_lag_all",".9701389",".5159771"
"sp75_524_c_lag_all","1.137597",".5267907"
"sp75_604_c_lag_all","1.018243",".0170593"
"sp75_703_4_c_lag_all","1","."
"sp48_25_c_lag_all","1.044268",".6726017"
"sp48_5_c_lag_all","1.114008",".6025282"
"sp75_1315_c_lag_all",".593715",".0249212"
"sp75_1403_5_c_lag_all",".9601861",".0336855"
"sp75_1405_c_lag_all","1.28154",".30793"
"sp75_155_c_lag_all","1","."
"sp75_1725_c_lag_all",".9939461",".2812715"
"sp75_205_c_lag_all",".9637658",".8627096"
"sp75_215_c_lag_all","1","."
"sp75_505_c_lag_all","1.554118",".0338757"
"sp75_605_c_lag_all","1.055468",".0307457"
"sp48_26_c_lag_all",".9671901",".3033656"
"sp48_6_c_lag_all",".8915389",".0980354"
"sp75_1316_c_lag_all",".9065621",".572798"
"sp75_1403_6_c_lag_all",".9744459",".0953975"
"sp75_156_c_lag_all",".8182674",".4851839"
"sp75_1906_c_lag_all","1.022137",".9286321"
"sp75_1916_c_lag_all","1.403289",".0514099"
"sp75_606_c_lag_all",".9867388",".2186792"
"sp75_816_c_lag_all","1.0683",".1911386"
"sp75_906_c_lag_all","1.110073",".8288526"
"sp48_27_c_lag_all",".9652012",".6693349"
"sp48_7_c_lag_all",".892737",".0627876"
"sp75_1403_7_c_lag_all","1.057176",".3882045"
"sp75_207_c_lag_all","1.606127",".0005017"
"sp75_327_c_lag_all","1","."
"sp75_337_c_lag_all",".9738313",".6618649"
"sp75_507_c_lag_all",".9300561",".0967154"
"sp75_607_c_lag_all","1.208163",".0200443"
"sp75_807_c_lag_all",".9950036",".7137988"
"sp75_817_c_lag_all","1","."
"sp48_28_c_lag_all","1.23203",".0693308"
"sp48_8_c_lag_all","1.063987",".4036308"
"sp75_1318_c_lag_all",".9505685",".6635897"
"sp75_1403_8_c_lag_all","1.092949",".2583344"
"sp75_208_c_lag_all",".9677985",".0195085"
"sp75_388_c_lag_all","1.011959",".7824464"
"sp75_209_c_lag_all","1.045769",".2213034"
"sp75_389_c_lag_all","1.105994",".5177889"
"sp75_509_c_lag_all","1.343633",".0165277"
"sp75_100_c_lag_all","1","."
"sp75_1400_c_lag_all",".9136911",".5217047"
"sp75_1403_10_c_lag_all",".9785804",".3586314"
"sp75_160_c_lag_all","2.07298",".0202942"
"sp75_1720_c_lag_all","1.072025",".0252717"
"sp75_340_c_lag_all","1.05331",".0044463"
"sp75_500_c_lag_all","1.029757",".6076319"
"sp75_510_c_lag_all","1","."
"sp75_810_c_lag_all",".9584444",".0192738"
"mine_time",".9925022",".7532765"
"onsite_insp_hours","1.004396","0"
"union","2.701852",".0008437"
"longwall",".3335256",".1558826"
"1.state","1.151342",".8916045"
"2.state",".7895694",".1226294"
"3.state","2.724358",".098768"
"4.state","6.16107",".0186538"
"5.state",".8383023",".7516448"
"6.state",".5603468",".0001533"
"7.state","1.530324",".5555806"
"8.state",".926231",".5965233"
"9.state",".0516373","1.19e-09"
"10.state",".9162123",".8784741"
"11.state","2.659146",".3644408"
"12.state",".5096882",".0047039"
"13.state","2.482439",".1338201"
"14.state",".4394923",".0414059"
"15.state",".7186321",".0924572"
"16.state","1","."
"17.state","1","."
"1.time",".9791166",".9151519"
"2.time","1","."
"3.time",".653997",".032978"
"4.time",".862876",".5310353"
"5.time",".5052177",".0031318"
"6.time",".453002",".0003308"
"7.time",".4875248",".0014568"
"8.time",".2999899","2.72e-07"
"9.time",".2126666","9.27e-11"
"10.time",".2478418","4.55e-07"
"11.time",".1792494","3.87e-10"
"12.time",".2245364","5.87e-08"
"13.time",".1546611","1.47e-11"
"14.time",".2226535","1.83e-06"
"N","5098",""
