"","est1",""
"","b","p"
"dv","",""
"sp48_11_pp_c_lag_all","1.000061",".7235953"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all",".9995951",".0512142"
"sp48_26_pp_c_lag_all",".9999301",".849732"
"sp48_27_pp_c_lag_all","1.000094",".6329369"
"sp48_28_pp_c_lag_all",".9993402",".0050127"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all","1.000053",".8859336"
"sp48_6_pp_c_lag_all","1.000102",".412052"
"sp48_7_pp_c_lag_all",".9998458",".2359184"
"sp48_8_pp_c_lag_all","1.000447",".1172131"
"sp75_100_pp_c_lag_all","1.000728",".089684"
"sp75_1002_pp_c_lag_all","1.000035",".6059725"
"sp75_1003_pp_c_lag_all","1.000053",".0744468"
"sp75_1003_2_pp_c_lag_all",".9998382",".2358737"
"sp75_1311_pp_c_lag_all","1.000129",".6051584"
"sp75_1315_pp_c_lag_all","1","."
"sp75_1316_pp_c_lag_all",".9997708",".372515"
"sp75_1318_pp_c_lag_all","1","."
"sp75_1400_pp_c_lag_all",".9998381",".255097"
"sp75_1400_1_pp_c_lag_all",".9990612",".0597115"
"sp75_1403_10_pp_c_lag_all","1.000081",".0093177"
"sp75_1403_5_pp_c_lag_all",".9999905",".4600585"
"sp75_1403_6_pp_c_lag_all","1.00003",".0295582"
"sp75_1403_7_pp_c_lag_all",".9997807",".0454803"
"sp75_1403_8_pp_c_lag_all",".9999753",".2023616"
"sp75_1404_pp_c_lag_all","1.00006",".927129"
"sp75_1404_1_pp_c_lag_all",".9963882",".0001462"
"sp75_1405_pp_c_lag_all","1.000004",".9342734"
"sp75_1405_1_pp_c_lag_all","1.000313",".7122915"
"sp75_153_pp_c_lag_all","1.00106",".1877321"
"sp75_156_pp_c_lag_all",".9959025","6.86e-14"
"sp75_160_pp_c_lag_all","1.003913",".1208257"
"sp75_1719_2_pp_c_lag_all","1.000472",".4560843"
"sp75_1719_4_pp_c_lag_all","1.000038",".7921426"
"sp75_1720_pp_c_lag_all","1.000152",".1267083"
"sp75_1725_pp_c_lag_all",".9999828",".0169889"
"sp75_1906_pp_c_lag_all","1.000078",".4874928"
"sp75_1916_pp_c_lag_all",".9999732",".85146"
"sp75_203_pp_c_lag_all",".9999799",".4777509"
"sp75_204_pp_c_lag_all","1.000026",".5939526"
"sp75_205_pp_c_lag_all",".9992084",".1012552"
"sp75_207_pp_c_lag_all",".999438",".2213869"
"sp75_208_pp_c_lag_all",".9999925",".8330248"
"sp75_209_pp_c_lag_all",".9999567",".8274342"
"sp75_212_pp_c_lag_all","1.000048",".557302"
"sp75_213_pp_c_lag_all","1.000668",".2452802"
"sp75_215_pp_c_lag_all",".9991282",".2988241"
"sp75_332_pp_c_lag_all",".9999127",".7287022"
"sp75_334_pp_c_lag_all",".9998835",".3276897"
"sp75_337_pp_c_lag_all",".9999702",".6803598"
"sp75_340_pp_c_lag_all",".9999666",".0785923"
"sp75_343_pp_c_lag_all",".9999043",".7531144"
"sp75_373_pp_c_lag_all","1.010685","0"
"sp75_388_pp_c_lag_all","1.000046",".824508"
"sp75_389_pp_c_lag_all",".9995765",".2975672"
"sp75_500_pp_c_lag_all","1.000409",".019692"
"sp75_500_1_pp_c_lag_all",".9992919",".4873618"
"sp75_501_pp_c_lag_all","1.000014",".9669257"
"sp75_501_2_pp_c_lag_all",".9994219",".1022219"
"sp75_502_pp_c_lag_all","1.000486",".4227913"
"sp75_503_pp_c_lag_all",".9999897",".0388156"
"sp75_505_pp_c_lag_all","1.000685",".115431"
"sp75_506_1_pp_c_lag_all","1.000618",".0063003"
"sp75_507_pp_c_lag_all","1.000087",".4771175"
"sp75_507_1_pp_c_lag_all",".999961",".587447"
"sp75_508_1_pp_c_lag_all",".9986641",".0411033"
"sp75_509_pp_c_lag_all",".9998654",".6933978"
"sp75_510_pp_c_lag_all","1.001464",".273188"
"sp75_512_1_pp_c_lag_all",".9988386",".0933078"
"sp75_523_pp_c_lag_all","1.000048",".5378629"
"sp75_523_3_pp_c_lag_all","1.000008",".6891178"
"sp75_524_pp_c_lag_all",".9997382",".6338664"
"sp75_602_pp_c_lag_all",".9999865",".9103783"
"sp75_603_pp_c_lag_all",".9998041",".1070163"
"sp75_604_pp_c_lag_all",".999992",".3799613"
"sp75_605_pp_c_lag_all","1.000085",".2060118"
"sp75_606_pp_c_lag_all","1.000033",".0410495"
"sp75_607_pp_c_lag_all",".9998425",".2562388"
"sp75_703_3_pp_c_lag_all","1.000623",".0177733"
"sp75_703_4_pp_c_lag_all","1.001984",".0675974"
"sp75_807_pp_c_lag_all","1.00005",".0118293"
"sp75_810_pp_c_lag_all","1.000117",".3095398"
"sp75_811_pp_c_lag_all","1.000137",".2947222"
"sp75_812_pp_c_lag_all",".9991182",".0155777"
"sp75_816_pp_c_lag_all","1.000007",".9147314"
"sp75_817_pp_c_lag_all",".9996209",".4743573"
"sp75_906_pp_c_lag_all",".9993666",".3454766"
"mine_time","1.008367",".26073"
"onsite_insp_hours","1.000049",".2927999"
"union","1.075193",".3002626"
"longwall",".7669728",".0155878"
"1.state","1.240405",".2703137"
"2.state","1.48547","1.49e-12"
"3.state",".8008311",".1480678"
"4.state","1.206028",".0801145"
"5.state",".8559223",".2665772"
"6.state",".7668791","5.36e-06"
"7.state",".993193",".9775628"
"8.state",".5567041","4.53e-07"
"9.state",".7625142",".1141316"
"10.state",".8974907",".5157258"
"11.state","2.528145","6.20e-13"
"12.state","1.067564",".4571476"
"13.state","1.740685",".0004602"
"14.state",".521363",".0019683"
"15.state",".6865371","6.23e-08"
"16.state","1","."
"17.state",".683776",".066767"
"8.time","1.156535",".0004088"
"9.time","1","."
"10.time",".8893661",".0029387"
"11.time",".8682516",".0025265"
"12.time",".8124488",".0000183"
"13.time",".705976","9.00e-10"
"14.time",".6899821","1.70e-08"
"N","2734",""
