"","est1",""
"","b","p"
"dv","",""
"sp48_11_ss_1lag","1.083893",".2088604"
"sp48_25_ss_1lag",".9146537",".1264381"
"sp48_26_ss_1lag","1.057127",".3332225"
"sp48_27_ss_1lag",".9894324",".8823096"
"sp48_28_ss_1lag",".962351",".5880504"
"sp48_4_ss_1lag","1.575153",".0004066"
"sp48_5_ss_1lag","1.030824",".742426"
"sp48_6_ss_1lag",".9984709",".9856358"
"sp48_7_ss_1lag","1.073813",".1083545"
"sp48_8_ss_1lag","1.27464",".1458433"
"sp75_100_ss_1lag","1.24841",".1845512"
"sp75_1002_ss_1lag",".9871979",".8428449"
"sp75_1003_ss_1lag",".9722023",".4441111"
"sp75_1003_2_ss_1lag",".9203514",".2304123"
"sp75_1311_ss_1lag",".8897295",".3377989"
"sp75_1315_ss_1lag",".9524967",".8892993"
"sp75_1316_ss_1lag",".7767888",".1952463"
"sp75_1318_ss_1lag","1","."
"sp75_1322_ss_1lag","1","."
"sp75_1400_ss_1lag","1.150579",".008793"
"sp75_1400_1_ss_1lag",".8580433",".6496796"
"sp75_1403_10_ss_1lag","1.052142",".0193035"
"sp75_1403_5_ss_1lag",".9807448",".0799674"
"sp75_1403_6_ss_1lag",".9905799",".3316773"
"sp75_1403_7_ss_1lag","1.008432",".8226393"
"sp75_1403_8_ss_1lag",".9743265",".0153173"
"sp75_1404_ss_1lag",".8095865",".011486"
"sp75_1404_1_ss_1lag",".8090773",".0509451"
"sp75_1405_ss_1lag",".9817795",".1758049"
"sp75_1405_1_ss_1lag","1.463853",".0660293"
"sp75_153_ss_1lag","1.876543",".0004406"
"sp75_155_ss_1lag",".901124",".3300013"
"sp75_156_ss_1lag","1.010912",".9443965"
"sp75_1719_2_ss_1lag",".702889",".49446"
"sp75_1719_4_ss_1lag",".917235",".3360876"
"sp75_1720_ss_1lag","1.083176",".0114899"
"sp75_1725_ss_1lag","1.001599",".6594025"
"sp75_1906_ss_1lag","1.7073",".0187529"
"sp75_1916_ss_1lag","1.12183",".0591877"
"sp75_203_ss_1lag","1.012299",".3576671"
"sp75_204_ss_1lag","1.061928",".0063417"
"sp75_205_ss_1lag","1.543245","3.58e-06"
"sp75_207_ss_1lag","1.130377",".1313822"
"sp75_208_ss_1lag","1.010252",".4935908"
"sp75_209_ss_1lag","1.06792",".179613"
"sp75_212_ss_1lag","1.064558",".1956501"
"sp75_213_ss_1lag","1.136992",".1021304"
"sp75_215_ss_1lag","1.058039",".5492059"
"sp75_332_ss_1lag",".9281564",".45603"
"sp75_334_ss_1lag","1.023698",".5452211"
"sp75_337_ss_1lag",".9447943",".0306017"
"sp75_340_ss_1lag","1.005676",".6596712"
"sp75_343_ss_1lag",".9823016",".7907532"
"sp75_373_ss_1lag","1","."
"sp75_388_ss_1lag","1.0209",".7648623"
"sp75_389_ss_1lag",".873849",".4909485"
"sp75_500_ss_1lag","1.117644",".2705266"
"sp75_500_1_ss_1lag",".6742455",".007055"
"sp75_501_ss_1lag",".8873992",".4098314"
"sp75_501_2_ss_1lag",".739272",".3430066"
"sp75_502_ss_1lag","1.581789",".1033745"
"sp75_503_ss_1lag","1.011366",".0175335"
"sp75_505_ss_1lag",".6851627",".1040336"
"sp75_506_1_ss_1lag","1.046205",".809999"
"sp75_507_ss_1lag","1.099677",".1158631"
"sp75_507_1_ss_1lag","1.021618",".5910017"
"sp75_509_ss_1lag","1.168529",".0702621"
"sp75_512_1_ss_1lag","1.040191",".7430521"
"sp75_523_ss_1lag",".9076875","2.51e-06"
"sp75_523_3_ss_1lag",".9886475",".2693119"
"sp75_524_ss_1lag",".8210663",".3149874"
"sp75_602_ss_1lag",".991803",".8714441"
"sp75_603_ss_1lag","1.07953",".1006784"
"sp75_604_ss_1lag","1.00795",".1385732"
"sp75_605_ss_1lag","1.014868",".5768803"
"sp75_606_ss_1lag",".99862",".9241788"
"sp75_607_ss_1lag","1.010206",".8160523"
"sp75_703_3_ss_1lag","1.018775",".7678613"
"sp75_807_ss_1lag","1.01138",".4820778"
"sp75_810_ss_1lag","1.066605",".4063967"
"sp75_811_ss_1lag",".8715857",".1737846"
"sp75_812_ss_1lag",".9884234",".9385085"
"sp75_816_ss_1lag",".9914598",".9139516"
"sp75_817_ss_1lag","2.095779",".1761957"
"sp75_906_ss_1lag",".6844752",".226524"
"mine_time","1.00895",".1644174"
"onsite_insp_hours",".9999308",".1048438"
"union","1.018284",".7589963"
"longwall",".684547","7.56e-09"
"1.state",".9398299",".5986019"
"2.state","1.102259",".085953"
"3.state",".8510176",".1232311"
"4.state","1.097638",".2728761"
"5.state",".8381143",".0314572"
"6.state",".7309649","2.83e-11"
"7.state",".944109",".7879276"
"8.state",".6911106","3.57e-12"
"9.state",".7285469",".000011"
"10.state",".9694079",".790834"
"11.state","1.557513",".0028166"
"12.state","1.031921",".6546762"
"13.state","1.52288",".0000393"
"14.state",".479588","1.07e-06"
"15.state",".7075571","1.52e-10"
"16.state","1","."
"17.state",".8065281",".0127867"
"1.time","1.068391",".1341001"
"2.time","1","."
"3.time",".9544639",".344221"
"4.time",".865006",".0066814"
"5.time",".7937431","3.61e-06"
"6.time",".7187595","1.41e-10"
"7.time",".7096117","2.84e-10"
"8.time",".6824575","5.70e-11"
"9.time",".5958868","0"
"10.time",".5390019","0"
"11.time",".5369607","0"
"12.time",".4893785","0"
"13.time",".4337619","0"
"14.time",".4283444","0"
"N","5654",""
