"","est1",""
"","b","p"
"dv","",""
"sp48_11","1.03845",".3139548"
"sp75_1311",".9416437",".3841968"
"sp75_1400_1",".8623208",".4694617"
"sp75_1404_1",".9408951",".7102038"
"sp75_1405_1","1.209934",".2632499"
"sp75_500_1",".8924683",".6177539"
"sp75_501","1.125477",".1652654"
"sp75_506_1","1.06958",".189639"
"sp75_507_1",".9999018",".9953461"
"sp75_508_1",".5483033",".0000204"
"sp75_512_1","1.025971",".8429482"
"sp75_811","1.004497",".8875393"
"sp75_1002",".9826566",".3838217"
"sp75_1003_2",".9639195",".5183865"
"sp75_1322",".9503969",".8060423"
"sp75_1719_2",".9363944",".4106474"
"sp75_212","1.077988",".0046868"
"sp75_332",".9299278",".2654085"
"sp75_501_2",".8879173",".1378374"
"sp75_502","1.098004",".397982"
"sp75_602","1.008593",".6947608"
"sp75_812","1.022964",".8181906"
"sp75_1003",".9681354",".0158349"
"sp75_153","1.160137",".4106603"
"sp75_203","1.005875",".4868777"
"sp75_213","1.183163",".0618338"
"sp75_343",".981998",".6522739"
"sp75_373",".7552372",".4650972"
"sp75_503","1.00176",".4445512"
"sp75_523",".9345616",".0001358"
"sp75_523_3",".981316",".0038304"
"sp75_603","1.08106",".0534871"
"sp75_703_3",".9840376",".6339841"
"sp48_24","1.105924","0"
"sp48_4",".6484485",".0878225"
"sp75_1404",".8330805",".3440761"
"sp75_1719_4",".9685505",".1531424"
"sp75_204",".999478",".9652095"
"sp75_334","1.007305",".7501002"
"sp75_524",".8527005",".301783"
"sp75_604","1.010387",".0042243"
"sp75_703_4",".4123591",".041127"
"sp48_25",".9596174",".3691582"
"sp48_5","1.05631",".3566263"
"sp75_1315",".8750645",".6928798"
"sp75_1403_5",".9869596",".0418008"
"sp75_1405",".983022",".2262187"
"sp75_155","1.044928",".8097889"
"sp75_1725","1.003863",".2187298"
"sp75_205","1.389457",".0040449"
"sp75_215","1.320612",".0051216"
"sp75_505",".9828848",".8305582"
"sp75_605",".9878924",".3303947"
"sp48_26","1.081203",".0594312"
"sp48_6","1.029807",".4331359"
"sp75_1316",".7922028",".0778848"
"sp75_1403_6",".9985582",".762159"
"sp75_156",".8271735",".1058111"
"sp75_1906","1.082514",".0022536"
"sp75_1916","1.038693",".2937606"
"sp75_606",".9927743",".3255482"
"sp75_816","1.024626",".268178"
"sp75_906",".7427409",".0078526"
"sp48_27","1.06365",".327178"
"sp48_7","1.088959",".033409"
"sp75_1403_7",".9877894",".6252445"
"sp75_207",".9101791",".2455991"
"sp75_327",".7524066",".0044189"
"sp75_337",".9554356",".0469213"
"sp75_507","1.075014",".0595236"
"sp75_607","1.002643",".9234158"
"sp75_807","1.023267",".001437"
"sp75_817",".9224715",".7184166"
"sp48_28",".9826343",".7727883"
"sp48_8","1.141654",".065015"
"sp75_1318","1.158575",".445822"
"sp75_1403_8",".9938792",".2269468"
"sp75_208","1.004585",".6871985"
"sp75_388","1.01869",".6406946"
"sp75_209","1.028648",".4829852"
"sp75_389",".9239285",".5184878"
"sp75_509","1.202305",".012484"
"sp75_100","1.393831",".0023017"
"sp75_1400","1.062583",".0903731"
"sp75_1403_10",".9946813",".5450278"
"sp75_160","1.449869",".2313486"
"sp75_1720","1.064539",".0154784"
"sp75_340",".9989055",".8902981"
"sp75_500",".9802617",".5584272"
"sp75_510",".9593114",".6910476"
"sp75_810","1.02632",".22785"
"mine_time","1.010937",".0828645"
"onsite_insp_hours",".9999238",".0593377"
"union","1.038704",".5134635"
"longwall",".6903092","4.29e-09"
"1.state",".953109",".7225362"
"2.state","1.12123",".0252634"
"3.state",".7994838",".0345946"
"4.state","1.047042",".5923917"
"5.state",".7905546",".0025025"
"6.state",".7384419","4.75e-11"
"7.state",".9644914",".8606006"
"8.state",".672364","2.28e-11"
"9.state",".6910068","9.12e-08"
"10.state",".9545367",".6648973"
"11.state","1.576686",".0015589"
"12.state","1.06233",".3899427"
"13.state","1.508863",".0000197"
"14.state",".4810029","1.64e-06"
"15.state",".7172607","5.78e-10"
"16.state","1","."
"17.state",".8179899",".0106481"
"1.time","1.041114",".3521386"
"2.time","1","."
"3.time",".9286556",".1206077"
"4.time",".8451844",".0012173"
"5.time",".793275","1.82e-06"
"6.time",".703056","8.22e-12"
"7.time",".6892642","5.23e-12"
"8.time",".6681697","1.53e-11"
"9.time",".5756986","0"
"10.time",".5239847","0"
"11.time",".5188775","0"
"12.time",".4823126","0"
"13.time",".4257931","0"
"14.time",".4139166","0"
"N","5654",""
