"","est1",""
"","b","p"
"dv_indicator","",""
"p47_pp_c_lag_all",".9992587",".5212592"
"p48_pp_c_lag_all","1.000193",".342174"
"p71_pp_c_lag_all","1.001816",".144679"
"p72_pp_c_lag_all",".9997797",".6395065"
"p75_pp_c_lag_all","1.000002",".2090819"
"p77_pp_c_lag_all",".9999438",".5205845"
"mine_time",".9982238",".557963"
"onsite_insp_hours","1.00113",".0000132"
"1.state","2.025182",".0017821"
"3.state",".9053408",".6497133"
"4.state","1.584221",".0002292"
"5.state","1.183593",".4710369"
"6.state","1","."
"7.state","1.502423",".2355023"
"8.state","1","."
"9.state","1.144558",".3204884"
"10.state","1.08417",".7525209"
"11.state","1.070629",".7997774"
"12.state","1.248093",".0685858"
"13.state","1.498987",".0244327"
"14.state",".6868572",".0321224"
"15.state",".7165337",".0003031"
"16.state","1.242153",".0019819"
"17.state","2.757765","4.22e-15"
"1.time","1","."
"2.time",".9611797",".7965048"
"3.time","1.401419",".024958"
"4.time",".8413856",".2674223"
"5.time",".9577961",".7842485"
"6.time",".8671788",".3762044"
"7.time","1.045694",".7793217"
"8.time","1.027685",".8635354"
"9.time",".898128",".5042634"
"10.time",".7071852",".0477976"
"11.time",".9628761",".8223736"
"12.time",".917436",".6071934"
"13.time",".8915073",".5231473"
"14.time",".8743089",".4592284"
"15.time","1.012339",".9452282"
"16.time",".7200259",".0730464"
"17.time",".7911201",".1826739"
"18.time",".7490373",".0909924"
"19.time",".7060622",".0639884"
"20.time",".6252325",".0146723"
"21.time",".6279754",".0161825"
"22.time",".7200901",".0812128"
"23.time",".7580745",".1278932"
"24.time",".500699",".0003823"
"25.time",".7997996",".2279072"
"26.time",".6136743",".0092209"
"27.time",".7445932",".1097546"
"28.time",".5917758",".0061249"
"29.time",".5965028",".0045609"
"30.time",".5122525",".0007"
"31.time",".684747",".0491788"
"32.time",".7052843",".0676814"
"33.time",".4760916",".0000941"
"34.time",".5045776",".0003705"
"35.time",".5681435",".0037753"
"36.time",".5141038",".0009125"
"37.time",".4296882",".0000448"
"38.time",".444336",".0000512"
"39.time",".468477",".0001431"
"40.time",".3498528","7.45e-07"
"41.time",".3647347","2.70e-06"
"42.time",".4122122",".0000111"
"43.time",".5091759",".0010488"
"44.time",".4508747",".0000898"
"45.time",".5073004",".001196"
"46.time",".4876202",".0004675"
"47.time",".5547865",".0033093"
"48.time",".3411411","2.72e-06"
"49.time",".4225503",".0000259"
"50.time",".3954281",".0000163"
"51.time",".6334385",".0302524"
"52.time",".3463869","3.27e-06"
"53.time",".2922467","2.74e-08"
"54.time",".2555413","2.88e-09"
"55.time",".3261273","4.43e-07"
"56.time",".3990238",".0001273"
"57.time",".2671378","2.69e-08"
"58.time",".3472258",".0000107"
"59.time",".3888394",".0000543"
"60.time",".4105337",".0001981"
"61.time",".3786277",".000177"
"62.time",".3141085","6.44e-06"
"63.time",".4458849",".0017696"
"64.time",".258934","7.96e-07"
"65.time",".3737498",".0002549"
"N","19290",""
