"","est1",""
"","b","p"
"dv","",""
"p47_pp_c_lag_all",".9998568",".8464177"
"p48_pp_c_lag_all","1.000064",".4501485"
"p71_pp_c_lag_all",".9997003",".5802041"
"p72_pp_c_lag_all","1.00001",".972291"
"p75_pp_c_lag_all","1.000002",".0833588"
"p77_pp_c_lag_all",".9999886",".8001984"
"mine_time",".9962145",".1103968"
"onsite_insp_hours",".9997578",".1065894"
"1.state","1.106832",".2402468"
"3.state",".7212478",".0600812"
"4.state","1.170694",".073437"
"5.state",".9509225",".7546578"
"6.state","1","."
"7.state","1.16436",".4284"
"8.state","1.39e-06","0"
"9.state",".8355706",".0126953"
"10.state","1.180564",".176406"
"11.state",".8766352",".6127482"
"12.state",".9117552",".3532353"
"13.state","1.117754",".4437559"
"14.state",".6364973","4.09e-06"
"15.state",".6692406",".0001718"
"16.state","1.001581",".9808816"
"17.state","1.082016",".3420661"
"1.time","1","."
"2.time","1.082992",".4047593"
"3.time","1.298394",".0069508"
"4.time",".9668521",".7473823"
"5.time",".9939217",".9515306"
"6.time",".9022808",".3457033"
"7.time","1.069001",".5072247"
"8.time",".9236314",".4361982"
"9.time",".9854978",".8867694"
"10.time",".8901183",".3264236"
"11.time","1.062558",".554813"
"12.time",".954732",".6679025"
"13.time",".8424323",".1320589"
"14.time",".9588382",".7011061"
"15.time","1.006691",".9538944"
"16.time",".7602364",".0133889"
"17.time",".9297066",".5105892"
"18.time",".873212",".2132635"
"19.time",".8882457",".3068637"
"20.time",".7981061",".0669527"
"21.time",".7163924",".0036655"
"22.time",".8738854",".2431951"
"23.time",".8485962",".1468367"
"24.time",".6614171",".0004683"
"25.time",".7615507",".0230223"
"26.time",".7417652",".0148596"
"27.time",".8571136",".1990894"
"28.time",".66855",".0011089"
"29.time",".7353207",".0105823"
"30.time",".6530666",".00153"
"31.time",".7337402",".0067198"
"32.time",".7540235",".0209632"
"33.time",".6039817",".0000803"
"34.time",".6109981",".0000295"
"35.time",".7332962",".014555"
"36.time",".6560524",".0008138"
"37.time",".614435",".0001726"
"38.time",".5864759",".0000575"
"39.time",".6497206",".0013681"
"40.time",".4859152","1.43e-08"
"41.time",".5222897","1.13e-06"
"42.time",".5497","5.66e-06"
"43.time",".6154387",".000401"
"44.time",".5472506","2.75e-06"
"45.time",".6256486",".0003848"
"46.time",".5517259","2.46e-06"
"47.time",".6425369",".0010323"
"48.time",".5099274","1.14e-06"
"49.time",".6216626",".0003849"
"50.time",".5412292","1.05e-06"
"51.time",".6284535",".0003148"
"52.time",".5464712",".0000124"
"53.time",".5591286",".0000508"
"54.time",".4628505","2.28e-07"
"55.time",".6599397",".0028953"
"56.time",".5209702","6.08e-06"
"57.time",".5112289",".0000126"
"58.time",".5722683",".0001068"
"59.time",".580994",".0000981"
"60.time",".5689896",".0000999"
"61.time",".5372846",".0000819"
"62.time",".5453843",".0002283"
"63.time",".6704009",".010691"
"64.time",".4701869","7.18e-06"
"65.time",".5984926",".0009161"
"N","19291",""
