"","est1",""
"","b","p"
"dv","",""
"p47_ss_1lag","1.331239",".2823889"
"p48_ss_1lag",".9934412",".8837602"
"p71_ss_1lag",".910952",".6776934"
"p72_ss_1lag","1.051661",".7910372"
"p75_ss_1lag","1.005681",".00269"
"p77_ss_1lag","1.048539",".092448"
"mine_time",".998531",".4419711"
"onsite_insp_hours",".9996888",".0306057"
"1.state","1.077503",".3693345"
"2.state","1.986124","0"
"3.state",".7013602",".0304331"
"4.state","1.201088",".0262068"
"5.state",".9264356",".6251907"
"6.state","1","."
"7.state","1.005883",".9718881"
"8.state",".8487129",".0005871"
"9.state",".7929796","5.91e-07"
"10.state","1.064691",".6457808"
"11.state",".8731476",".6143371"
"12.state",".9308895",".4576981"
"13.state","1.211429",".1597328"
"14.state",".6033329",".0001139"
"15.state",".6814378",".0000122"
"16.state","1.0132",".8125613"
"17.state","1.052843",".2344101"
"2.time","1.004136",".9699673"
"3.time","1.191934",".0813829"
"4.time",".8855335",".2465422"
"5.time",".8847583",".20685"
"6.time",".8145868",".0476002"
"7.time","1","."
"8.time",".8464185",".0737804"
"9.time",".8838465",".1853329"
"10.time",".8057617",".0425659"
"11.time","1.003568",".9706004"
"12.time",".9211049",".4293756"
"13.time",".7411824",".0057636"
"14.time",".8391354",".1050911"
"15.time",".9199427",".4290576"
"16.time",".6632189",".0000804"
"17.time",".8628253",".1897233"
"18.time",".8083002",".0367104"
"19.time",".8088874",".0438608"
"20.time",".7212504",".0049996"
"21.time",".6354881",".0000114"
"22.time",".8088141",".0381836"
"23.time",".7104861",".0013917"
"24.time",".6633585",".0002367"
"25.time",".6922968",".0007415"
"26.time",".688116",".0018044"
"27.time",".7472718",".0101407"
"28.time",".613025",".0000399"
"29.time",".6339563",".0000352"
"30.time",".6171558",".0000709"
"31.time",".6714169",".000198"
"32.time",".6676546",".0003096"
"33.time",".5597327","6.90e-07"
"34.time",".5820741","1.01e-06"
"35.time",".6755552",".000433"
"36.time",".5356309","5.23e-08"
"37.time",".5335898","7.62e-08"
"38.time",".5024896","8.57e-09"
"39.time",".6177512",".0000853"
"40.time",".4591821","2.09e-11"
"41.time",".4930572","3.00e-08"
"42.time",".5131594","9.58e-08"
"43.time",".6086781",".000043"
"44.time",".4727634","2.34e-09"
"45.time",".5598162","1.35e-06"
"46.time",".5407946","1.67e-07"
"47.time",".6089896",".0000157"
"48.time",".4946044","1.07e-08"
"49.time",".6165864",".000031"
"50.time",".5342762","8.72e-09"
"51.time",".6033362",".0000183"
"52.time",".4950599","9.86e-09"
"53.time",".5240647","1.60e-07"
"54.time",".4498172","6.92e-09"
"55.time",".590168",".0000341"
"56.time",".4781771","1.87e-08"
"57.time",".4501413","9.93e-09"
"58.time",".5061304","4.99e-07"
"59.time",".5265282","4.28e-07"
"60.time",".5238487","5.24e-07"
"61.time",".4871817","2.34e-07"
"62.time",".5190181",".0000103"
"63.time",".6696438",".0041926"
"64.time",".4002305","3.60e-09"
"65.time",".5595736",".0000507"
"N","26110",""
