"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_pp_c_4lag",".9987471",".3460064"
"sp47_42_pp_c_4lag",".9964483",".388232"
"sp47_44_pp_c_4lag","1.000782",".7688185"
"sp48_11_pp_c_4lag","1.003158",".0196834"
"sp48_24_pp_c_4lag","1","."
"sp48_25_pp_c_4lag",".9976111",".2492781"
"sp48_26_pp_c_4lag","1.00421",".0048906"
"sp48_27_pp_c_4lag",".999533",".7656561"
"sp48_28_pp_c_4lag",".9959609",".0944563"
"sp48_4_pp_c_4lag","1.012592",".0002272"
"sp48_5_pp_c_4lag","1.000075",".9768724"
"sp48_6_pp_c_4lag","1.000216",".8496149"
"sp48_7_pp_c_4lag",".999651",".781444"
"sp48_8_pp_c_4lag","1.000411",".8554826"
"sp71_701_pp_c_4lag","1.006488",".4254165"
"sp72_503_pp_c_4lag",".9968063",".0340409"
"sp72_610_pp_c_4lag","1.009687",".1195229"
"sp72_620_pp_c_4lag","1.004456",".5288563"
"sp72_630_pp_c_4lag","1.000132",".4640056"
"sp75_100_pp_c_4lag","1.000081",".9829764"
"sp75_1001_1_pp_c_4lag","1.001586",".710161"
"sp75_1001_pp_c_4lag",".9990101",".9248883"
"sp75_1003_1_pp_c_4lag",".9968082",".6759378"
"sp75_1100_2_pp_c_4lag","1.000302",".1322229"
"sp75_1101_20_pp_c_4lag",".988148",".0000701"
"sp75_1102_pp_c_4lag",".9981842",".1416986"
"sp75_1103_4_pp_c_4lag","1.000164",".6012276"
"sp75_1104_pp_c_4lag",".9984368",".1426871"
"sp75_1106_2_pp_c_4lag",".9997286",".7962148"
"sp75_1106_3_pp_c_4lag","1.000299",".4862639"
"sp75_1106_4_pp_c_4lag","1.000172",".9544781"
"sp75_1106_5_pp_c_4lag",".998486",".2200269"
"sp75_1106_6_pp_c_4lag",".9863788",".0899038"
"sp75_1106_pp_c_4lag","1.006954",".0404138"
"sp75_1107_14_pp_c_4lag",".999909",".9908898"
"sp75_1400_1_pp_c_4lag","1.003181",".3391003"
"sp75_1400_2_pp_c_4lag",".996872",".5221218"
"sp75_1400_3_pp_c_4lag","1.002531",".0660527"
"sp75_1400_4_pp_c_4lag",".9919418",".0234488"
"sp75_1400_pp_c_4lag",".9996273",".8242608"
"sp75_1401_1_pp_c_4lag","1","."
"sp75_1401_pp_c_4lag",".9973437",".5447298"
"sp75_1403_10_pp_c_4lag","1.001132",".1089617"
"sp75_1403_11_pp_c_4lag","1","."
"sp75_1403_3_pp_c_4lag","1","."
"sp75_1403_4_pp_c_4lag","1","."
"sp75_1403_5_pp_c_4lag",".9997461",".4173626"
"sp75_1403_6_pp_c_4lag",".9996152",".1523789"
"sp75_1403_7_pp_c_4lag",".9980958",".1651775"
"sp75_1403_8_pp_c_4lag",".9996741",".4251127"
"sp75_1403_9_pp_c_4lag",".9990025",".6147369"
"sp75_1404_1_pp_c_4lag",".9741275",".0002481"
"sp75_1404_pp_c_4lag",".9996678",".9648008"
"sp75_1405_1_pp_c_4lag","1.016771",".0001298"
"sp75_1405_pp_c_4lag",".9997821",".5920216"
"sp75_1431_pp_c_4lag",".9938013",".1037356"
"sp75_1432_pp_c_4lag","1.002447",".328875"
"sp75_1433_pp_c_4lag",".9981863",".5038698"
"sp75_1434_pp_c_4lag",".9975426",".3465522"
"sp75_1435_pp_c_4lag",".9929463",".2749176"
"sp75_1437_pp_c_4lag","1.004737",".4683402"
"sp75_150_pp_c_4lag","1.012052",".0062541"
"sp75_151_pp_c_4lag",".9925566",".3280524"
"sp75_153_pp_c_4lag","1.008798",".0630239"
"sp75_156_pp_c_4lag","1.009359",".0357534"
"sp75_160_pp_c_4lag",".9950422",".4616252"
"sp75_1600_2_pp_c_4lag",".9994689",".4130663"
"sp75_1712_10_pp_c_4lag",".9964093",".1243059"
"sp75_1712_6_pp_c_4lag","1.000655",".6116467"
"sp75_1720_pp_c_4lag","1.000255",".7360478"
"sp75_1721_pp_c_4lag","1.00651",".4942151"
"sp75_1725_pp_c_4lag","1.000153",".1564951"
"sp75_1726_pp_c_4lag","1.004923",".05581"
"sp75_1727_pp_c_4lag",".9947442",".8157294"
"sp75_1728_pp_c_4lag","1.007323",".3103003"
"sp75_1729_pp_c_4lag","1.000516",".8630711"
"sp75_1730_pp_c_4lag","1.002194",".3873295"
"sp75_1731_pp_c_4lag",".999885",".1253613"
"sp75_1903_pp_c_4lag","1.003935",".015359"
"sp75_1909_pp_c_4lag",".9999553",".8254777"
"sp75_1910_pp_c_4lag","1.00038",".2297613"
"sp75_1911_pp_c_4lag","1.000095",".8151833"
"sp75_1912_pp_c_4lag","1.001055",".634708"
"sp75_1913_pp_c_4lag",".9989604",".719383"
"sp75_1914_pp_c_4lag","1.000215",".3047279"
"sp75_1915_pp_c_4lag","1.002861",".2766329"
"sp75_202_pp_c_4lag","1.00004",".4602084"
"sp75_208_pp_c_4lag","1.000037",".9342401"
"sp75_211_pp_c_4lag",".9999861",".9666096"
"sp75_212_pp_c_4lag",".9975571",".0035505"
"sp75_214_pp_c_4lag","1.00115",".1334076"
"sp75_312_pp_c_4lag",".999238",".3022218"
"sp75_320_pp_c_4lag",".9994664",".2555789"
"sp75_324_pp_c_4lag",".9989921",".5002072"
"sp75_337_pp_c_4lag","1.000075",".914046"
"sp75_340_pp_c_4lag","1.000223",".5181893"
"sp75_341_pp_c_4lag",".9916457",".5987668"
"sp75_342_pp_c_4lag",".9998927",".5096059"
"sp75_344_pp_c_4lag",".9985352",".6242222"
"sp75_352_pp_c_4lag",".9987578",".415527"
"sp75_382_pp_c_4lag","1.000572",".7550823"
"sp75_503_pp_c_4lag","1.00006",".4937957"
"sp75_504_pp_c_4lag",".9997823",".9094819"
"sp75_505_pp_c_4lag","1.002705",".3377889"
"sp75_506_1_pp_c_4lag","1.006149",".0105418"
"sp75_506_pp_c_4lag",".9984723",".3722281"
"sp75_507_pp_c_4lag",".9990427",".3072643"
"sp75_511_1_pp_c_4lag",".9769531",".0000149"
"sp75_511_pp_c_4lag","1.000867",".4181627"
"sp75_512_1_pp_c_4lag",".9943519",".4728236"
"sp75_512_2_pp_c_4lag","1.000246",".4970332"
"sp75_512_pp_c_4lag",".9999693",".781007"
"sp75_513_1_pp_c_4lag",".9999158",".9829995"
"sp75_513_pp_c_4lag",".9990362",".5014663"
"sp75_514_pp_c_4lag","1.000037",".9236842"
"sp75_515_pp_c_4lag",".9990684",".0007079"
"sp75_516_1_pp_c_4lag",".9921426",".1116814"
"sp75_516_2_pp_c_4lag","1.000982",".1901726"
"sp75_516_pp_c_4lag",".9998041",".6358602"
"sp75_517_1_pp_c_4lag","1.005714",".0926658"
"sp75_517_pp_c_4lag",".9999654",".680206"
"sp75_518_1_pp_c_4lag",".9995906",".4192643"
"sp75_518_pp_c_4lag","1.0002",".6037076"
"sp75_519_pp_c_4lag","1.012363",".3038698"
"sp75_520_pp_c_4lag","1.000936",".2733666"
"sp75_523_1_pp_c_4lag",".9985832",".0612249"
"sp75_523_2_pp_c_4lag","1.000381",".5787669"
"sp75_523_pp_c_4lag",".9987948",".113264"
"sp75_600_1_pp_c_4lag",".9926735",".0582842"
"sp75_600_pp_c_4lag","1.004505",".6865707"
"sp75_601_1_pp_c_4lag",".9997647",".4915563"
"sp75_601_2_pp_c_4lag",".9958713",".3785785"
"sp75_601_3_pp_c_4lag","1.002223",".6922101"
"sp75_601_pp_c_4lag",".9999372",".8828039"
"sp75_602_pp_c_4lag","1.001256",".2657654"
