"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_ss_c_lag_all","1.010161",".9892192"
"sp47_44_ss_c_lag_all","1.272302",".7728192"
"sp48_11_ss_c_lag_all","1.278905",".0926154"
"sp48_25_ss_c_lag_all",".8441434",".1732953"
"sp48_26_ss_c_lag_all","1.365623",".0567695"
"sp48_27_ss_c_lag_all","1.033962",".7909195"
"sp48_28_ss_c_lag_all",".908464",".5583978"
"sp48_4_ss_c_lag_all","1","."
"sp48_5_ss_c_lag_all",".9762467",".8562571"
"sp48_6_ss_c_lag_all","1.094165",".4214891"
"sp48_7_ss_c_lag_all","1.08178",".5393632"
"sp48_8_ss_c_lag_all",".7467749",".2296393"
"sp71_701_ss_c_lag_all","1","."
"sp72_503_ss_c_lag_all",".6173822",".02073"
"sp72_610_ss_c_lag_all","1.041859",".9490775"
"sp72_620_ss_c_lag_all","1.779639",".3044785"
"sp72_630_ss_c_lag_all",".9788808",".1266118"
"sp75_100_ss_c_lag_all",".7137945",".4443785"
"sp75_1001_1_ss_c_lag_all","2.961589",".4200745"
"sp75_1001_ss_c_lag_all",".3492686",".3603938"
"sp75_1003_1_ss_c_lag_all","2.3969",".0530347"
"sp75_1100_2_ss_c_lag_all","1.014914",".5049931"
"sp75_1101_20_ss_c_lag_all","1","."
"sp75_1102_ss_c_lag_all",".8489286",".0433082"
"sp75_1103_4_ss_c_lag_all",".9793408",".695198"
"sp75_1104_ss_c_lag_all","1.106141",".5517369"
"sp75_1106_2_ss_c_lag_all","1.067364",".4875912"
"sp75_1106_3_ss_c_lag_all","1.009616",".8015084"
"sp75_1106_4_ss_c_lag_all","1.195151",".4353237"
"sp75_1106_5_ss_c_lag_all",".919102",".4047745"
"sp75_1106_6_ss_c_lag_all",".9266052",".8685289"
"sp75_1106_ss_c_lag_all","1.304676",".2893545"
"sp75_1107_14_ss_c_lag_all","9.01e-06","0"
"sp75_1400_1_ss_c_lag_all",".6081869",".2610404"
"sp75_1400_2_ss_c_lag_all","4.89e-07","0"
"sp75_1400_3_ss_c_lag_all",".7714632",".214691"
"sp75_1400_4_ss_c_lag_all",".5428549",".4405934"
"sp75_1400_ss_c_lag_all",".9176647",".4228689"
"sp75_1401_ss_c_lag_all","3.828213",".0351926"
"sp75_1403_10_ss_c_lag_all","1.014125",".7230077"
"sp75_1403_11_ss_c_lag_all","1603.086",".0003867"
"sp75_1403_3_ss_c_lag_all","1.42e-06","2.22e-16"
"sp75_1403_4_ss_c_lag_all","31.32036",".000022"
"sp75_1403_5_ss_c_lag_all",".9869456",".3567271"
"sp75_1403_6_ss_c_lag_all",".9748276",".1821606"
"sp75_1403_7_ss_c_lag_all","1.048031",".5394037"
"sp75_1403_8_ss_c_lag_all",".9641356",".2287571"
"sp75_1403_9_ss_c_lag_all","1.013988",".9586299"
"sp75_1404_1_ss_c_lag_all",".4299632",".0198305"
"sp75_1404_ss_c_lag_all","1.594208",".3935251"
"sp75_1405_1_ss_c_lag_all","1.944689",".5718923"
"sp75_1405_ss_c_lag_all","1.002393",".9427466"
"sp75_1431_ss_c_lag_all",".7823155",".7456579"
"sp75_1432_ss_c_lag_all","1","."
"sp75_1433_ss_c_lag_all","1.006043",".9856722"
"sp75_1434_ss_c_lag_all",".9443428",".7985116"
"sp75_1435_ss_c_lag_all",".2574448",".1619765"
"sp75_1437_ss_c_lag_all",".7760289",".8097038"
"sp75_150_ss_c_lag_all","11.97617","1.04e-07"
"sp75_151_ss_c_lag_all",".3013063",".0310101"
"sp75_153_ss_c_lag_all",".3531345",".5102795"
"sp75_155_ss_c_lag_all",".0419931",".0001942"
"sp75_156_ss_c_lag_all",".2301654",".0051152"
"sp75_1600_2_ss_c_lag_all","1.071475",".6837634"
"sp75_1712_10_ss_c_lag_all","1.251685",".405551"
"sp75_1712_6_ss_c_lag_all","1562274","0"
"sp75_1720_ss_c_lag_all","1.001184",".9829704"
"sp75_1721_ss_c_lag_all",".718364",".1138141"
"sp75_1725_ss_c_lag_all","1.000988",".830392"
"sp75_1726_ss_c_lag_all","1.348152",".0117468"
"sp75_1727_ss_c_lag_all","1.204906",".469465"
"sp75_1728_ss_c_lag_all","2.012323","1.38e-06"
"sp75_1729_ss_c_lag_all",".8294946",".2899551"
"sp75_1730_ss_c_lag_all",".9684985",".9333668"
"sp75_1731_ss_c_lag_all","1.003221",".5402355"
"sp75_1903_ss_c_lag_all","2.410681",".0980544"
"sp75_1909_ss_c_lag_all","1.005158",".7915096"
"sp75_1910_ss_c_lag_all","1.023478",".5694734"
"sp75_1911_ss_c_lag_all",".8916489",".1305947"
"sp75_1912_ss_c_lag_all","1.18543",".6442667"
"sp75_1913_ss_c_lag_all",".9710963",".9356458"
"sp75_1914_ss_c_lag_all","1.002769",".8654588"
"sp75_1915_ss_c_lag_all","1.020184",".9586367"
"sp75_202_ss_c_lag_all","1.000006",".9978748"
"sp75_208_ss_c_lag_all",".9835175",".4744695"
"sp75_211_ss_c_lag_all","1.00112",".9681661"
"sp75_212_ss_c_lag_all",".9575374",".4005188"
"sp75_214_ss_c_lag_all",".9848428",".9300449"
"sp75_312_ss_c_lag_all","1.137063",".4434484"
"sp75_320_ss_c_lag_all",".7754756",".0012785"
"sp75_324_ss_c_lag_all",".9496697",".6135539"
"sp75_337_ss_c_lag_all","1.087303",".392741"
"sp75_340_ss_c_lag_all","1.014999",".599869"
"sp75_342_ss_c_lag_all","1.007855",".5140178"
"sp75_344_ss_c_lag_all","1.129729",".5264912"
"sp75_352_ss_c_lag_all",".8474861",".067651"
"sp75_382_ss_c_lag_all","1.988099",".0176208"
"sp75_503_ss_c_lag_all","1.000085",".9852901"
"sp75_504_ss_c_lag_all",".6447752",".0929269"
"sp75_505_ss_c_lag_all","1.75451",".1101166"
"sp75_506_1_ss_c_lag_all","1.505438",".0447296"
"sp75_506_ss_c_lag_all","1.26814",".412792"
"sp75_507_ss_c_lag_all","1.001842",".9848402"
"sp75_511_1_ss_c_lag_all","1.098358",".7972994"
"sp75_511_ss_c_lag_all","1.033716",".6516679"
"sp75_512_1_ss_c_lag_all",".3050665",".1279752"
"sp75_512_2_ss_c_lag_all","1.070276",".4450355"
"sp75_512_ss_c_lag_all",".9985314",".8891254"
"sp75_513_1_ss_c_lag_all",".7033434",".6787581"
"sp75_513_ss_c_lag_all","1.127578",".5342423"
"sp75_514_ss_c_lag_all",".9887296",".7626997"
"sp75_515_ss_c_lag_all",".9312394",".0565791"
"sp75_516_1_ss_c_lag_all",".7685149",".4596098"
"sp75_516_2_ss_c_lag_all",".1895414",".051688"
"sp75_516_ss_c_lag_all","1.003969",".9490404"
"sp75_517_1_ss_c_lag_all",".9324213",".8581856"
"sp75_517_ss_c_lag_all","1.00402",".263115"
"sp75_518_1_ss_c_lag_all",".8589409",".0419177"
"sp75_518_ss_c_lag_all","1.073168",".0497797"
"sp75_519_ss_c_lag_all","5.784965",".1038053"
"sp75_520_ss_c_lag_all",".9278259",".193546"
"sp75_523_1_ss_c_lag_all","1.049259",".2737307"
"sp75_523_2_ss_c_lag_all",".9873049",".6430307"
"sp75_523_ss_c_lag_all","1.020561",".5187481"
"sp75_600_1_ss_c_lag_all",".7300249",".2610736"
"sp75_600_ss_c_lag_all","1.144574",".7215887"
"sp75_601_1_ss_c_lag_all","1.017953",".5423495"
"sp75_601_2_ss_c_lag_all","1.029076",".875397"
"sp75_601_3_ss_c_lag_all","1.600796",".1792061"
