"","est1",""
"","b","p"
"dv","",""
"sp47_41_pp_c_lag_all","1.001271",".015624"
"sp47_42_pp_c_lag_all",".9967113",".0724767"
"sp47_44_pp_c_lag_all",".9988163",".1023773"
"sp48_11_pp_c_lag_all","1.000186",".7032149"
"sp48_24_pp_c_lag_all","1","."
"sp48_25_pp_c_lag_all","1.000105",".8994752"
"sp48_26_pp_c_lag_all","1.003878",".0042935"
"sp48_27_pp_c_lag_all","1.000701",".3790665"
"sp48_28_pp_c_lag_all",".9977901",".0371806"
"sp48_4_pp_c_lag_all","1","."
"sp48_5_pp_c_lag_all","1.000149",".9224407"
"sp48_6_pp_c_lag_all","1.000525",".2788897"
"sp48_7_pp_c_lag_all","1.001116",".0268643"
"sp48_8_pp_c_lag_all",".9995558",".6486202"
"sp71_701_pp_c_lag_all","1","."
"sp72_503_pp_c_lag_all",".9995841",".6041309"
"sp72_610_pp_c_lag_all",".9987245",".7497833"
"sp72_620_pp_c_lag_all","1.008924",".0030339"
"sp72_630_pp_c_lag_all",".9999941",".9460698"
"sp75_100_pp_c_lag_all","1.0016",".4589928"
"sp75_1001_1_pp_c_lag_all","1.001507",".6787564"
"sp75_1001_pp_c_lag_all","1.005157",".1934219"
"sp75_1003_1_pp_c_lag_all",".997845",".2008704"
"sp75_1100_2_pp_c_lag_all","1.000091",".2251235"
"sp75_1101_20_pp_c_lag_all","1.002997",".1904391"
"sp75_1102_pp_c_lag_all",".9998224",".8233987"
"sp75_1103_4_pp_c_lag_all",".9999786",".8781572"
"sp75_1104_pp_c_lag_all",".9989819",".0481163"
"sp75_1106_2_pp_c_lag_all","1.000196",".6103268"
"sp75_1106_3_pp_c_lag_all","1.000191",".1598781"
"sp75_1106_4_pp_c_lag_all","1.00054",".6609487"
"sp75_1106_5_pp_c_lag_all",".9992602",".1450545"
"sp75_1106_6_pp_c_lag_all","1.004451",".4934818"
"sp75_1106_pp_c_lag_all","1.001521",".1011507"
"sp75_1107_14_pp_c_lag_all","1.008217",".007965"
"sp75_1400_1_pp_c_lag_all",".9967194",".1397524"
"sp75_1400_2_pp_c_lag_all",".9968543",".3434228"
"sp75_1400_3_pp_c_lag_all",".999718",".5810255"
"sp75_1400_4_pp_c_lag_all",".9973719",".0519844"
"sp75_1400_pp_c_lag_all","1.000696",".238285"
"sp75_1401_1_pp_c_lag_all",".9996686",".9568949"
"sp75_1401_pp_c_lag_all","1.000246",".9364827"
"sp75_1403_10_pp_c_lag_all","1.000303",".0326453"
"sp75_1403_11_pp_c_lag_all",".9970684",".1305496"
"sp75_1403_3_pp_c_lag_all",".9922815",".0007462"
"sp75_1403_4_pp_c_lag_all","1.007213",".0881989"
"sp75_1403_5_pp_c_lag_all",".9999662",".6467235"
"sp75_1403_6_pp_c_lag_all",".9999616",".6090137"
"sp75_1403_7_pp_c_lag_all","1.000587",".1448836"
"sp75_1403_8_pp_c_lag_all",".9999603",".5796807"
"sp75_1403_9_pp_c_lag_all","1.000696",".244722"
"sp75_1404_1_pp_c_lag_all",".9851122","2.69e-06"
"sp75_1404_pp_c_lag_all",".9995864",".8584273"
"sp75_1405_1_pp_c_lag_all",".9958074",".0040619"
"sp75_1405_pp_c_lag_all",".9997808",".1979647"
"sp75_1431_pp_c_lag_all",".9868724",".2309596"
"sp75_1432_pp_c_lag_all","1.000978",".6312482"
"sp75_1433_pp_c_lag_all",".9992296",".4531768"
"sp75_1434_pp_c_lag_all",".9991294",".3869103"
"sp75_1435_pp_c_lag_all",".9992259",".836479"
"sp75_1437_pp_c_lag_all","1.004288",".3404343"
"sp75_150_pp_c_lag_all",".9997384",".9150575"
"sp75_151_pp_c_lag_all","1.001402",".6560472"
"sp75_153_pp_c_lag_all","1.008734",".0037769"
"sp75_156_pp_c_lag_all",".999524",".8793301"
"sp75_160_pp_c_lag_all",".9882274",".0729996"
"sp75_1600_2_pp_c_lag_all","1.000108",".65086"
"sp75_1712_10_pp_c_lag_all",".998809",".1085881"
"sp75_1712_6_pp_c_lag_all","1.000581",".3790448"
"sp75_1720_pp_c_lag_all",".9994331",".1670267"
"sp75_1721_pp_c_lag_all",".9906102",".000707"
"sp75_1725_pp_c_lag_all","1.000041",".1585396"
"sp75_1726_pp_c_lag_all","1.001956",".0156169"
"sp75_1727_pp_c_lag_all",".9983311",".5832507"
"sp75_1728_pp_c_lag_all","1.002034",".2655445"
"sp75_1729_pp_c_lag_all",".9956163",".0073088"
"sp75_1730_pp_c_lag_all","1.002548",".0412913"
"sp75_1731_pp_c_lag_all","1.000032",".0886427"
"sp75_1903_pp_c_lag_all","1.00117",".0160919"
"sp75_1909_pp_c_lag_all",".9999539",".4616403"
"sp75_1910_pp_c_lag_all","1.00022",".0315554"
"sp75_1911_pp_c_lag_all",".9998188",".1803399"
"sp75_1912_pp_c_lag_all","1.002346",".0368123"
"sp75_1913_pp_c_lag_all","1.000269",".8453048"
"sp75_1914_pp_c_lag_all",".9998695",".0489318"
"sp75_1915_pp_c_lag_all","1.001352",".1687165"
"sp75_202_pp_c_lag_all",".9999848",".2299044"
"sp75_208_pp_c_lag_all","1.000015",".925396"
"sp75_211_pp_c_lag_all","1.000088",".6295241"
"sp75_212_pp_c_lag_all","1.000067",".8525712"
"sp75_214_pp_c_lag_all",".9998794",".753825"
"sp75_312_pp_c_lag_all",".9998026",".5021622"
"sp75_320_pp_c_lag_all",".9997463",".1825614"
"sp75_324_pp_c_lag_all",".9986704",".0601829"
"sp75_337_pp_c_lag_all","1.000052",".8595235"
"sp75_340_pp_c_lag_all",".9999674",".7482056"
"sp75_341_pp_c_lag_all",".9996617",".9477664"
"sp75_342_pp_c_lag_all",".999948",".3622101"
"sp75_344_pp_c_lag_all","1.000518",".4672465"
"sp75_352_pp_c_lag_all",".9997615",".6812152"
"sp75_382_pp_c_lag_all",".9993845",".2543215"
"sp75_503_pp_c_lag_all","1.000003",".9023764"
"sp75_504_pp_c_lag_all","1.002948",".0454494"
"sp75_505_pp_c_lag_all","1.003017",".055286"
"sp75_506_1_pp_c_lag_all","1.002465",".0498776"
"sp75_506_pp_c_lag_all",".9976727",".0086103"
"sp75_507_pp_c_lag_all",".9997121",".4416539"
"sp75_511_1_pp_c_lag_all","1.00072",".9192493"
"sp75_511_pp_c_lag_all","1.000394",".5369801"
"sp75_512_1_pp_c_lag_all","1.005399",".1477198"
"sp75_512_2_pp_c_lag_all","1.00005",".7993798"
"sp75_512_pp_c_lag_all","1.000004",".9388669"
"sp75_513_1_pp_c_lag_all","1.002814",".0895451"
"sp75_513_pp_c_lag_all",".9990785",".2207088"
"sp75_514_pp_c_lag_all","1.000149",".2558538"
"sp75_515_pp_c_lag_all",".9997441",".0147842"
"sp75_516_1_pp_c_lag_all",".9993354",".8152371"
"sp75_516_2_pp_c_lag_all",".9994114",".0794007"
"sp75_516_pp_c_lag_all",".9999078",".6145943"
"sp75_517_1_pp_c_lag_all",".9989077",".5891419"
"sp75_517_pp_c_lag_all","1.000002",".9391265"
"sp75_518_1_pp_c_lag_all",".9997077",".3561582"
"sp75_518_pp_c_lag_all",".9999782",".9028027"
"sp75_519_pp_c_lag_all",".9859288",".0009461"
"sp75_520_pp_c_lag_all",".9997153",".3647825"
"sp75_523_1_pp_c_lag_all",".9993529",".1329552"
"sp75_523_2_pp_c_lag_all",".9993067",".0154778"
"sp75_523_pp_c_lag_all","1.000057",".8909213"
"sp75_600_1_pp_c_lag_all",".9994634",".7949579"
"sp75_600_pp_c_lag_all","1.001116",".7148226"
"sp75_601_1_pp_c_lag_all",".9999062",".522583"
"sp75_601_2_pp_c_lag_all","1.000913",".6765289"
"sp75_601_3_pp_c_lag_all",".9994514",".7673374"
"sp75_601_pp_c_lag_all","1.000034",".8606207"
"sp75_602_pp_c_lag_all",".9997125",".5507755"
"sp75_603_pp_c_lag_all",".9996522",".5093024"
"sp75_604_pp_c_lag_all",".999967",".4906555"
"sp75_605_pp_c_lag_all",".9998123",".4232715"
"sp75_606_pp_c_lag_all","1.000047",".5298582"
"sp75_607_pp_c_lag_all",".9989386",".1247115"
"sp75_700_1_pp_c_lag_all",".9967721",".1026866"
"sp75_700_pp_c_lag_all",".9998011",".7497609"
"sp75_701_1_pp_c_lag_all","1.000303",".6424489"
"sp75_701_2_pp_c_lag_all",".9995672",".6631213"
"sp75_701_3_pp_c_lag_all","1.000567",".4475961"
"sp75_701_4_pp_c_lag_all","1.003133",".2463181"
"sp75_701_pp_c_lag_all","1.00006",".6860979"
"sp75_702_1_pp_c_lag_all",".9878616",".0006345"
"sp75_702_pp_c_lag_all","1.004791",".2233726"
