"","est1",""
"","b","p"
"dv","",""
"sp47_41_ss_1lag",".4597224","1.53e-06"
"sp47_44_ss_1lag","1.048408",".7145042"
"sp48_11_ss_1lag",".9949211",".9562243"
"sp48_25_ss_1lag","1.034052",".8000608"
"sp48_26_ss_1lag","1.147131",".4225735"
"sp48_27_ss_1lag","1.182874",".2569115"
"sp48_28_ss_1lag",".9786419",".8654287"
"sp48_4_ss_1lag","1.40e-09","0"
"sp48_5_ss_1lag",".852818",".4308127"
"sp48_6_ss_1lag",".9432364",".6925967"
"sp48_7_ss_1lag","1.084904",".3210176"
"sp48_8_ss_1lag","1.063901",".7441498"
"sp71_701_ss_1lag","8.566352","0"
"sp72_503_ss_1lag",".803612",".4018317"
"sp72_610_ss_1lag","2.98e-10","0"
"sp72_620_ss_1lag",".9818689",".9529986"
"sp72_630_ss_1lag","1.055516",".0046182"
"sp75_100_ss_1lag",".955153",".9053769"
"sp75_1001_1_ss_1lag","1.343399",".7139082"
"sp75_1001_ss_1lag","1.000095",".9998582"
"sp75_1003_1_ss_1lag",".5473916",".0063969"
"sp75_1100_2_ss_1lag","1.015714",".6369445"
"sp75_1101_20_ss_1lag","9.69e-10","0"
"sp75_1102_ss_1lag",".9230568",".4687234"
"sp75_1103_4_ss_1lag","1.037887",".5794148"
"sp75_1104_ss_1lag","1.15819",".3921568"
"sp75_1106_2_ss_1lag","1.08913",".2867"
"sp75_1106_3_ss_1lag","1.113099",".0044563"
"sp75_1106_4_ss_1lag",".8223684",".2977774"
"sp75_1106_5_ss_1lag","1.03933",".6779159"
"sp75_1106_6_ss_1lag","3.198776",".5534033"
"sp75_1106_ss_1lag",".9891898",".9386881"
"sp75_1107_14_ss_1lag","2.892507","4.30e-10"
"sp75_1400_1_ss_1lag","1.180086",".6607474"
"sp75_1400_2_ss_1lag","1.11994",".5938859"
"sp75_1400_3_ss_1lag","1.068141",".6403032"
"sp75_1400_4_ss_1lag","1.163682",".3608641"
"sp75_1400_ss_1lag","1.067142",".4571317"
"sp75_1401_ss_1lag","1.426413",".2199768"
"sp75_1403_10_ss_1lag","1.033215",".2670068"
"sp75_1403_11_ss_1lag","1.819273",".0038013"
"sp75_1403_3_ss_1lag",".8984363",".8547777"
"sp75_1403_4_ss_1lag",".9449541",".8564895"
"sp75_1403_5_ss_1lag",".967284",".2090129"
"sp75_1403_6_ss_1lag",".9628182",".0768539"
"sp75_1403_7_ss_1lag","1.039214",".6711275"
"sp75_1403_8_ss_1lag",".9764468",".2193421"
"sp75_1403_9_ss_1lag",".6697328",".0006632"
"sp75_1404_1_ss_1lag","9.51e-10","0"
"sp75_1404_ss_1lag",".7054403",".7374932"
"sp75_1405_1_ss_1lag","1.070626",".7935826"
"sp75_1405_ss_1lag",".9511225",".0378831"
"sp75_1431_ss_1lag","2.91e-10","0"
"sp75_1432_ss_1lag","1.02e-08","0"
"sp75_1433_ss_1lag",".9590803",".8732528"
"sp75_1434_ss_1lag","1.122864",".4920901"
"sp75_1435_ss_1lag",".827248",".5223563"
"sp75_1437_ss_1lag","1.060066",".8444856"
"sp75_150_ss_1lag","2.505336",".1544146"
"sp75_151_ss_1lag","1.031795",".9651753"
"sp75_153_ss_1lag","4.2221",".0111954"
"sp75_155_ss_1lag",".7895873",".1306021"
"sp75_156_ss_1lag","1.26e-09","0"
"sp75_1600_2_ss_1lag",".9268316",".7272724"
"sp75_1712_10_ss_1lag","1.581263",".0912719"
"sp75_1712_6_ss_1lag","1.527497",".504286"
"sp75_1720_ss_1lag",".9453108",".3818931"
"sp75_1721_ss_1lag","1.45e-08","0"
"sp75_1725_ss_1lag",".996449",".6272924"
"sp75_1726_ss_1lag","1.108275",".4978691"
"sp75_1727_ss_1lag","1.59e-09","0"
"sp75_1728_ss_1lag","2.032678",".023718"
"sp75_1729_ss_1lag","1.122838",".4931184"
"sp75_1730_ss_1lag",".6764352",".2228665"
"sp75_1731_ss_1lag","1.021758",".0451231"
"sp75_1903_ss_1lag",".8702024",".5667207"
"sp75_1909_ss_1lag","1.01552",".6099249"
"sp75_1910_ss_1lag","1.000559",".9917621"
"sp75_1911_ss_1lag",".9026742",".0626578"
"sp75_1912_ss_1lag","2.021025",".0146054"
"sp75_1913_ss_1lag","1.115483",".5589644"
"sp75_1914_ss_1lag","1.016806",".4545094"
"sp75_1915_ss_1lag","1.484681",".0234811"
"sp75_202_ss_1lag","1.001617",".791541"
"sp75_208_ss_1lag","1.010618",".7203797"
"sp75_211_ss_1lag","1.043868",".1949551"
"sp75_212_ss_1lag",".9225122",".3626583"
"sp75_214_ss_1lag",".6710314",".0398966"
"sp75_312_ss_1lag",".9965773",".9871528"
"sp75_320_ss_1lag",".9791404",".7924078"
"sp75_324_ss_1lag",".9156575",".4271103"
"sp75_337_ss_1lag",".9483334",".539799"
"sp75_340_ss_1lag","1.037918",".1158432"
"sp75_342_ss_1lag","1.00191",".9214189"
"sp75_344_ss_1lag","1.143172",".4052589"
"sp75_352_ss_1lag",".9957164",".9559074"
"sp75_382_ss_1lag",".986416",".8808176"
"sp75_503_ss_1lag",".9838871",".0963257"
"sp75_504_ss_1lag",".8292803",".6828575"
"sp75_505_ss_1lag",".9125321",".803734"
"sp75_506_1_ss_1lag",".8342972",".7046292"
"sp75_506_ss_1lag","1.162932",".5920561"
"sp75_507_ss_1lag","1.148574",".1462164"
"sp75_511_1_ss_1lag","7.04e-10","0"
"sp75_511_ss_1lag","1.098422",".1787716"
"sp75_512_1_ss_1lag","3.060113","1.33e-06"
"sp75_512_2_ss_1lag","1.138392",".0505351"
"sp75_512_ss_1lag","1.013255",".2036793"
"sp75_513_1_ss_1lag","1.865361",".0738649"
"sp75_513_ss_1lag","1.000204",".9985794"
"sp75_514_ss_1lag",".9585208",".3520642"
"sp75_515_ss_1lag",".9509005",".1696948"
"sp75_516_1_ss_1lag",".6967809",".104758"
"sp75_516_2_ss_1lag",".515543",".3112798"
"sp75_516_ss_1lag","1.138717",".0185838"
"sp75_517_1_ss_1lag",".8074142",".3847186"
"sp75_517_ss_1lag",".9920629",".3722293"
"sp75_518_1_ss_1lag",".7356646",".0144688"
"sp75_518_ss_1lag","1.092827",".0322527"
"sp75_519_ss_1lag",".471071",".3698611"
"sp75_520_ss_1lag",".9139378",".1649377"
"sp75_523_1_ss_1lag",".9791687",".746008"
"sp75_523_2_ss_1lag","1.079534",".148472"
"sp75_523_ss_1lag",".86977",".0163455"
"sp75_600_1_ss_1lag","3.15e-08","0"
"sp75_600_ss_1lag","1.667148",".0251547"
"sp75_601_1_ss_1lag","1.058957",".0968799"
"sp75_601_2_ss_1lag","4.37e-09","0"
"sp75_601_3_ss_1lag","1.118845",".74741"
"sp75_601_ss_1lag",".9794196",".6844169"
"sp75_602_ss_1lag","1.103807",".1546487"
"sp75_603_ss_1lag",".9990985",".9930006"
"sp75_604_ss_1lag","1.048308",".0000673"
"sp75_605_ss_1lag","1.008802",".8626793"
"sp75_606_ss_1lag",".998469",".9519129"
"sp75_607_ss_1lag","1.05305",".6789151"
"sp75_700_1_ss_1lag",".7015207",".4985439"
"sp75_700_ss_1lag",".7903029",".0317363"
"sp75_701_1_ss_1lag",".9141796",".4165809"
"sp75_701_2_ss_1lag","1.074958",".6271049"
"sp75_701_3_ss_1lag","1.063835",".6060522"
"sp75_701_4_ss_1lag","2.634785",".4003121"
"sp75_701_5_ss_1lag",".901391",".1738544"
"sp75_701_ss_1lag","1.034904",".3749052"
"sp75_703_2_ss_1lag",".6249487",".1116282"
"sp75_703_3_ss_1lag","1.244189",".177508"
"sp75_703_ss_1lag","1.01899",".8148161"
"sp75_704_ss_1lag","2.258612",".1515202"
"sp75_705_1_ss_1lag",".6512469",".1855153"
"sp75_705_8_ss_1lag","4.88e-09","0"
"sp75_705_ss_1lag",".8093421",".5787646"
"sp75_706_ss_1lag","1.134987",".5484671"
"sp75_800_2_ss_1lag","5.55e-09","0"
"sp75_800_3_ss_1lag","1.148454",".8091331"
"sp75_800_4_ss_1lag","4.55e-09","0"
"sp75_800_ss_1lag",".8832792",".4742942"
"sp75_801_ss_1lag",".9948472",".9896515"
"sp75_802_ss_1lag",".687781",".3012267"
"sp75_803_2_ss_1lag","7.31e-10","0"
"sp75_803_ss_1lag","1.086413",".464601"
"sp75_804_ss_1lag","1.203885",".0972718"
"sp75_805_ss_1lag",".6255625",".1650344"
"sp75_806_ss_1lag","2.065222",".0028637"
"sp75_807_ss_1lag","1.051733",".1448993"
"sp75_808_ss_1lag","1.397677",".1328116"
"sp75_809_ss_1lag","1.146717",".0903995"
"sp75_810_ss_1lag",".9311654",".7868359"
