"","est1",""
"","b","p"
"dv_indicator","",""
"sp47_41_pp",".9921722",".0062063"
"sp47_42_pp",".9907981",".4133202"
"sp47_44_pp","1.004126",".5029097"
"sp48_11_pp","1.008618",".0968723"
"sp48_24_pp","1","."
"sp48_25_pp",".9979252",".7510276"
"sp48_26_pp","1.002819",".3361264"
"sp48_27_pp","1.007001",".1198915"
"sp48_28_pp",".9948594",".3562212"
"sp48_4_pp","1","."
"sp48_5_pp","1.000963",".8696303"
"sp48_6_pp",".9968869",".3143931"
"sp48_7_pp","1.001811",".5659494"
"sp48_8_pp",".9961289",".3621077"
"sp71_701_pp","1","."
"sp72_503_pp",".9897482",".0414938"
"sp72_610_pp","1","."
"sp72_620_pp","1","."
"sp72_630_pp","1.000443",".3890784"
"sp75_100_pp",".9989929",".9112436"
"sp75_1001_1_pp","1","."
"sp75_1001_pp",".9527207",".0552517"
"sp75_1003_1_pp","1","."
"sp75_1100_2_pp",".9995358",".4157234"
"sp75_1101_20_pp","1.016469",".1313782"
"sp75_1102_pp","1.000706",".7700499"
"sp75_1103_4_pp","1.00065",".3966317"
"sp75_1104_pp",".9985888",".6734112"
"sp75_1106_2_pp",".9985121",".6753288"
"sp75_1106_3_pp","1.000581",".6656779"
"sp75_1106_4_pp",".9928417",".3204029"
"sp75_1106_5_pp","1.00558",".0578832"
"sp75_1106_6_pp","1","."
"sp75_1106_pp",".997481",".7542366"
"sp75_1107_14_pp",".9874946",".5873367"
"sp75_1400_1_pp","1","."
"sp75_1400_2_pp",".983767",".2548736"
"sp75_1400_3_pp",".9985938",".7505138"
"sp75_1400_4_pp","1.002444",".8813924"
"sp75_1400_pp","1.016048",".0952727"
"sp75_1401_1_pp","1","."
"sp75_1401_pp","1.006896",".5762486"
"sp75_1403_10_pp","1.004205",".021105"
"sp75_1403_11_pp","1","."
"sp75_1403_3_pp","1","."
"sp75_1403_4_pp","1","."
"sp75_1403_5_pp",".9993526",".7009762"
"sp75_1403_6_pp",".9995213",".6740228"
"sp75_1403_7_pp","1.000837",".8826478"
"sp75_1403_8_pp",".9978451",".4840684"
"sp75_1403_9_pp","1","."
"sp75_1404_1_pp","1.026851",".0976745"
"sp75_1404_pp","1.001723",".9171396"
"sp75_1405_1_pp","1","."
"sp75_1405_pp","1.001422",".5200339"
"sp75_1431_pp","1","."
"sp75_1432_pp","1.011466",".2429344"
"sp75_1433_pp",".9960433",".6035371"
"sp75_1434_pp",".9971325",".8377214"
"sp75_1435_pp",".9816282",".2913337"
"sp75_1437_pp","1","."
"sp75_150_pp","1","."
"sp75_151_pp",".965933",".0305149"
"sp75_153_pp","1.019339",".2715063"
"sp75_156_pp","1","."
"sp75_160_pp","1.022995",".1845969"
"sp75_1600_2_pp",".9987133",".4166639"
"sp75_1712_10_pp",".988763",".1181703"
"sp75_1712_6_pp",".9992714",".8431467"
"sp75_1720_pp","1.000097",".958289"
"sp75_1721_pp","1.005663",".4443849"
"sp75_1725_pp","1.000535",".0718593"
"sp75_1726_pp","1.004637",".5179712"
"sp75_1727_pp","1","."
"sp75_1728_pp","1","."
"sp75_1729_pp","1","."
"sp75_1730_pp","1.00395",".6474571"
"sp75_1731_pp",".99942",".002216"
"sp75_1903_pp","1.007702",".6385306"
"sp75_1909_pp","1.000422",".4906589"
"sp75_1910_pp",".9999497",".9713929"
"sp75_1911_pp",".999365",".5685858"
"sp75_1912_pp",".9947858",".5029783"
"sp75_1913_pp","1.005879",".310769"
"sp75_1914_pp","1.00115",".1633788"
"sp75_1915_pp","1.009121",".2206148"
"sp75_202_pp","1.000472",".0021673"
"sp75_208_pp",".9997706",".8158586"
"sp75_211_pp",".9989571",".2795704"
"sp75_212_pp",".9999318",".9836114"
"sp75_214_pp",".999714",".8948037"
"sp75_312_pp",".9990979",".5387653"
"sp75_320_pp",".9981025",".0636336"
"sp75_324_pp",".99927",".8743151"
"sp75_337_pp",".9978468",".2309353"
"sp75_340_pp",".9981454",".0276337"
"sp75_341_pp",".9411773",".2177831"
"sp75_342_pp",".9999825",".9684826"
"sp75_344_pp",".9850238",".0126536"
"sp75_352_pp","1.002375",".7007241"
"sp75_382_pp","1.009287",".2614507"
"sp75_503_pp","1.000195",".3482534"
"sp75_504_pp",".9963509",".4352209"
"sp75_505_pp","1.01216",".1458049"
"sp75_506_1_pp","1.012935",".0906844"
"sp75_506_pp","1.002034",".6640102"
"sp75_507_pp","1.001687",".5418622"
"sp75_511_1_pp","1","."
"sp75_511_pp",".9966871",".1697685"
"sp75_512_1_pp","1","."
"sp75_512_2_pp","1.003012",".0215545"
"sp75_512_pp",".9999143",".7198969"
"sp75_513_1_pp","1.020774",".1589739"
"sp75_513_pp","1.000539",".8872985"
"sp75_514_pp","1.000343",".7604142"
"sp75_515_pp",".9989363",".1160748"
"sp75_516_1_pp",".9992565",".9515638"
"sp75_516_2_pp","1.002037",".3280553"
"sp75_516_pp",".998115",".0747615"
"sp75_517_1_pp","1.030765",".0343681"
"sp75_517_pp",".9995462",".0515781"
"sp75_518_1_pp","1.000506",".7462038"
"sp75_518_pp","1.001047",".3070905"
"sp75_519_pp","1","."
"sp75_520_pp",".9976183",".2466807"
"sp75_523_1_pp","1.002591",".0940548"
"sp75_523_2_pp","1.003052",".0212711"
"sp75_523_pp",".996599",".0309466"
"sp75_600_1_pp","1.036823",".1263288"
"sp75_600_pp",".9998278",".992579"
"sp75_601_1_pp",".9990238",".2311708"
"sp75_601_2_pp","1.009685",".5445006"
"sp75_601_3_pp","1.005362",".696046"
"sp75_601_pp",".9995068",".6246332"
"sp75_602_pp","1.000449",".848014"
"sp75_603_pp","1.012735",".0102585"
"sp75_604_pp","1.000817",".0696472"
"sp75_605_pp",".9989189",".3540871"
"sp75_606_pp","1.000443",".5274462"
"sp75_607_pp",".9991077",".6835457"
"sp75_700_1_pp",".999262",".9375778"
"sp75_700_pp",".9985823",".7270437"
"sp75_701_1_pp",".9993039",".8734412"
"sp75_701_2_pp","1.004242",".410439"
"sp75_701_3_pp","1.006769",".4585953"
"sp75_701_4_pp","1.002663",".8284388"
"sp75_701_5_pp",".9986222",".878447"
"sp75_701_pp","1.00158",".0889806"
"sp75_702_1_pp","1","."
"sp75_702_pp",".9896735",".559414"
"sp75_703_1_pp","1","."
"sp75_703_2_pp","1.027797",".1518582"
"sp75_703_3_pp","1.002157",".4119415"
"sp75_703_4_pp","1","."
"sp75_703_pp","1.005679",".0061621"
"sp75_704_pp","1.0106",".1757006"
"sp75_705_1_pp","1.029067",".1723373"
"sp75_705_3_pp","1","."
"sp75_705_8_pp",".9905049",".2179001"
"sp75_705_pp","1.017999",".1461825"
"sp75_706_pp",".9995032",".8959173"
"sp75_800_2_pp","1","."
"sp75_800_3_pp","1.013131",".0756727"
"sp75_800_4_pp",".9929675",".1744413"
"sp75_800_pp",".9949369",".370117"
"sp75_801_pp","1.002659",".83365"
"sp75_802_pp",".9889848",".1488002"
"sp75_803_2_pp","1","."
"sp75_803_pp",".9975552",".5526836"
"sp75_804_pp",".999102",".8510149"
"sp75_805_pp","1.008459",".2711512"
"sp75_806_pp",".9893775",".6231279"
"sp75_807_pp","1.000044",".9499776"
"sp75_808_pp","1.00716",".1383875"
"sp75_809_pp","1.002133",".3448259"
"sp75_810_pp",".9985521",".5749877"
"sp75_811_pp",".9999735",".9932321"
"sp75_812_pp",".9715411",".0007184"
"sp75_814_pp","1","."
"sp75_815_pp","1.006706",".6190439"
"sp75_816_pp","1.002424",".2329566"
