"","est1",""
"","b","p"
"dv","",""
"sp47_41_pp_c_4lag",".9996287",".1477456"
"sp47_42_pp_c_4lag",".9991659",".3071938"
"sp47_44_pp_c_4lag","1.000059",".8941356"
"sp48_11_pp_c_4lag","1.000374",".1508366"
"sp48_24_pp_c_4lag",".9814684","0"
"sp48_25_pp_c_4lag",".999674",".415508"
"sp48_26_pp_c_4lag","1.00106",".0015008"
"sp48_27_pp_c_4lag","1.000052",".8449371"
"sp48_28_pp_c_4lag",".9995733",".3603546"
"sp48_4_pp_c_4lag","1.004743","2.39e-12"
"sp48_5_pp_c_4lag",".9999623",".9533563"
"sp48_6_pp_c_4lag","1.000053",".8425194"
"sp48_7_pp_c_4lag","1.000132",".5197105"
"sp48_8_pp_c_4lag","1.000172",".643389"
"sp71_701_pp_c_4lag","1.001871",".2503224"
"sp72_503_pp_c_4lag",".9996419",".170828"
"sp72_610_pp_c_4lag","1.000217",".8897406"
"sp72_620_pp_c_4lag","1.002585",".0138768"
"sp72_630_pp_c_4lag","1.000043",".1910266"
"sp75_100_pp_c_4lag","1.000003",".995389"
"sp75_1001_1_pp_c_4lag","1.000261",".7718742"
"sp75_1001_pp_c_4lag","1.000323",".8546008"
"sp75_1003_1_pp_c_4lag",".9975865",".0370045"
"sp75_1100_2_pp_c_4lag","1.000049",".1292329"
"sp75_1101_20_pp_c_4lag",".9987046",".1601264"
"sp75_1102_pp_c_4lag",".9996687",".2159483"
"sp75_1103_4_pp_c_4lag","1.00005",".3474164"
"sp75_1104_pp_c_4lag",".9999548",".7871199"
"sp75_1106_2_pp_c_4lag",".999947",".7608988"
"sp75_1106_3_pp_c_4lag","1.000076",".2090651"
"sp75_1106_4_pp_c_4lag","1.000144",".8114015"
"sp75_1106_5_pp_c_4lag",".9998711",".5785856"
"sp75_1106_6_pp_c_4lag",".9978542",".0836102"
"sp75_1106_pp_c_4lag","1.000641",".2670603"
"sp75_1107_14_pp_c_4lag","1.000214",".8761974"
"sp75_1400_1_pp_c_4lag",".9997604",".7329483"
"sp75_1400_2_pp_c_4lag","1.000171",".8814145"
"sp75_1400_3_pp_c_4lag","1.000054",".8055716"
"sp75_1400_4_pp_c_4lag",".9998279",".7898457"
"sp75_1400_pp_c_4lag",".9999636",".869961"
"sp75_1401_1_pp_c_4lag",".998908",".7927005"
"sp75_1401_pp_c_4lag","1.000685",".4952406"
"sp75_1403_10_pp_c_4lag","1.000089",".2255859"
"sp75_1403_11_pp_c_4lag","1.000057",".9582788"
"sp75_1403_3_pp_c_4lag",".9973059",".1311869"
"sp75_1403_4_pp_c_4lag","1.001766",".154877"
"sp75_1403_5_pp_c_4lag",".9999338",".1591159"
"sp75_1403_6_pp_c_4lag","1.000013",".7250811"
"sp75_1403_7_pp_c_4lag",".9999704",".8745677"
"sp75_1403_8_pp_c_4lag",".9999775",".6529922"
"sp75_1403_9_pp_c_4lag",".9998513",".4185676"
"sp75_1404_1_pp_c_4lag",".9950631",".013303"
"sp75_1404_pp_c_4lag",".9987806",".444633"
"sp75_1405_1_pp_c_4lag","1.001675",".2059086"
"sp75_1405_pp_c_4lag","1.000051",".5262297"
"sp75_1431_pp_c_4lag",".9979654",".0864222"
"sp75_1432_pp_c_4lag",".999163",".2166655"
"sp75_1433_pp_c_4lag","1.000003",".9943329"
"sp75_1434_pp_c_4lag",".9998234",".6710025"
"sp75_1435_pp_c_4lag","1.000228",".8599954"
"sp75_1437_pp_c_4lag","1.000885",".3659311"
"sp75_150_pp_c_4lag","1.00176",".016007"
"sp75_151_pp_c_4lag","1.000443",".7346493"
"sp75_153_pp_c_4lag","1.00096",".1003506"
"sp75_156_pp_c_4lag","1.000902",".3913413"
"sp75_160_pp_c_4lag","1.0009",".564197"
"sp75_1600_2_pp_c_4lag",".9998548",".1740685"
"sp75_1712_10_pp_c_4lag",".9994115",".1711136"
"sp75_1712_6_pp_c_4lag","1.000018",".9330618"
"sp75_1720_pp_c_4lag","1.000127",".4042028"
"sp75_1721_pp_c_4lag","1.002673",".4542285"
"sp75_1725_pp_c_4lag","1.000008",".6241302"
"sp75_1726_pp_c_4lag","1.000543",".2625349"
"sp75_1727_pp_c_4lag",".9974085",".6305009"
"sp75_1728_pp_c_4lag","1.000252",".8833886"
"sp75_1729_pp_c_4lag","1.000293",".5915155"
"sp75_1730_pp_c_4lag","1.000635",".2252438"
"sp75_1731_pp_c_4lag",".9999923",".4862997"
"sp75_1903_pp_c_4lag","1.000236",".197358"
"sp75_1909_pp_c_4lag",".9999903",".7310571"
"sp75_1910_pp_c_4lag",".9999832",".7399744"
"sp75_1911_pp_c_4lag",".9999675",".5813132"
"sp75_1912_pp_c_4lag",".9998697",".8100154"
"sp75_1913_pp_c_4lag","1.000583",".2188589"
"sp75_1914_pp_c_4lag","1.000063",".1054139"
"sp75_1915_pp_c_4lag","1.000844",".1446503"
"sp75_202_pp_c_4lag",".999995",".5704862"
"sp75_208_pp_c_4lag","1.000078",".2971551"
"sp75_211_pp_c_4lag","1.00001",".8760771"
"sp75_212_pp_c_4lag",".9998173",".272294"
"sp75_214_pp_c_4lag",".9999833",".9112937"
"sp75_312_pp_c_4lag","1.000034",".8476867"
"sp75_320_pp_c_4lag",".9998389",".0587595"
"sp75_324_pp_c_4lag",".9995844",".1598796"
"sp75_337_pp_c_4lag","1.000036",".7929184"
"sp75_340_pp_c_4lag","1.000017",".7487385"
"sp75_341_pp_c_4lag",".9962175",".1106331"
"sp75_342_pp_c_4lag","1.000008",".756956"
"sp75_344_pp_c_4lag",".9999779",".9585232"
"sp75_352_pp_c_4lag",".9997458",".3229457"
"sp75_382_pp_c_4lag","1.000209",".3982594"
"sp75_503_pp_c_4lag",".9999856",".3059212"
"sp75_504_pp_c_4lag",".9998738",".7637275"
"sp75_505_pp_c_4lag","1.000743",".2793423"
"sp75_506_1_pp_c_4lag","1.001102",".0202309"
"sp75_506_pp_c_4lag",".9996399",".2421719"
"sp75_507_pp_c_4lag",".9998563",".4891535"
"sp75_511_1_pp_c_4lag",".9935332",".0088689"
"sp75_511_pp_c_4lag","1.00032",".1566678"
"sp75_512_1_pp_c_4lag","1.001125",".4857657"
"sp75_512_2_pp_c_4lag","1.000091",".1949597"
"sp75_512_pp_c_4lag","1.000014",".5188913"
"sp75_513_1_pp_c_4lag","1.000054",".936993"
"sp75_513_pp_c_4lag","1.000106",".7541646"
"sp75_514_pp_c_4lag","1.00006",".4135982"
"sp75_515_pp_c_4lag",".9998482",".0013107"
"sp75_516_1_pp_c_4lag",".9985263",".1453584"
"sp75_516_2_pp_c_4lag",".9999678",".82569"
"sp75_516_pp_c_4lag",".9999714",".7235806"
"sp75_517_1_pp_c_4lag","1.000613",".4672944"
"sp75_517_pp_c_4lag",".9999982",".9024584"
"sp75_518_1_pp_c_4lag",".9999939",".9472153"
"sp75_518_pp_c_4lag","1.00003",".6265958"
"sp75_519_pp_c_4lag","1.000185",".8962776"
"sp75_520_pp_c_4lag","1.000009",".9412348"
"sp75_523_1_pp_c_4lag",".9997251",".1312323"
"sp75_523_2_pp_c_4lag","1.000101",".4634686"
"sp75_523_pp_c_4lag",".9997827",".1774662"
"sp75_600_1_pp_c_4lag",".9995327",".6245051"
"sp75_600_pp_c_4lag","1.000486",".7021003"
"sp75_601_1_pp_c_4lag",".9999262",".2704744"
"sp75_601_2_pp_c_4lag",".9997795",".7977647"
"sp75_601_3_pp_c_4lag",".9992972",".2080089"
"sp75_601_pp_c_4lag","1.000157",".0519254"
"sp75_602_pp_c_4lag","1.000047",".8424868"
"sp75_603_pp_c_4lag",".9998595",".5988572"
"sp75_604_pp_c_4lag","1.000053",".0202733"
"sp75_605_pp_c_4lag","1.00015",".1270037"
"sp75_606_pp_c_4lag",".999981",".606637"
"sp75_607_pp_c_4lag","1.000114",".5765169"
"sp75_700_1_pp_c_4lag",".9981931",".0265772"
"sp75_700_pp_c_4lag",".9996524",".2114171"
"sp75_701_1_pp_c_4lag",".9998315",".5337924"
"sp75_701_2_pp_c_4lag","1.000241",".3469933"
"sp75_701_3_pp_c_4lag","1.000645",".0381081"
"sp75_701_4_pp_c_4lag","1.002544",".0020009"
"sp75_701_pp_c_4lag","1.000032",".5750887"
"sp75_702_1_pp_c_4lag","1.000514",".5333905"
"sp75_702_pp_c_4lag",".999072",".5130929"
"sp75_703_1_pp_c_4lag",".9980815",".2371251"
"sp75_703_2_pp_c_4lag","1.000371",".7215015"
"sp75_703_3_pp_c_4lag","1.000081",".8148203"
"sp75_703_4_pp_c_4lag",".9943893",".0141683"
"sp75_703_pp_c_4lag","1.000313",".034094"
