"","est1",""
"","b","p"
"dv","",""
"sp47_41_1lag",".9715832",".4364889"
"sp48_11_1lag",".9914293",".8538847"
"sp71_701_1lag","3.088404",".0214555"
"sp75_1001_1_1lag",".9396889",".6626019"
"sp75_1001_1lag",".9237309",".7794414"
"sp75_1003_1_1lag",".8130151",".2585679"
"sp75_1400_1_1lag","1.010293",".9663633"
"sp75_1401_1_1lag",".7414994",".3879254"
"sp75_1401_1lag",".8388696",".2539986"
"sp75_1403_11_1lag",".99077",".9782671"
"sp75_1404_1_1lag",".7075689",".2911324"
"sp75_1405_1_1lag","1.435289",".0523452"
"sp75_1431_1lag","1.164166",".4725874"
"sp75_151_1lag","2.114766",".0742761"
"sp75_1721_1lag",".4042713",".3151109"
"sp75_1731_1lag",".9993282",".7906209"
"sp75_1911_1lag",".9985599",".8852551"
"sp75_211_1lag","1.003589",".8009734"
"sp75_341_1lag","1.184051",".3949562"
"sp75_506_1_1lag","1.274683",".0003232"
"sp75_510_1_1lag","1.089213",".8576728"
"sp75_511_1_1lag",".1899373",".0004526"
"sp75_511_1lag","1.052217",".1965892"
"sp75_512_1_1lag","1.189017",".5060491"
"sp75_513_1_1lag","1.071245",".4416901"
"sp75_516_1_1lag",".9964005",".9780544"
"sp75_517_1_1lag",".9467321",".6358875"
"sp75_518_1_1lag","1.005985",".6999598"
"sp75_523_1_1lag",".9674927",".2388015"
"sp75_600_1_1lag",".9655616",".826053"
"sp75_601_1_1lag",".9954271",".6958269"
"sp75_601_1lag","1.025599",".0757655"
"sp75_700_1_1lag",".8038857",".0900998"
"sp75_701_1_1lag",".9544578",".2322271"
"sp75_701_1lag","1.017978",".0855475"
"sp75_702_1_1lag","1.108379",".4153251"
"sp75_703_1_1lag",".6570881",".0944058"
"sp75_705_1_1lag",".8622242",".1302757"
"sp75_801_1lag",".8113276",".2754608"
"sp75_811_1lag","1.024936",".5056968"
"sp75_821_1lag","1.06982",".2148141"
"sp75_831_1lag",".6876249",".0430088"
"sp75_901_1lag",".9312953",".3277942"
"sp75_902_1_1lag","1.318957",".0516092"
"sp77_1111_1lag",".9477853",".7009795"
"sp77_401_1lag",".9905061",".8717523"
"sp77_403_1_1lag","1.083041",".3689269"
"sp77_411_1lag",".9050815",".8228648"
"sp77_501_1lag",".9839536",".8393314"
"sp77_502_1_1lag","1.14468",".7634351"
"sp77_503_1_1lag","1.070974",".755758"
"sp77_506_1_1lag","1.033228",".3333177"
"sp77_508_1_1lag",".8494872",".1614516"
"sp77_511_1lag",".8027125",".0811144"
"sp77_601_1lag",".9699711",".8555016"
"sp77_606_1_1lag",".681168",".1480846"
"sp77_700_1_1lag","1.299187",".165408"
"sp77_701_1_1lag","1.076631",".5881622"
"sp77_701_1lag","1.008325",".7723609"
"sp77_704_1_1lag","1.039708",".7820945"
"sp77_800_1_1lag","1.128411",".4883664"
"sp77_801_1_1lag","4.94e-09","0"
"sp77_801_1lag",".8345433",".6588563"
"sp77_807_1_1lag","1.127385",".6476746"
"sp77_900_1_1lag","1.204149",".3529248"
"sp77_901_1_1lag",".6236945",".1090631"
"sp77_901_1lag","1.075844",".5232864"
"sp47_42_1lag",".7150533",".0051031"
"sp75_1100_2_1lag","1.007696",".1593005"
"sp75_1102_1lag",".9591577",".3652656"
"sp75_1106_2_1lag","1.033167",".2938021"
"sp75_1400_2_1lag","1.076786",".5211185"
"sp75_1402_2_1lag",".871836",".7356146"
"sp75_1432_1lag",".9577909",".7290043"
"sp75_1600_2_1lag",".9895771",".5692245"
"sp75_1912_1lag",".9706224",".6448786"
"sp75_202_1lag","1.001276",".5250396"
"sp75_212_1lag",".9434014",".0135363"
"sp75_312_1lag","1.031615",".1991635"
"sp75_342_1lag","1.004446",".4502853"
"sp75_352_1lag",".9331481",".0423753"
"sp75_382_1lag","1.055349",".189235"
"sp75_512_2_1lag","1.023682",".0585546"
"sp75_512_1lag","1.002385",".4584117"
"sp75_516_2_1lag","1.016159",".4226506"
"sp75_523_2_1lag","1.011366",".6046328"
"sp75_601_2_1lag",".7946874",".2073003"
"sp75_602_1lag","1.00234",".941263"
"sp75_701_2_1lag",".9743056",".6307359"
"sp75_702_1lag",".4504816",".1834693"
"sp75_703_2_1lag",".8845634",".2946108"
"sp75_705_2_1lag","1.126195",".5543652"
"sp75_800_2_1lag",".6091234",".0513282"
"sp75_802_1lag",".8790782",".3104789"
"sp75_803_2_1lag","1.208829",".3349841"
"sp75_812_1lag","1.103132",".516847"
"sp75_832_1lag",".6240145",".5333443"
"sp75_900_2_1lag",".9523718",".7830729"
"sp75_902_2_1lag","1.043275",".4669263"
"sp75_902_1lag","1.004418",".8246621"
"sp77_1112_1lag",".998472",".9821808"
"sp77_1432_1lag",".9687274",".895839"
"sp77_1802_1lag",".8638817",".5637151"
"sp77_202_1lag",".9765972",".0504814"
"sp77_402_1lag","1.030541",".236918"
"sp77_403_2_1lag","2.646716",".0092075"
"sp77_412_1lag","1.093009",".2345826"
"sp77_502_2_1lag",".9490981",".2181599"
"sp77_502_1lag",".9946569",".5431756"
"sp77_512_1lag",".9958015",".8073818"
"sp77_602_1lag","1.463079",".0083546"
"sp77_701_2_1lag",".9592248",".6978354"
"sp77_702_1lag",".431415",".0477843"
"sp77_800_2_1lag","1.118151",".1720192"
"sp77_802_1lag","1.056625",".8367664"
"sp77_807_2_1lag",".9323219",".5960344"
"sp77_900_2_1lag","1.113525",".2279873"
"sp77_902_2_1lag",".9912311",".9634371"
"sp77_902_1lag","1.030659",".7610419"
"sp47_43_1lag","1.891204",".1007267"
"sp72_503_1lag",".9626613",".4212378"
"sp75_1106_3_1lag","1.015434",".200918"
"sp75_1400_3_1lag","1.039502",".307287"
"sp75_1403_3_1lag",".9924319",".9634859"
"sp75_1433_1lag","1.006969",".9132112"
"sp75_153_1lag","1.133811",".4060598"
"sp75_1903_1lag",".9769676",".3481032"
"sp75_1913_1lag","1.001538",".9696895"
"sp75_503_1lag",".9989357",".7085656"
"sp75_513_1lag",".9465527",".3047172"
"sp75_523_1lag",".9590561",".0973827"
"sp75_601_3_1lag",".9488699",".799434"
"sp75_603_1lag",".9995153",".992517"
"sp75_701_3_1lag","1.071522",".1420852"
"sp75_703_3_1lag","1.123796",".0799236"
"sp75_703_1lag","1.017623",".4880124"
"sp75_705_3_1lag","1.62248",".0067988"
"sp75_800_3_1lag","1.026127",".7956927"
"sp75_803_1lag",".9395982",".4438156"
"sp75_900_3_1lag","1.097772",".1269631"
"sp75_903_1lag","1.044968",".2016082"
"sp77_103_1lag",".6563929",".2457125"
"sp77_1103_1lag","1.000138",".9937205"
"sp77_1403_1lag","1.009809",".9253966"
"sp77_1433_1lag","1.088519",".5490779"
"sp77_203_1lag","1.110349",".3807141"
"sp77_403_1lag","1.425453",".0331426"
"sp77_413_1lag",".9288924",".5687115"
"sp77_503_1lag","1.108214",".3284864"
"sp77_513_1lag","1.004013",".8883489"
"sp77_603_1lag","1.393953",".0461279"
"sp77_701_3_1lag",".9706995",".9380816"
"sp77_703_1lag","1.019534",".9477596"
"sp77_803_1lag","1.257449",".5927859"
"sp77_807_3_1lag","1.042893",".7435842"
"sp77_902_3_1lag","1.168151",".4391451"
"sp77_903_1lag",".9069863",".5851828"
"sp47_44_1lag","1.020337",".6824321"
"sp48_24_1lag",".0129318","0"
"sp48_4_1lag","2.09626","1.44e-08"
"sp75_1103_4_1lag","1.01189",".2697747"
"sp75_1104_1lag","1.013874",".6434796"
"sp75_1106_4_1lag","1.01074",".8897848"
"sp75_1107_14_1lag",".9631201",".9070213"
"sp75_1400_4_1lag",".977114",".7376123"
"sp75_1403_4_1lag","1.604916",".0564695"
"sp75_1404_1lag",".7563824",".212057"
"sp75_1434_1lag",".9084162",".2819488"
"sp75_1914_1lag",".9991455",".8519849"
"sp75_214_1lag","1.001257",".9658245"
"sp75_324_1lag",".9801643",".6551727"
"sp75_344_1lag","1.027632",".6937066"
"sp75_504_1lag",".9703737",".7166238"
"sp75_514_1lag","1.017931",".1739215"
"sp75_604_1lag","1.017387",".0005313"
"sp75_701_4_1lag","1.606855",".0051413"
"sp75_703_4_1lag","4.43e-10","0"
"sp75_704_1lag",".977417",".8951234"
"sp75_800_4_1lag","1.04891",".4567776"
"sp75_804_1lag",".9815984",".667364"
"sp75_814_1lag",".9594893",".5882856"
"sp75_834_1lag","7.48e-10","0"
"sp75_900_4_1lag",".9793621",".2923002"
"sp75_902_4_1lag","1.028676",".4547739"
"sp75_904_1lag",".9988107",".8932216"
"sp77_104_1lag",".7883604",".3078829"
"sp77_1104_1lag","1.004212",".5206183"
"sp77_1434_1lag","1.167448",".3455574"
