"","est1",""
"","b","p"
"MR_indicator","",""
"sp47_41_pp_c_4lag",".9981434",".1695638"
"sp47_42_pp_c_4lag",".9966542",".4169898"
"sp47_44_pp_c_4lag","1.000651",".8109468"
"sp48_11_pp_c_4lag","1.004114",".0040463"
"sp48_24_pp_c_4lag","1","."
"sp48_25_pp_c_4lag",".9985666",".5263753"
"sp48_26_pp_c_4lag","1.00333",".0405229"
"sp48_27_pp_c_4lag",".9993595",".6835293"
"sp48_28_pp_c_4lag",".9965285",".1924367"
"sp48_4_pp_c_4lag","1.011067",".0017755"
"sp48_5_pp_c_4lag",".9996044",".8862122"
"sp48_6_pp_c_4lag","1.000759",".519546"
"sp48_7_pp_c_4lag",".9990865",".4728748"
"sp48_8_pp_c_4lag","1.001288",".607643"
"sp71_701_pp_c_4lag","1.003604",".6849639"
"sp72_503_pp_c_4lag",".9963786",".0217813"
"sp72_610_pp_c_4lag","1.009773",".2350069"
"sp72_620_pp_c_4lag","1.002922",".6252197"
"sp72_630_pp_c_4lag","1.000061",".7322761"
"sp75_100_pp_c_4lag","1.000802",".8392894"
"sp75_1001_1_pp_c_4lag","1.000021",".995523"
"sp75_1001_pp_c_4lag","1","."
"sp75_1003_1_pp_c_4lag",".9979762",".7957315"
"sp75_1100_2_pp_c_4lag","1.000346",".0785748"
"sp75_1101_20_pp_c_4lag",".9873204",".0000502"
"sp75_1102_pp_c_4lag",".9986182",".2689796"
"sp75_1103_4_pp_c_4lag","1.000245",".4341842"
"sp75_1104_pp_c_4lag",".9979637",".0865693"
"sp75_1106_2_pp_c_4lag",".9993643",".5609207"
"sp75_1106_3_pp_c_4lag","1.000301",".4840924"
"sp75_1106_4_pp_c_4lag",".9985287",".6376657"
"sp75_1106_5_pp_c_4lag",".9989538",".3916326"
"sp75_1106_6_pp_c_4lag","1","."
"sp75_1106_pp_c_4lag","1.007289",".04187"
"sp75_1107_14_pp_c_4lag",".9992205",".9262736"
"sp75_1400_1_pp_c_4lag","1.003497",".4435199"
"sp75_1400_2_pp_c_4lag",".9967511",".5037791"
"sp75_1400_3_pp_c_4lag","1.00275",".0405939"
"sp75_1400_4_pp_c_4lag",".9917468",".0180137"
"sp75_1400_pp_c_4lag",".9987056",".4481914"
"sp75_1401_1_pp_c_4lag","1","."
"sp75_1401_pp_c_4lag",".9966886",".4278724"
"sp75_1403_10_pp_c_4lag","1.000732",".3229769"
"sp75_1403_11_pp_c_4lag","1","."
"sp75_1403_3_pp_c_4lag","1","."
"sp75_1403_4_pp_c_4lag","1","."
"sp75_1403_5_pp_c_4lag",".9999566",".9221643"
"sp75_1403_6_pp_c_4lag",".9995868",".1448169"
"sp75_1403_7_pp_c_4lag",".997937",".1365705"
"sp75_1403_8_pp_c_4lag",".999427",".1801264"
"sp75_1403_9_pp_c_4lag",".9975379",".1670651"
"sp75_1404_1_pp_c_4lag",".9642571",".0030836"
"sp75_1404_pp_c_4lag","1.000374",".9630237"
"sp75_1405_1_pp_c_4lag","1.012351",".0002334"
"sp75_1405_pp_c_4lag","1.000149",".7632363"
"sp75_1431_pp_c_4lag","1","."
"sp75_1432_pp_c_4lag","1.003514",".1892092"
"sp75_1433_pp_c_4lag",".9989005",".6981758"
"sp75_1434_pp_c_4lag",".99533",".0715956"
"sp75_1435_pp_c_4lag",".9901992",".1492026"
"sp75_1437_pp_c_4lag","1.002857",".6335351"
"sp75_150_pp_c_4lag","1.012834",".0070983"
"sp75_151_pp_c_4lag",".9933987",".4207105"
"sp75_153_pp_c_4lag","1.007616",".1350746"
"sp75_156_pp_c_4lag","1.010561",".0258708"
"sp75_160_pp_c_4lag",".9957068",".5759883"
"sp75_1600_2_pp_c_4lag",".9993648",".3393035"
