var,all_models_p_05,all_models_coef_pos_05,all_models_coef_neg_05,all_models_coef_min_05,all_models_coef_max_05,all_models_p_01,all_models_coef_pos_01,all_models_coef_neg_01,all_models_coef_min_01,all_models_coef_max_01,Y_models_p_05,Y_models_coef_pos_05,Y_models_coef_neg_05,Y_models_coef_min_05,Y_models_coef_max_05,Y_models_p_01,Y_models_coef_pos_01,Y_models_coef_neg_01,Y_models_coef_min_01,Y_models_coef_max_01,B_models_p_05,B_models_coef_pos_05,B_models_coef_neg_05,B_models_coef_min_05,B_models_coef_max_05,B_models_p_01,B_models_coef_pos_01,B_models_coef_neg_01,B_models_coef_min_01,B_models_coef_max_01,C_models_p_05,C_models_coef_pos_05,C_models_coef_neg_05,C_models_coef_min_05,C_models_coef_max_05,C_models_p_01,C_models_coef_pos_01,C_models_coef_neg_01,C_models_coef_min_01,C_models_coef_max_01,V_models_p_05,V_models_coef_pos_05,V_models_coef_neg_05,V_models_coef_min_05,V_models_coef_max_05,V_models_p_01,V_models_coef_pos_01,V_models_coef_neg_01,V_models_coef_min_01,V_models_coef_max_01,SSV_models_p_05,SSV_models_coef_pos_05,SSV_models_coef_neg_05,SSV_models_coef_min_05,SSV_models_coef_max_05,SSV_models_p_01,SSV_models_coef_pos_01,SSV_models_coef_neg_01,SSV_models_coef_min_01,SSV_models_coef_max_01,PP_models_p_05,PP_models_coef_pos_05,PP_models_coef_neg_05,PP_models_coef_min_05,PP_models_coef_max_05,PP_models_p_01,PP_models_coef_pos_01,PP_models_coef_neg_01,PP_models_coef_min_01,PP_models_coef_max_01,l1_models_p_05,l1_models_coef_pos_05,l1_models_coef_neg_05,l1_models_coef_min_05,l1_models_coef_max_05,l1_models_p_01,l1_models_coef_pos_01,l1_models_coef_neg_01,l1_models_coef_min_01,l1_models_coef_max_01,l2_models_p_05,l2_models_coef_pos_05,l2_models_coef_neg_05,l2_models_coef_min_05,l2_models_coef_max_05,l2_models_p_01,l2_models_coef_pos_01,l2_models_coef_neg_01,l2_models_coef_min_01,l2_models_coef_max_01,l3_models_p_05,l3_models_coef_pos_05,l3_models_coef_neg_05,l3_models_coef_min_05,l3_models_coef_max_05,l3_models_p_01,l3_models_coef_pos_01,l3_models_coef_neg_01,l3_models_coef_min_01,l3_models_coef_max_01
sp47_41,9,0,9,0.0997729,0.9965032,4,0,4,0.1707054,0.9965032,9,0,9,0.0997729,0.9965032,4,0,4,0.1707054,0.9965032,8,0,8,0.0997729,0.9965032,4,0,4,0.1707054,0.9965032,1,0,1,0.815601,0.815601,0,0,0,NA,NA,2,0,2,0.7239507,0.8908949,0,0,0,NA,NA,4,0,4,0.0997729,0.815601,1,0,1,0.1707054,0.1707054,3,0,3,0.9900228,0.9965032,3,0,3,0.9900228,0.9965032,3,0,3,0.1707054,0.9917926,2,0,2,0.1707054,0.9917926,2,0,2,0.0997729,0.9900228,1,0,1,0.9900228,0.9900228,4,0,4,0.4519099,0.9965032,1,0,1,0.9965032,0.9965032
sp47_42,6,0,6,0.3156617,0.9218245,2,0,2,0.3156617,0.7150533,6,0,6,0.3156617,0.9218245,2,0,2,0.3156617,0.7150533,3,0,3,0.3156617,0.7253387,1,0,1,0.3156617,0.3156617,3,0,3,0.7150533,0.9218245,1,0,1,0.7150533,0.7150533,6,0,6,0.3156617,0.9218245,2,0,2,0.3156617,0.7150533,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,0,2,0.4807736,0.7988733,0,0,0,NA,NA,2,0,2,0.3156617,0.7150533,2,0,2,0.3156617,0.7150533,2,0,2,0.7253387,0.9218245,0,0,0,NA,NA
sp47_43,1,1,0,2.07281,2.07281,0,0,0,NA,NA,1,1,0,2.07281,2.07281,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,2.07281,2.07281,0,0,0,NA,NA,1,1,0,2.07281,2.07281,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,2.07281,2.07281,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp47_44,3,2,1,0.9126616,1.021547,0,0,0,NA,NA,3,2,1,0.9126616,1.021547,0,0,0,NA,NA,2,2,0,1.008214,1.021547,0,0,0,NA,NA,1,0,1,0.9126616,0.9126616,0,0,0,NA,NA,1,0,1,0.9126616,0.9126616,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.008214,1.021547,0,0,0,NA,NA,1,0,1,0.9126616,0.9126616,0,0,0,NA,NA,1,1,0,1.021547,1.021547,0,0,0,NA,NA,1,1,0,1.008214,1.008214,0,0,0,NA,NA
sp48_11,2,2,0,1.003618,1.175787,0,0,0,NA,NA,2,2,0,1.003618,1.175787,0,0,0,NA,NA,2,2,0,1.003618,1.175787,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.175787,1.175787,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,1,1,0,1.003618,1.003618,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,2,2,0,1.003618,1.175787,0,0,0,NA,NA
sp48_24,6,0,6,0.0098433,0.9777416,6,0,6,0.0098433,0.9777416,6,0,6,0.0098433,0.9777416,6,0,6,0.0098433,0.9777416,0,0,0,NA,NA,0,0,0,NA,NA,6,0,6,0.0098433,0.9777416,6,0,6,0.0098433,0.9777416,3,0,3,0.0098433,0.2414068,3,0,3,0.0098433,0.2414068,0,0,0,NA,NA,0,0,0,NA,NA,3,0,3,0.9404447,0.9777416,3,0,3,0.9404447,0.9777416,2,0,2,0.0098433,0.9404447,2,0,2,0.0098433,0.9404447,2,0,2,0.0129318,0.9457228,2,0,2,0.0129318,0.9457228,2,0,2,0.2414068,0.9777416,2,0,2,0.2414068,0.9777416
sp48_25,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp48_26,9,9,0,1.000915,1.558588,4,4,0,1.000915,1.274434,9,9,0,1.000915,1.558588,4,4,0,1.000915,1.274434,2,2,0,1.274434,1.558588,1,1,0,1.274434,1.274434,7,7,0,1.000915,1.139848,3,3,0,1.000915,1.072228,2,2,0,1.046025,1.130041,0,0,0,NA,NA,4,4,0,1.072228,1.558588,2,2,0,1.072228,1.274434,3,3,0,1.000915,1.002863,2,2,0,1.000915,1.002863,2,2,0,1.002863,1.130041,1,1,0,1.002863,1.002863,3,3,0,1.002285,1.558588,0,0,0,NA,NA,4,4,0,1.000915,1.274434,3,3,0,1.000915,1.274434
sp48_27,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
sp48_28,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA
