"","est1",""
"","b","p"
"dv_indicator","",""
"p47_ss_c_lag_all","1.001604",".9954797"
"p48_ss_c_lag_all","1.033662",".2828482"
"p71_ss_c_lag_all","1.059704",".7235095"
"p72_ss_c_lag_all",".9298301",".3099506"
"p75_ss_c_lag_all","1.000175",".5930423"
"p77_ss_c_lag_all","1.013028",".3358428"
"mine_time",".9975361",".4860344"
"onsite_insp_hours","1.001059",".0000275"
"1.state","1.882331",".0056722"
"3.state",".8461987",".4723702"
"4.state","1.571813",".0003316"
"5.state","1.186295",".4682857"
"6.state","1","."
"7.state","1.498229",".2248327"
"8.state","1","."
"9.state","1.371588",".000291"
"10.state",".9948169",".9823003"
"11.state","1.030859",".9092321"
"12.state","1.258479",".057459"
"13.state","1.499591",".0237759"
"14.state",".7176655",".084739"
"15.state",".7041757",".0003118"
"16.state","1.229127",".0038574"
"17.state","2.580599","1.18e-13"
"1.time","1","."
"2.time",".9614778",".7977644"
"3.time","1.400226",".0249932"
"4.time",".8388882",".2586201"
"5.time",".9536995",".7631913"
"6.time",".8633691",".3615827"
"7.time","1.040577",".802852"
"8.time","1.021214",".8948444"
"9.time",".8922141",".4780803"
"10.time",".7022263",".0440554"
"11.time",".9559681",".7898655"
"12.time",".9109856",".5779126"
"13.time",".8843255",".4954268"
"14.time",".8661659",".4279076"
"15.time","1.002889",".9871389"
"16.time",".7114515",".0639645"
"17.time",".7824422",".1621739"
"18.time",".7409293",".0802588"
"19.time",".6976157",".0545277"
"20.time",".616896",".0117614"
"21.time",".6196142",".0127986"
"22.time",".712202",".0706826"
"23.time",".7493457",".1119733"
"24.time",".493208",".0002437"
"25.time",".7914209",".2064242"
"26.time",".6048115",".0074462"
"27.time",".734444",".0929359"
"28.time",".5815487",".0042744"
"29.time",".5852651",".003095"
"30.time",".5027353",".0005092"
"31.time",".6707645",".0365549"
"32.time",".6934113",".0528349"
"33.time",".4692134",".0000761"
"34.time",".4986332",".0003039"
"35.time",".5625284",".0031356"
"36.time",".5099315",".0007543"
"37.time",".4268699",".0000326"
"38.time",".4418546",".0000442"
"39.time",".4677919",".0001171"
"40.time",".351559","8.39e-07"
"41.time",".3672368","2.54e-06"
"42.time",".4150526",".0000135"
"43.time",".5131668",".0011467"
"44.time",".4541131",".0001068"
"45.time",".5115636",".0014099"
"46.time",".4915654",".0004658"
"47.time",".557454",".0037156"
"48.time",".3438228","3.04e-06"
"49.time",".4272193",".0000323"
"50.time",".4014096",".0000196"
"51.time",".6444883",".0371033"
"52.time",".3542477","5.42e-06"
"53.time",".2996855","4.90e-08"
"54.time",".2620407","6.24e-09"
"55.time",".3365674","1.14e-06"
"56.time",".4089895",".000187"
"57.time",".2757281","4.44e-08"
"58.time",".3572077",".0000154"
"59.time",".4020155",".0000856"
"60.time",".4256804",".0002951"
"61.time",".392317",".0002368"
"62.time",".32757",".0000101"
"63.time",".465777",".0024543"
"64.time",".2737865","1.20e-06"
"65.time",".3961383",".0004104"
"N","19290",""
