"","est1",""
"","b","p"
"dv_indicator","",""
"p47_1lag",".995303",".9735262"
"p48_1lag",".9799002",".4040722"
"p71_1lag","1.421454",".0333358"
"p72_1lag","1.002157",".9792637"
"p75_1lag","1.006428",".0000112"
"p77_1lag",".9936266",".7786551"
"mine_time",".9976375",".287022"
"onsite_insp_hours","1.000776",".0025924"
"1.state","2.005607",".0015227"
"2.state","2.370385","0"
"3.state",".8256916",".3336058"
"4.state","1.634167",".0000438"
"5.state","1.055331",".8007782"
"6.state","1","."
"7.state","1.147389",".6000992"
"8.state",".7682311",".0000936"
"9.state","1.345226","9.50e-07"
"10.state",".9481191",".8302868"
"11.state","1.082864",".7777277"
"12.state","1.308422",".0101757"
"13.state","1.51296",".0088354"
"14.state",".6547391",".0403825"
"15.state",".7377537",".0001545"
"16.state","1.232324",".0005394"
"17.state","2.5244","0"
"2.time",".9126732",".5657439"
"3.time","1.291273",".1051428"
"4.time",".7787167",".1148478"
"5.time",".8478206",".2944641"
"6.time",".7852964",".1441865"
"7.time","1","."
"8.time",".9423889",".709081"
"9.time",".832845",".2293224"
"10.time",".6685318",".0159767"
"11.time",".9366019",".6887509"
"12.time",".9154292",".59304"
"13.time",".758193",".1081654"
"14.time",".7657051",".1130959"
"15.time",".9843424",".9250516"
"16.time",".6468151",".0101736"
"17.time",".7496655",".0898589"
"18.time",".7535771",".0819723"
"19.time",".6702271",".0205509"
"20.time",".598874",".0058147"
"21.time",".5653868",".0007572"
"22.time",".7149253",".037068"
"23.time",".6313994",".0056099"
"24.time",".5118929",".000055"
"25.time",".7520618",".0880561"
"26.time",".6049292",".0029229"
"27.time",".6450293",".0083662"
"28.time",".6002998",".003792"
"29.time",".5496023",".0003254"
"30.time",".5244263",".0002556"
"31.time",".634054",".0062932"
"32.time",".632332",".0064598"
"33.time",".4613243","7.71e-06"
"34.time",".4966349",".0000609"
"35.time",".5193671",".0001039"
"36.time",".3863198","3.72e-08"
"37.time",".3988724","2.59e-07"
"38.time",".3551012","4.18e-09"
"39.time",".438393","2.86e-06"
"40.time",".3332313","2.02e-09"
"41.time",".3570429","1.97e-08"
"42.time",".3829886","2.48e-07"
"43.time",".4695683",".0000247"
"44.time",".3541768","1.31e-08"
"45.time",".4661667",".0000254"
"46.time",".4597886","8.90e-06"
"47.time",".5363703",".0002269"
"48.time",".3557507","9.96e-09"
"49.time",".4824714",".0000385"
"50.time",".452436",".0000141"
"51.time",".5212813",".0002969"
"52.time",".3329786","8.21e-09"
"53.time",".3343115","1.96e-09"
"54.time",".2795348","9.69e-11"
"55.time",".3588558","2.42e-07"
"56.time",".3741232","1.04e-06"
"57.time",".2508117","1.44e-11"
"58.time",".3089365","1.25e-08"
"59.time",".3553433","1.99e-07"
"60.time",".3650412","3.86e-07"
"61.time",".343659","6.23e-07"
"62.time",".3335342","6.47e-07"
"63.time",".4878585",".0008259"
"64.time",".2274865","4.87e-11"
"65.time",".3615424","8.62e-06"
"N","26110",""
